image,width,height,egg_id,x,y,confidence
Box1_1_Tun_Cou5_C2,3072,2048,1,734,1235,1.0
Box1_1_Tun_Cou5_C2,3072,2048,2,706,1135,1.0
Box1_1_Tun_Cou5_C2,3072,2048,3,797,1359,1.0
Box1_1_Tun_Cou5_C2,3072,2048,4,863,1333,1.0
Box1_1_Tun_Cou5_C2,3072,2048,5,802,1250,1.0
Box1_1_Tun_Cou5_C2,3072,2048,6,828,1082,1.0
Box1_1_Tun_Cou5_C2,3072,2048,7,897,1041,1.0
Box1_1_Tun_Cou5_C2,3072,2048,8,969,1024,1.0
Box1_1_Tun_Cou5_C2,3072,2048,9,1006,915,1.0
Box1_1_Tun_Cou5_C2,3072,2048,10,849,1144,1.0
Box1_1_Tun_Cou5_C2,3072,2048,11,778,1163,1.0
Box1_1_Tun_Cou5_C2,3072,2048,12,935,1130,1.0
Box1_1_Tun_Cou5_C2,3072,2048,13,1058,1122,1.0
Box1_1_Tun_Cou5_C2,3072,2048,14,960,1331,1.0
Box1_1_Tun_Cou5_C2,3072,2048,15,1021,1418,1.0
Box1_1_Tun_Cou5_C2,3072,2048,16,1069,1333,1.0
Box1_1_Tun_Cou5_C2,3072,2048,17,1122,1418,1.0
Box1_1_Tun_Cou5_C2,3072,2048,18,932,1230,1.0
Box1_1_Tun_Cou5_C2,3072,2048,19,1104,1220,1.0
Box1_1_Tun_Cou5_C2,3072,2048,20,1021,1233,1.0
Box1_1_Tun_Cou5_C2,3072,2048,21,1107,1008,1.0
Box1_1_Tun_Cou5_C2,3072,2048,22,1163,915,1.0
Box1_1_Tun_Cou5_C2,3072,2048,23,1235,1024,1.0
Box1_1_Tun_Cou5_C2,3072,2048,24,1183,1128,1.0
Box1_1_Tun_Cou5_C2,3072,2048,25,1235,1230,1.0
Box1_1_Tun_Cou5_C2,3072,2048,26,1157,1335,1.0
Box1_1_Tun_Cou5_C2,3072,2048,27,1218,1418,1.0
Box1_1_Tun_Cou5_C2,3072,2048,28,1185,1524,1.0
Box1_1_Tun_Cou5_C2,3072,2048,29,1291,1520,1.0
Box1_1_Tun_Cou5_C2,3072,2048,30,1348,1427,1.0
Box1_1_Tun_Cou5_C2,3072,2048,31,1442,1513,1.0
Box1_1_Tun_Cou5_C2,3072,2048,32,1477,1603,1.0
Box1_1_Tun_Cou5_C2,3072,2048,33,1535,1507,1.0
Box1_1_Tun_Cou5_C2,3072,2048,34,1662,1470,1.0
Box1_1_Tun_Cou5_C2,3072,2048,35,1738,1452,1.0
Box1_1_Tun_Cou5_C2,3072,2048,36,1466,1418,1.0
Box1_1_Tun_Cou5_C2,3072,2048,37,1577,1403,1.0
Box1_1_Tun_Cou5_C2,3072,2048,38,1692,1363,1.0
Box1_1_Tun_Cou5_C2,3072,2048,39,1601,1276,1.0
Box1_1_Tun_Cou5_C2,3072,2048,40,1420,1320,1.0
Box1_1_Tun_Cou5_C2,3072,2048,41,1281,1328,1.0
Box1_1_Tun_Cou5_C2,3072,2048,42,1337,1250,1.0
Box1_1_Tun_Cou5_C2,3072,2048,43,1285,1144,1.0
Box1_1_Tun_Cou5_C2,3072,2048,44,1405,1115,1.0
Box1_1_Tun_Cou5_C2,3072,2048,45,1309,1056,1.0
Box1_1_Tun_Cou5_C2,3072,2048,46,1359,980,1.0
Box1_1_Tun_Cou5_C2,3072,2048,47,1255,917,1.0
Box1_1_Tun_Cou5_C2,3072,2048,48,1427,1019,1.0
Box1_1_Tun_Cou5_C2,3072,2048,49,1466,823,1.0
Box1_1_Tun_Cou5_C2,3072,2048,50,1453,924,1.0
Box1_1_Tun_Cou5_C2,3072,2048,51,1452,1224,1.0
Box1_1_Tun_Cou5_C2,3072,2048,52,1492,1115,1.0
Box1_1_Tun_Cou5_C2,3072,2048,53,1538,1002,1.0
Box1_1_Tun_Cou5_C2,3072,2048,54,1585,906,1.0
Box1_1_Tun_Cou5_C2,3072,2048,55,1596,776,1.0
Box1_1_Tun_Cou5_C2,3072,2048,56,1509,712,1.0
Box1_1_Tun_Cou5_C2,3072,2048,57,1636,678,1.0
Box1_1_Tun_Cou5_C2,3072,2048,58,1768,684,1.0
Box1_1_Tun_Cou5_C2,3072,2048,59,1723,762,1.0
Box1_1_Tun_Cou5_C2,3072,2048,60,1694,876,1.0
Box1_1_Tun_Cou5_C2,3072,2048,61,1651,980,1.0
Box1_1_Tun_Cou5_C2,3072,2048,62,1612,1070,1.0
Box1_1_Tun_Cou5_C2,3072,2048,63,1494,1304,1.0
Box1_1_Tun_Cou5_C2,3072,2048,64,1673,1187,1.0
Box1_1_Tun_Cou5_C2,3072,2048,65,1725,1070,1.0
Box1_1_Tun_Cou5_C2,3072,2048,66,1753,976,1.0
Box1_1_Tun_Cou5_C2,3072,2048,67,1803,878,1.0
Box1_1_Tun_Cou5_C2,3072,2048,68,1847,786,1.0
Box1_1_Tun_Cou5_C2,3072,2048,69,1890,701,1.0
Box1_1_Tun_Cou5_C2,3072,2048,70,1968,760,1.0
Box1_1_Tun_Cou5_C2,3072,2048,71,1940,860,1.0
Box1_1_Tun_Cou5_C2,3072,2048,72,1897,954,1.0
Box1_1_Tun_Cou5_C2,3072,2048,73,1834,1063,1.0
Box1_1_Tun_Cou5_C2,3072,2048,74,1783,1174,1.0
Box1_1_Tun_Cou5_C2,3072,2048,75,1746,1270,1.0
Box1_1_Tun_Cou5_C2,3072,2048,76,1812,1353,1.0
Box1_1_Tun_Cou5_C2,3072,2048,77,1846,1239,1.0
Box1_1_Tun_Cou5_C2,3072,2048,78,1905,1132,1.0
Box1_1_Tun_Cou5_C2,3072,2048,79,1981,1054,1.0
Box1_1_Tun_Cou5_C2,3072,2048,80,2012,941,1.0
Box1_1_Tun_Cou5_C2,3072,2048,81,2058,856,1.0
Box1_1_Tun_Cou5_C2,3072,2048,82,2079,769,1.0
Box1_1_Tun_Cou5_C2,3072,2048,83,2090,671,1.0
Box1_1_Tun_Cou5_C2,3072,2048,84,2210,627,1.0
Box1_1_Tun_Cou5_C2,3072,2048,85,2197,747,1.0
Box1_1_Tun_Cou5_C2,3072,2048,86,2171,854,1.0
Box1_1_Tun_Cou5_C2,3072,2048,87,2138,947,1.0
Box1_1_Tun_Cou5_C2,3072,2048,88,2086,1037,1.0
Box1_1_Tun_Cou5_C2,3072,2048,89,2027,1135,1.0
Box1_1_Tun_Cou5_C2,3072,2048,90,1955,1237,1.0
Box1_1_Tun_Cou5_C2,3072,2048,91,1927,1329,1.0
Box1_1_Tun_Cou5_C2,3072,2048,92,2043,1337,1.0
Box1_1_Tun_Cou5_C2,3072,2048,93,2097,1204,1.0
Box1_1_Tun_Cou5_C2,3072,2048,94,2158,1117,1.0
Box1_1_Tun_Cou5_C2,3072,2048,95,2219,1019,1.0
Box1_1_Tun_Cou5_C2,3072,2048,96,2256,919,1.0
Box1_1_Tun_Cou5_C2,3072,2048,97,2278,819,1.0
Box1_1_Tun_Cou5_C2,3072,2048,98,2315,708,1.0
Box1_1_Tun_Cou5_C2,3072,2048,99,2426,675,1.0
Box1_1_Tun_Cou5_C2,3072,2048,100,2400,791,1.0
Box1_1_Tun_Cou5_C2,3072,2048,101,2382,893,1.0
Box1_1_Tun_Cou5_C2,3072,2048,102,2321,1024,1.0
Box1_1_Tun_Cou5_C2,3072,2048,103,2262,1120,1.0
Box1_1_Tun_Cou5_C2,3072,2048,104,2228,1196,1.0
Box1_1_Tun_Cou5_C2,3072,2048,105,2123,1300,1.0
Box1_1_Tun_Cou5_C2,3072,2048,106,2269,1315,1.0
Box1_1_Tun_Cou5_C2,3072,2048,107,2332,1206,1.0
Box1_1_Tun_Cou5_C2,3072,2048,108,2399,1120,1.0
Box1_1_Tun_Cou5_C2,3072,2048,109,2434,995,1.0
Box1_1_Tun_Cou5_C2,3072,2048,110,2486,898,1.0
Box1_1_Tun_Cou5_C2,3072,2048,111,2489,797,1.0
Box1_1_Tun_Cou5_C2,3072,2048,112,2661,775,1.0
Box1_1_Tun_Cou5_C2,3072,2048,113,2567,865,1.0
Box1_1_Tun_Cou5_C2,3072,2048,114,2571,974,1.0
Box1_1_Tun_Cou5_C2,3072,2048,115,2495,1070,1.0
Box1_1_Tun_Cou5_C2,3072,2048,116,2463,1178,1.0
Box1_1_Tun_Cou5_C2,3072,2048,117,2426,1305,1.0
Box1_1_Tun_Cou5_C2,3072,2048,118,2367,1304,1.0
Box1_1_Tun_Cou5_C2,3072,2048,119,2543,1206,1.0
Box1_1_Tun_Cou5_C2,3072,2048,120,2572,1087,1.0
Box1_1_Tun_Cou5_C2,3072,2048,121,2654,987,1.0
Box1_1_Tun_Cou5_C2,3072,2048,122,2719,871,1.0
Box1_1_Tun_Cou5_C2,3072,2048,123,2798,939,1.0
Box1_1_Tun_Cou5_C2,3072,2048,124,2765,1048,1.0
Box1_1_Tun_Cou5_C2,3072,2048,125,2683,1174,1.0
Box1_1_Tun_Cou5_C2,3072,2048,126,2619,1268,1.0
Box1_1_Tun_Cou5_C2,3072,2048,127,2560,1374,1.0
Box1_1_Tun_Cou5_C2,3072,2048,128,2761,1248,1.0
Box1_1_Tun_Cou5_C2,3072,2048,129,1561,1193,1.0
