image,width,height,egg_id,x,y,confidence
Box1_1_Tun_Cou5_D2,3072,2048,1,624,925,1.0
Box1_1_Tun_Cou5_D2,3072,2048,2,540,1184,1.0
Box1_1_Tun_Cou5_D2,3072,2048,3,607,1102,1.0
Box1_1_Tun_Cou5_D2,3072,2048,4,658,1021,1.0
Box1_1_Tun_Cou5_D2,3072,2048,5,728,897,1.0
Box1_1_Tun_Cou5_D2,3072,2048,6,779,810,1.0
Box1_1_Tun_Cou5_D2,3072,2048,7,644,1251,1.0
Box1_1_Tun_Cou5_D2,3072,2048,8,680,1173,1.0
Box1_1_Tun_Cou5_D2,3072,2048,9,737,1083,1.0
Box1_1_Tun_Cou5_D2,3072,2048,10,765,1004,1.0
Box1_1_Tun_Cou5_D2,3072,2048,11,815,894,1.0
Box1_1_Tun_Cou5_D2,3072,2048,12,869,784,1.0
Box1_1_Tun_Cou5_D2,3072,2048,13,908,697,1.0
Box1_1_Tun_Cou5_D2,3072,2048,14,1578,1479,1.0
Box1_1_Tun_Cou5_D2,3072,2048,15,1671,1474,1.0
Box1_1_Tun_Cou5_D2,3072,2048,16,1195,1454,1.0
Box1_1_Tun_Cou5_D2,3072,2048,17,1291,1431,1.0
Box1_1_Tun_Cou5_D2,3072,2048,18,1395,1434,1.0
Box1_1_Tun_Cou5_D2,3072,2048,19,1499,1398,1.0
Box1_1_Tun_Cou5_D2,3072,2048,20,1617,1389,1.0
Box1_1_Tun_Cou5_D2,3072,2048,21,1716,1381,1.0
Box1_1_Tun_Cou5_D2,3072,2048,22,1806,1392,1.0
Box1_1_Tun_Cou5_D2,3072,2048,23,1932,1355,1.0
Box1_1_Tun_Cou5_D2,3072,2048,24,2014,1355,1.0
Box1_1_Tun_Cou5_D2,3072,2048,25,1007,1409,1.0
Box1_1_Tun_Cou5_D2,3072,2048,26,1102,1381,1.0
Box1_1_Tun_Cou5_D2,3072,2048,27,1215,1364,1.0
Box1_1_Tun_Cou5_D2,3072,2048,28,1319,1350,1.0
Box1_1_Tun_Cou5_D2,3072,2048,29,1398,1333,1.0
Box1_1_Tun_Cou5_D2,3072,2048,30,1524,1316,1.0
Box1_1_Tun_Cou5_D2,3072,2048,31,1628,1291,1.0
Box1_1_Tun_Cou5_D2,3072,2048,32,1727,1282,1.0
Box1_1_Tun_Cou5_D2,3072,2048,33,1842,1296,1.0
Box1_1_Tun_Cou5_D2,3072,2048,34,1952,1274,1.0
Box1_1_Tun_Cou5_D2,3072,2048,35,2062,1254,1.0
Box1_1_Tun_Cou5_D2,3072,2048,36,2177,1260,1.0
Box1_1_Tun_Cou5_D2,3072,2048,37,2194,1181,1.0
Box1_1_Tun_Cou5_D2,3072,2048,38,2059,1175,1.0
Box1_1_Tun_Cou5_D2,3072,2048,39,1980,1198,1.0
Box1_1_Tun_Cou5_D2,3072,2048,40,1865,1206,1.0
Box1_1_Tun_Cou5_D2,3072,2048,41,1746,1184,1.0
Box1_1_Tun_Cou5_D2,3072,2048,42,1654,1212,1.0
Box1_1_Tun_Cou5_D2,3072,2048,43,1574,1231,1.0
Box1_1_Tun_Cou5_D2,3072,2048,44,1455,1243,1.0
Box1_1_Tun_Cou5_D2,3072,2048,45,1348,1257,1.0
Box1_1_Tun_Cou5_D2,3072,2048,46,1254,1268,1.0
Box1_1_Tun_Cou5_D2,3072,2048,47,1148,1287,1.0
Box1_1_Tun_Cou5_D2,3072,2048,48,1045,1307,1.0
Box1_1_Tun_Cou5_D2,3072,2048,49,945,1324,1.0
Box1_1_Tun_Cou5_D2,3072,2048,50,847,1346,1.0
Box1_1_Tun_Cou5_D2,3072,2048,51,752,1254,1.0
Box1_1_Tun_Cou5_D2,3072,2048,52,863,1246,1.0
Box1_1_Tun_Cou5_D2,3072,2048,53,963,1228,1.0
Box1_1_Tun_Cou5_D2,3072,2048,54,1072,1213,1.0
Box1_1_Tun_Cou5_D2,3072,2048,55,1187,1204,1.0
Box1_1_Tun_Cou5_D2,3072,2048,56,1294,1181,1.0
Box1_1_Tun_Cou5_D2,3072,2048,57,1392,1172,1.0
Box1_1_Tun_Cou5_D2,3072,2048,58,1500,1157,1.0
Box1_1_Tun_Cou5_D2,3072,2048,59,1603,1113,1.0
Box1_1_Tun_Cou5_D2,3072,2048,60,1712,1106,1.0
Box1_1_Tun_Cou5_D2,3072,2048,61,1796,1087,1.0
Box1_1_Tun_Cou5_D2,3072,2048,62,1907,1117,1.0
Box1_1_Tun_Cou5_D2,3072,2048,63,2012,1085,1.0
Box1_1_Tun_Cou5_D2,3072,2048,64,2116,1069,1.0
Box1_1_Tun_Cou5_D2,3072,2048,65,2228,1082,1.0
Box1_1_Tun_Cou5_D2,3072,2048,66,2291,1111,1.0
Box1_1_Tun_Cou5_D2,3072,2048,67,2358,1026,1.0
Box1_1_Tun_Cou5_D2,3072,2048,68,2284,967,1.0
Box1_1_Tun_Cou5_D2,3072,2048,69,2186,965,1.0
Box1_1_Tun_Cou5_D2,3072,2048,70,2125,958,1.0
Box1_1_Tun_Cou5_D2,3072,2048,71,2032,943,1.0
Box1_1_Tun_Cou5_D2,3072,2048,72,1923,1011,1.0
Box1_1_Tun_Cou5_D2,3072,2048,73,1838,1009,1.0
Box1_1_Tun_Cou5_D2,3072,2048,74,1749,1015,1.0
Box1_1_Tun_Cou5_D2,3072,2048,75,1655,1022,1.0
Box1_1_Tun_Cou5_D2,3072,2048,76,1514,1052,1.0
Box1_1_Tun_Cou5_D2,3072,2048,77,1433,1076,1.0
Box1_1_Tun_Cou5_D2,3072,2048,78,1341,1091,1.0
Box1_1_Tun_Cou5_D2,3072,2048,79,1211,1106,1.0
Box1_1_Tun_Cou5_D2,3072,2048,80,1113,1132,1.0
Box1_1_Tun_Cou5_D2,3072,2048,81,1013,1139,1.0
Box1_1_Tun_Cou5_D2,3072,2048,82,900,1150,1.0
Box1_1_Tun_Cou5_D2,3072,2048,83,797,1165,1.0
Box1_1_Tun_Cou5_D2,3072,2048,84,826,1087,1.0
Box1_1_Tun_Cou5_D2,3072,2048,85,952,1058,1.0
Box1_1_Tun_Cou5_D2,3072,2048,86,1056,1039,1.0
Box1_1_Tun_Cou5_D2,3072,2048,87,1152,1039,1.0
Box1_1_Tun_Cou5_D2,3072,2048,88,1261,1019,1.0
Box1_1_Tun_Cou5_D2,3072,2048,89,1359,995,1.0
Box1_1_Tun_Cou5_D2,3072,2048,90,1463,967,1.0
Box1_1_Tun_Cou5_D2,3072,2048,91,1581,958,1.0
Box1_1_Tun_Cou5_D2,3072,2048,92,1788,921,1.0
Box1_1_Tun_Cou5_D2,3072,2048,93,1670,932,1.0
Box1_1_Tun_Cou5_D2,3072,2048,94,1936,913,1.0
Box1_1_Tun_Cou5_D2,3072,2048,95,2058,874,1.0
Box1_1_Tun_Cou5_D2,3072,2048,96,2164,843,1.0
Box1_1_Tun_Cou5_D2,3072,2048,97,2319,906,1.0
Box1_1_Tun_Cou5_D2,3072,2048,98,2251,887,1.0
Box1_1_Tun_Cou5_D2,3072,2048,99,1979,808,1.0
Box1_1_Tun_Cou5_D2,3072,2048,100,1868,847,1.0
Box1_1_Tun_Cou5_D2,3072,2048,101,1736,823,1.0
Box1_1_Tun_Cou5_D2,3072,2048,102,1810,762,1.0
Box1_1_Tun_Cou5_D2,3072,2048,103,1657,767,1.0
Box1_1_Tun_Cou5_D2,3072,2048,104,1620,858,1.0
Box1_1_Tun_Cou5_D2,3072,2048,105,1522,882,1.0
Box1_1_Tun_Cou5_D2,3072,2048,106,1387,897,1.0
Box1_1_Tun_Cou5_D2,3072,2048,107,1300,923,1.0
Box1_1_Tun_Cou5_D2,3072,2048,108,1189,928,1.0
Box1_1_Tun_Cou5_D2,3072,2048,109,1095,950,1.0
Box1_1_Tun_Cou5_D2,3072,2048,110,989,961,1.0
Box1_1_Tun_Cou5_D2,3072,2048,111,880,963,1.0
Box1_1_Tun_Cou5_D2,3072,2048,112,923,863,1.0
Box1_1_Tun_Cou5_D2,3072,2048,113,1030,861,1.0
Box1_1_Tun_Cou5_D2,3072,2048,114,1133,852,1.0
Box1_1_Tun_Cou5_D2,3072,2048,115,1241,836,1.0
Box1_1_Tun_Cou5_D2,3072,2048,116,1337,817,1.0
Box1_1_Tun_Cou5_D2,3072,2048,117,1463,824,1.0
Box1_1_Tun_Cou5_D2,3072,2048,118,1566,775,1.0
Box1_1_Tun_Cou5_D2,3072,2048,119,1489,712,1.0
Box1_1_Tun_Cou5_D2,3072,2048,120,1396,738,1.0
Box1_1_Tun_Cou5_D2,3072,2048,121,1292,754,1.0
Box1_1_Tun_Cou5_D2,3072,2048,122,1215,765,1.0
Box1_1_Tun_Cou5_D2,3072,2048,123,1085,773,1.0
Box1_1_Tun_Cou5_D2,3072,2048,124,982,769,1.0
Box1_1_Tun_Cou5_D2,3072,2048,125,1017,691,1.0
Box1_1_Tun_Cou5_D2,3072,2048,126,1135,691,1.0
Box1_1_Tun_Cou5_D2,3072,2048,127,1222,669,1.0
Box1_1_Tun_Cou5_D2,3072,2048,128,2418,970,1.0
