image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_A2,3072,2048,1,1510,1472,1.0
Box1_Cou6_ISTTC_A2,3072,2048,2,1586,1425,1.0
Box1_Cou6_ISTTC_A2,3072,2048,3,1697,1399,1.0
Box1_Cou6_ISTTC_A2,3072,2048,4,1361,1420,1.0
Box1_Cou6_ISTTC_A2,3072,2048,5,1450,1395,1.0
Box1_Cou6_ISTTC_A2,3072,2048,6,1529,1378,1.0
Box1_Cou6_ISTTC_A2,3072,2048,7,1623,1352,1.0
Box1_Cou6_ISTTC_A2,3072,2048,8,1712,1310,1.0
Box1_Cou6_ISTTC_A2,3072,2048,9,1295,1335,1.0
Box1_Cou6_ISTTC_A2,3072,2048,10,1312,1276,1.0
Box1_Cou6_ISTTC_A2,3072,2048,11,1269,1184,1.0
Box1_Cou6_ISTTC_A2,3072,2048,12,1348,1169,1.0
Box1_Cou6_ISTTC_A2,3072,2048,13,1401,1252,1.0
Box1_Cou6_ISTTC_A2,3072,2048,14,1389,1340,1.0
Box1_Cou6_ISTTC_A2,3072,2048,15,1474,1310,1.0
Box1_Cou6_ISTTC_A2,3072,2048,16,1493,1248,1.0
Box1_Cou6_ISTTC_A2,3072,2048,17,1548,1295,1.0
Box1_Cou6_ISTTC_A2,3072,2048,18,1635,1255,1.0
Box1_Cou6_ISTTC_A2,3072,2048,19,1735,1218,1.0
Box1_Cou6_ISTTC_A2,3072,2048,20,1810,1165,1.0
Box1_Cou6_ISTTC_A2,3072,2048,21,1827,1076,1.0
Box1_Cou6_ISTTC_A2,3072,2048,22,1720,1133,1.0
Box1_Cou6_ISTTC_A2,3072,2048,23,1650,1172,1.0
Box1_Cou6_ISTTC_A2,3072,2048,24,1561,1203,1.0
Box1_Cou6_ISTTC_A2,3072,2048,25,1440,1159,1.0
Box1_Cou6_ISTTC_A2,3072,2048,26,1525,1140,1.0
Box1_Cou6_ISTTC_A2,3072,2048,27,1591,1106,1.0
Box1_Cou6_ISTTC_A2,3072,2048,28,1659,1074,1.0
Box1_Cou6_ISTTC_A2,3072,2048,29,1761,1029,1.0
Box1_Cou6_ISTTC_A2,3072,2048,30,1857,999,1.0
Box1_Cou6_ISTTC_A2,3072,2048,31,1871,918,1.0
Box1_Cou6_ISTTC_A2,3072,2048,32,1801,950,1.0
Box1_Cou6_ISTTC_A2,3072,2048,33,1712,969,1.0
Box1_Cou6_ISTTC_A2,3072,2048,34,1623,1004,1.0
Box1_Cou6_ISTTC_A2,3072,2048,35,1557,1046,1.0
Box1_Cou6_ISTTC_A2,3072,2048,36,1472,1072,1.0
Box1_Cou6_ISTTC_A2,3072,2048,37,1399,1106,1.0
Box1_Cou6_ISTTC_A2,3072,2048,38,1295,1097,1.0
Box1_Cou6_ISTTC_A2,3072,2048,39,1301,1004,1.0
Box1_Cou6_ISTTC_A2,3072,2048,40,1395,995,1.0
Box1_Cou6_ISTTC_A2,3072,2048,41,1478,987,1.0
Box1_Cou6_ISTTC_A2,3072,2048,42,1546,931,1.0
Box1_Cou6_ISTTC_A2,3072,2048,43,1627,931,1.0
Box1_Cou6_ISTTC_A2,3072,2048,44,1735,899,1.0
