image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_B6,3072,2048,1,1301,794,1.0
Box1_Cou6_ISTTC_B6,3072,2048,2,1467,758,1.0
Box1_Cou6_ISTTC_B6,3072,2048,3,1584,697,1.0
Box1_Cou6_ISTTC_B6,3072,2048,4,1273,1031,1.0
Box1_Cou6_ISTTC_B6,3072,2048,5,1378,956,1.0
Box1_Cou6_ISTTC_B6,3072,2048,6,1467,901,1.0
Box1_Cou6_ISTTC_B6,3072,2048,7,1609,869,1.0
Box1_Cou6_ISTTC_B6,3072,2048,8,1722,821,1.0
Box1_Cou6_ISTTC_B6,3072,2048,9,1746,1023,1.0
Box1_Cou6_ISTTC_B6,3072,2048,10,1617,1037,1.0
Box1_Cou6_ISTTC_B6,3072,2048,11,1467,1083,1.0
Box1_Cou6_ISTTC_B6,3072,2048,12,1356,1146,1.0
Box1_Cou6_ISTTC_B6,3072,2048,13,1166,1305,1.0
Box1_Cou6_ISTTC_B6,3072,2048,14,1324,1376,1.0
Box1_Cou6_ISTTC_B6,3072,2048,15,1495,1233,1.0
Box1_Cou6_ISTTC_B6,3072,2048,16,1625,1186,1.0
Box1_Cou6_ISTTC_B6,3072,2048,17,1459,1398,1.0
Box1_Cou6_ISTTC_B6,3072,2048,18,1584,1380,1.0
Box1_Cou6_ISTTC_B6,3072,2048,19,1617,1312,1.0
Box1_Cou6_ISTTC_B6,3072,2048,20,1631,1520,1.0
