image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_C1,3072,2048,1,1330,1284,1.0
Box1_Cou6_ISTTC_C1,3072,2048,2,1421,1332,1.0
Box1_Cou6_ISTTC_C1,3072,2048,3,1500,1391,1.0
Box1_Cou6_ISTTC_C1,3072,2048,4,1582,1428,1.0
Box1_Cou6_ISTTC_C1,3072,2048,5,1209,1111,1.0
Box1_Cou6_ISTTC_C1,3072,2048,6,1314,1155,1.0
Box1_Cou6_ISTTC_C1,3072,2048,7,1402,1204,1.0
Box1_Cou6_ISTTC_C1,3072,2048,8,1491,1234,1.0
Box1_Cou6_ISTTC_C1,3072,2048,9,1572,1304,1.0
Box1_Cou6_ISTTC_C1,3072,2048,10,1661,1363,1.0
Box1_Cou6_ISTTC_C1,3072,2048,11,1751,1423,1.0
Box1_Cou6_ISTTC_C1,3072,2048,12,1828,1363,1.0
Box1_Cou6_ISTTC_C1,3072,2048,13,1728,1293,1.0
Box1_Cou6_ISTTC_C1,3072,2048,14,1647,1241,1.0
Box1_Cou6_ISTTC_C1,3072,2048,15,1567,1179,1.0
Box1_Cou6_ISTTC_C1,3072,2048,16,1474,1118,1.0
Box1_Cou6_ISTTC_C1,3072,2048,17,1390,1090,1.0
Box1_Cou6_ISTTC_C1,3072,2048,18,1290,1046,1.0
Box1_Cou6_ISTTC_C1,3072,2048,19,1211,985,1.0
Box1_Cou6_ISTTC_C1,3072,2048,20,1395,986,1.0
Box1_Cou6_ISTTC_C1,3072,2048,21,1186,876,1.0
Box1_Cou6_ISTTC_C1,3072,2048,22,1309,937,1.0
Box1_Cou6_ISTTC_C1,3072,2048,23,1481,1023,1.0
Box1_Cou6_ISTTC_C1,3072,2048,24,1581,1051,1.0
Box1_Cou6_ISTTC_C1,3072,2048,25,1649,1114,1.0
Box1_Cou6_ISTTC_C1,3072,2048,26,1772,1183,1.0
Box1_Cou6_ISTTC_C1,3072,2048,27,1831,1220,1.0
Box1_Cou6_ISTTC_C1,3072,2048,28,1926,1290,1.0
Box1_Cou6_ISTTC_C1,3072,2048,29,1975,1160,1.0
Box1_Cou6_ISTTC_C1,3072,2048,30,1877,1102,1.0
Box1_Cou6_ISTTC_C1,3072,2048,31,1777,1058,1.0
Box1_Cou6_ISTTC_C1,3072,2048,32,1677,1002,1.0
Box1_Cou6_ISTTC_C1,3072,2048,33,1574,953,1.0
Box1_Cou6_ISTTC_C1,3072,2048,34,1491,929,1.0
Box1_Cou6_ISTTC_C1,3072,2048,35,1404,890,1.0
Box1_Cou6_ISTTC_C1,3072,2048,36,1295,830,1.0
Box1_Cou6_ISTTC_C1,3072,2048,37,1419,748,1.0
Box1_Cou6_ISTTC_C1,3072,2048,38,1526,834,1.0
Box1_Cou6_ISTTC_C1,3072,2048,39,1619,874,1.0
Box1_Cou6_ISTTC_C1,3072,2048,40,1721,904,1.0
Box1_Cou6_ISTTC_C1,3072,2048,41,1814,967,1.0
