image,width,height,egg_id,x,y,confidence
Box1_Cou7_Cou5_D1.2,3072,2048,1,1407,1836,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,2,1464,1773,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,3,1545,1781,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,4,1643,1787,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,5,1366,1763,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,6,1417,1706,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,7,1503,1712,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,8,1586,1712,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,9,1690,1690,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,10,1460,1639,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,11,1537,1637,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,12,1625,1641,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,13,1676,1574,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,14,1582,1560,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,15,1513,1574,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,16,1436,1560,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,17,1360,1617,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,18,1332,1547,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,19,1246,1533,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,20,1389,1493,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,21,1466,1499,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,22,1550,1495,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,23,1625,1486,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,24,1307,1482,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,25,1228,1464,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,26,1110,1375,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,27,1196,1397,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,28,1285,1411,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,29,1358,1434,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,30,1434,1436,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,31,1497,1427,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,32,1570,1415,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,33,1082,1303,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,34,1163,1326,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,35,1253,1346,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,36,1334,1346,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,37,1407,1348,1.0
Box1_Cou7_Cou5_D1.2,3072,2048,38,1470,1354,1.0
