image,width,height,egg_id,x,y,confidence
Box1_Cou7_Cou5_D3,3072,2048,1,1365,491,1.0
Box1_Cou7_Cou5_D3,3072,2048,2,1432,587,1.0
Box1_Cou7_Cou5_D3,3072,2048,3,1527,686,1.0
Box1_Cou7_Cou5_D3,3072,2048,4,1597,753,1.0
Box1_Cou7_Cou5_D3,3072,2048,5,1709,884,1.0
Box1_Cou7_Cou5_D3,3072,2048,6,1810,960,1.0
Box1_Cou7_Cou5_D3,3072,2048,7,1911,1025,1.0
Box1_Cou7_Cou5_D3,3072,2048,8,2003,1134,1.0
Box1_Cou7_Cou5_D3,3072,2048,9,1235,520,1.0
Box1_Cou7_Cou5_D3,3072,2048,10,1289,596,1.0
Box1_Cou7_Cou5_D3,3072,2048,11,1343,668,1.0
Box1_Cou7_Cou5_D3,3072,2048,12,1439,780,1.0
Box1_Cou7_Cou5_D3,3072,2048,13,1563,875,1.0
Box1_Cou7_Cou5_D3,3072,2048,14,1637,989,1.0
Box1_Cou7_Cou5_D3,3072,2048,15,1731,1064,1.0
Box1_Cou7_Cou5_D3,3072,2048,16,1828,1140,1.0
Box1_Cou7_Cou5_D3,3072,2048,17,1961,1252,1.0
Box1_Cou7_Cou5_D3,3072,2048,18,2075,1322,1.0
Box1_Cou7_Cou5_D3,3072,2048,19,2115,1431,1.0
Box1_Cou7_Cou5_D3,3072,2048,20,2222,1519,1.0
Box1_Cou7_Cou5_D3,3072,2048,21,2156,1655,1.0
Box1_Cou7_Cou5_D3,3072,2048,22,2065,1522,1.0
Box1_Cou7_Cou5_D3,3072,2048,23,1998,1429,1.0
Box1_Cou7_Cou5_D3,3072,2048,24,1925,1374,1.0
Box1_Cou7_Cou5_D3,3072,2048,25,1836,1274,1.0
Box1_Cou7_Cou5_D3,3072,2048,26,1701,1169,1.0
Box1_Cou7_Cou5_D3,3072,2048,27,1612,1091,1.0
Box1_Cou7_Cou5_D3,3072,2048,28,1517,991,1.0
Box1_Cou7_Cou5_D3,3072,2048,29,1412,912,1.0
Box1_Cou7_Cou5_D3,3072,2048,30,1319,819,1.0
Box1_Cou7_Cou5_D3,3072,2048,31,1210,712,1.0
Box1_Cou7_Cou5_D3,3072,2048,32,1155,612,1.0
Box1_Cou7_Cou5_D3,3072,2048,33,1038,626,1.0
Box1_Cou7_Cou5_D3,3072,2048,34,1098,738,1.0
Box1_Cou7_Cou5_D3,3072,2048,35,1160,826,1.0
Box1_Cou7_Cou5_D3,3072,2048,36,1291,941,1.0
Box1_Cou7_Cou5_D3,3072,2048,37,1398,1036,1.0
Box1_Cou7_Cou5_D3,3072,2048,38,1484,1119,1.0
Box1_Cou7_Cou5_D3,3072,2048,39,1570,1238,1.0
Box1_Cou7_Cou5_D3,3072,2048,40,1703,1350,1.0
Box1_Cou7_Cou5_D3,3072,2048,41,1774,1405,1.0
Box1_Cou7_Cou5_D3,3072,2048,42,1841,1503,1.0
Box1_Cou7_Cou5_D3,3072,2048,43,1915,1608,1.0
Box1_Cou7_Cou5_D3,3072,2048,44,2015,1712,1.0
Box1_Cou7_Cou5_D3,3072,2048,45,1874,1765,1.0
Box1_Cou7_Cou5_D3,3072,2048,46,1817,1634,1.0
Box1_Cou7_Cou5_D3,3072,2048,47,1748,1560,1.0
Box1_Cou7_Cou5_D3,3072,2048,48,1646,1458,1.0
Box1_Cou7_Cou5_D3,3072,2048,49,1584,1357,1.0
Box1_Cou7_Cou5_D3,3072,2048,50,1446,1255,1.0
Box1_Cou7_Cou5_D3,3072,2048,51,1369,1176,1.0
Box1_Cou7_Cou5_D3,3072,2048,52,1265,1057,1.0
Box1_Cou7_Cou5_D3,3072,2048,53,1150,962,1.0
Box1_Cou7_Cou5_D3,3072,2048,54,1038,876,1.0
Box1_Cou7_Cou5_D3,3072,2048,55,981,769,1.0
Box1_Cou7_Cou5_D3,3072,2048,56,938,910,1.0
Box1_Cou7_Cou5_D3,3072,2048,57,1048,993,1.0
Box1_Cou7_Cou5_D3,3072,2048,58,1129,1079,1.0
Box1_Cou7_Cou5_D3,3072,2048,59,1248,1207,1.0
Box1_Cou7_Cou5_D3,3072,2048,60,1355,1300,1.0
Box1_Cou7_Cou5_D3,3072,2048,61,1472,1384,1.0
Box1_Cou7_Cou5_D3,3072,2048,62,1536,1486,1.0
Box1_Cou7_Cou5_D3,3072,2048,63,1693,1667,1.0
Box1_Cou7_Cou5_D3,3072,2048,64,1200,1327,1.0
Box1_Cou7_Cou5_D3,3072,2048,65,1122,1217,1.0
Box1_Cou7_Cou5_D3,3072,2048,66,1010,1124,1.0
Box1_Cou7_Cou5_D3,3072,2048,67,919,1043,1.0
