image,width,height,egg_id,x,y,confidence
Box1_Cou_Mich_D6,3072,2048,1,996,1419,1.0
Box1_Cou_Mich_D6,3072,2048,2,869,1320,1.0
Box1_Cou_Mich_D6,3072,2048,3,879,1193,1.0
Box1_Cou_Mich_D6,3072,2048,4,959,1139,1.0
Box1_Cou_Mich_D6,3072,2048,5,940,1260,1.0
Box1_Cou_Mich_D6,3072,2048,6,970,1354,1.0
Box1_Cou_Mich_D6,3072,2048,7,1062,1384,1.0
Box1_Cou_Mich_D6,3072,2048,8,1045,1293,1.0
Box1_Cou_Mich_D6,3072,2048,9,1038,1207,1.0
Box1_Cou_Mich_D6,3072,2048,10,1043,1106,1.0
Box1_Cou_Mich_D6,3072,2048,11,1031,1005,1.0
Box1_Cou_Mich_D6,3072,2048,12,1062,907,1.0
Box1_Cou_Mich_D6,3072,2048,13,1129,832,1.0
Box1_Cou_Mich_D6,3072,2048,14,1148,931,1.0
Box1_Cou_Mich_D6,3072,2048,15,1120,1031,1.0
Box1_Cou_Mich_D6,3072,2048,16,1127,1134,1.0
Box1_Cou_Mich_D6,3072,2048,17,1134,1218,1.0
Box1_Cou_Mich_D6,3072,2048,18,1169,1387,1.0
Box1_Cou_Mich_D6,3072,2048,19,1129,1314,1.0
Box1_Cou_Mich_D6,3072,2048,20,1228,1342,1.0
Box1_Cou_Mich_D6,3072,2048,21,1232,1249,1.0
Box1_Cou_Mich_D6,3072,2048,22,1218,1155,1.0
Box1_Cou_Mich_D6,3072,2048,23,1218,1052,1.0
Box1_Cou_Mich_D6,3072,2048,24,1246,961,1.0
Box1_Cou_Mich_D6,3072,2048,25,1249,872,1.0
Box1_Cou_Mich_D6,3072,2048,26,1232,783,1.0
Box1_Cou_Mich_D6,3072,2048,27,1228,694,1.0
Box1_Cou_Mich_D6,3072,2048,28,1302,708,1.0
Box1_Cou_Mich_D6,3072,2048,29,1309,816,1.0
Box1_Cou_Mich_D6,3072,2048,30,1321,909,1.0
Box1_Cou_Mich_D6,3072,2048,31,1319,1003,1.0
Box1_Cou_Mich_D6,3072,2048,32,1305,1094,1.0
Box1_Cou_Mich_D6,3072,2048,33,1300,1178,1.0
Box1_Cou_Mich_D6,3072,2048,34,1319,1272,1.0
Box1_Cou_Mich_D6,3072,2048,35,1324,1352,1.0
Box1_Cou_Mich_D6,3072,2048,36,1410,1305,1.0
Box1_Cou_Mich_D6,3072,2048,37,1403,1218,1.0
Box1_Cou_Mich_D6,3072,2048,38,1405,1125,1.0
Box1_Cou_Mich_D6,3072,2048,39,1410,1036,1.0
Box1_Cou_Mich_D6,3072,2048,40,1401,947,1.0
Box1_Cou_Mich_D6,3072,2048,41,1401,846,1.0
