image,width,height,egg_id,x,y,confidence
Box1_Cou_Tun_B1,3072,2048,1,943,1409,1.0
Box1_Cou_Tun_B1,3072,2048,2,1006,1469,1.0
Box1_Cou_Tun_B1,3072,2048,3,1121,1549,1.0
Box1_Cou_Tun_B1,3072,2048,4,949,1323,1.0
Box1_Cou_Tun_B1,3072,2048,5,1015,1381,1.0
Box1_Cou_Tun_B1,3072,2048,6,1102,1435,1.0
Box1_Cou_Tun_B1,3072,2048,7,1199,1487,1.0
Box1_Cou_Tun_B1,3072,2048,8,1314,1506,1.0
Box1_Cou_Tun_B1,3072,2048,9,1312,1457,1.0
Box1_Cou_Tun_B1,3072,2048,10,1231,1384,1.0
Box1_Cou_Tun_B1,3072,2048,11,1130,1358,1.0
Box1_Cou_Tun_B1,3072,2048,12,1022,1253,1.0
Box1_Cou_Tun_B1,3072,2048,13,952,1203,1.0
Box1_Cou_Tun_B1,3072,2048,14,1042,1159,1.0
Box1_Cou_Tun_B1,3072,2048,15,1133,1234,1.0
Box1_Cou_Tun_B1,3072,2048,16,1220,1283,1.0
Box1_Cou_Tun_B1,3072,2048,17,1300,1335,1.0
Box1_Cou_Tun_B1,3072,2048,18,1374,1366,1.0
Box1_Cou_Tun_B1,3072,2048,19,1404,1438,1.0
Box1_Cou_Tun_B1,3072,2048,20,1461,1391,1.0
Box1_Cou_Tun_B1,3072,2048,21,1547,1354,1.0
Box1_Cou_Tun_B1,3072,2048,22,1444,1308,1.0
Box1_Cou_Tun_B1,3072,2048,23,1364,1285,1.0
Box1_Cou_Tun_B1,3072,2048,24,1276,1231,1.0
Box1_Cou_Tun_B1,3072,2048,25,1199,1167,1.0
Box1_Cou_Tun_B1,3072,2048,26,1110,1144,1.0
Box1_Cou_Tun_B1,3072,2048,27,1036,1072,1.0
Box1_Cou_Tun_B1,3072,2048,28,1133,1027,1.0
Box1_Cou_Tun_B1,3072,2048,29,1196,1081,1.0
Box1_Cou_Tun_B1,3072,2048,30,1259,1116,1.0
Box1_Cou_Tun_B1,3072,2048,31,1380,1190,1.0
Box1_Cou_Tun_B1,3072,2048,32,1466,1203,1.0
Box1_Cou_Tun_B1,3072,2048,33,1526,1254,1.0
Box1_Cou_Tun_B1,3072,2048,34,1595,1286,1.0
Box1_Cou_Tun_B1,3072,2048,35,1648,1217,1.0
Box1_Cou_Tun_B1,3072,2048,36,1573,1188,1.0
Box1_Cou_Tun_B1,3072,2048,37,1496,1131,1.0
Box1_Cou_Tun_B1,3072,2048,38,1364,1079,1.0
Box1_Cou_Tun_B1,3072,2048,39,1294,1042,1.0
Box1_Cou_Tun_B1,3072,2048,40,1213,998,1.0
Box1_Cou_Tun_B1,3072,2048,41,1121,929,1.0
Box1_Cou_Tun_B1,3072,2048,42,1228,903,1.0
Box1_Cou_Tun_B1,3072,2048,43,1323,934,1.0
Box1_Cou_Tun_B1,3072,2048,44,1392,999,1.0
Box1_Cou_Tun_B1,3072,2048,45,1484,1041,1.0
Box1_Cou_Tun_B1,3072,2048,46,1581,1107,1.0
Box1_Cou_Tun_B1,3072,2048,47,1661,1145,1.0
Box1_Cou_Tun_B1,3072,2048,48,1728,1193,1.0
Box1_Cou_Tun_B1,3072,2048,49,1783,1102,1.0
Box1_Cou_Tun_B1,3072,2048,50,1720,1096,1.0
Box1_Cou_Tun_B1,3072,2048,51,1656,1027,1.0
Box1_Cou_Tun_B1,3072,2048,52,1572,1007,1.0
Box1_Cou_Tun_B1,3072,2048,53,1499,970,1.0
Box1_Cou_Tun_B1,3072,2048,54,1424,898,1.0
Box1_Cou_Tun_B1,3072,2048,55,1340,857,1.0
Box1_Cou_Tun_B1,3072,2048,56,1418,817,1.0
Box1_Cou_Tun_B1,3072,2048,57,1521,845,1.0
Box1_Cou_Tun_B1,3072,2048,58,1621,875,1.0
Box1_Cou_Tun_B1,3072,2048,59,1659,935,1.0
Box1_Cou_Tun_B1,3072,2048,60,1582,934,1.0
Box1_Cou_Tun_B1,3072,2048,61,1731,1004,1.0
Box1_Cou_Tun_B1,3072,2048,62,1812,1021,1.0
Box1_Cou_Tun_B1,3072,2048,63,1881,938,1.0
Box1_Cou_Tun_B1,3072,2048,64,1789,900,1.0
Box1_Cou_Tun_B1,3072,2048,65,1710,868,1.0
Box1_Cou_Tun_B1,3072,2048,66,1559,777,1.0
Box1_Cou_Tun_B1,3072,2048,67,1651,756,1.0
Box1_Cou_Tun_B1,3072,2048,68,1708,780,1.0
Box1_Cou_Tun_B1,3072,2048,69,1799,806,1.0
Box1_Cou_Tun_B1,3072,2048,70,1863,842,1.0
Box1_Cou_Tun_B1,3072,2048,71,1937,921,1.0
Box1_Cou_Tun_B1,3072,2048,72,1957,868,1.0
Box1_Cou_Tun_B1,3072,2048,73,2055,884,1.0
Box1_Cou_Tun_B1,3072,2048,74,1973,749,1.0
Box1_Cou_Tun_B1,3072,2048,75,1880,713,1.0
Box1_Cou_Tun_B1,3072,2048,76,1795,699,1.0
Box1_Cou_Tun_B1,3072,2048,77,2227,528,1.0
Box1_Cou_Tun_B1,3072,2048,78,1939,616,1.0
Box1_Cou_Tun_B1,3072,2048,79,1951,653,1.0
Box1_Cou_Tun_B1,3072,2048,80,2021,702,1.0
