image,width,height,egg_id,x,y,confidence
Box1_Cou_Tun_C1,3072,2048,1,1132,1545,1.0
Box1_Cou_Tun_C1,3072,2048,2,1154,1434,1.0
Box1_Cou_Tun_C1,3072,2048,3,1170,1605,1.0
Box1_Cou_Tun_C1,3072,2048,4,1226,1704,1.0
Box1_Cou_Tun_C1,3072,2048,5,1311,1737,1.0
Box1_Cou_Tun_C1,3072,2048,6,1388,1682,1.0
Box1_Cou_Tun_C1,3072,2048,7,1303,1653,1.0
Box1_Cou_Tun_C1,3072,2048,8,1229,1602,1.0
Box1_Cou_Tun_C1,3072,2048,9,1180,1492,1.0
Box1_Cou_Tun_C1,3072,2048,10,1368,1577,1.0
Box1_Cou_Tun_C1,3072,2048,11,1246,1472,1.0
Box1_Cou_Tun_C1,3072,2048,12,1422,1514,1.0
Box1_Cou_Tun_C1,3072,2048,13,1382,1472,1.0
Box1_Cou_Tun_C1,3072,2048,14,1323,1394,1.0
Box1_Cou_Tun_C1,3072,2048,15,1224,1392,1.0
Box1_Cou_Tun_C1,3072,2048,16,1497,1485,1.0
Box1_Cou_Tun_C1,3072,2048,17,1455,1429,1.0
Box1_Cou_Tun_C1,3072,2048,18,1519,1386,1.0
Box1_Cou_Tun_C1,3072,2048,19,1486,1360,1.0
Box1_Cou_Tun_C1,3072,2048,20,1395,1346,1.0
Box1_Cou_Tun_C1,3072,2048,21,1095,1354,1.0
Box1_Cou_Tun_C1,3072,2048,22,1197,1315,1.0
Box1_Cou_Tun_C1,3072,2048,23,1284,1338,1.0
Box1_Cou_Tun_C1,3072,2048,24,1363,1304,1.0
Box1_Cou_Tun_C1,3072,2048,25,1429,1275,1.0
Box1_Cou_Tun_C1,3072,2048,26,1553,1291,1.0
Box1_Cou_Tun_C1,3072,2048,27,1500,1232,1.0
Box1_Cou_Tun_C1,3072,2048,28,1586,1212,1.0
Box1_Cou_Tun_C1,3072,2048,29,1542,1175,1.0
Box1_Cou_Tun_C1,3072,2048,30,1600,1093,1.0
Box1_Cou_Tun_C1,3072,2048,31,1289,1268,1.0
Box1_Cou_Tun_C1,3072,2048,32,1360,1214,1.0
Box1_Cou_Tun_C1,3072,2048,33,1440,1187,1.0
Box1_Cou_Tun_C1,3072,2048,34,1483,1129,1.0
Box1_Cou_Tun_C1,3072,2048,35,1608,1038,1.0
Box1_Cou_Tun_C1,3072,2048,36,1520,1069,1.0
Box1_Cou_Tun_C1,3072,2048,37,1372,1141,1.0
Box1_Cou_Tun_C1,3072,2048,38,1308,1174,1.0
Box1_Cou_Tun_C1,3072,2048,39,1218,1214,1.0
Box1_Cou_Tun_C1,3072,2048,40,1167,1263,1.0
Box1_Cou_Tun_C1,3072,2048,41,1109,1257,1.0
Box1_Cou_Tun_C1,3072,2048,42,1075,1212,1.0
Box1_Cou_Tun_C1,3072,2048,43,1150,1164,1.0
Box1_Cou_Tun_C1,3072,2048,44,1223,1146,1.0
Box1_Cou_Tun_C1,3072,2048,45,1304,1092,1.0
Box1_Cou_Tun_C1,3072,2048,46,1434,1061,1.0
Box1_Cou_Tun_C1,3072,2048,47,1474,1007,1.0
Box1_Cou_Tun_C1,3072,2048,48,1554,969,1.0
Box1_Cou_Tun_C1,3072,2048,49,1631,938,1.0
Box1_Cou_Tun_C1,3072,2048,50,1676,875,1.0
Box1_Cou_Tun_C1,3072,2048,51,1659,818,1.0
Box1_Cou_Tun_C1,3072,2048,52,1591,830,1.0
Box1_Cou_Tun_C1,3072,2048,53,1559,892,1.0
Box1_Cou_Tun_C1,3072,2048,54,1465,955,1.0
Box1_Cou_Tun_C1,3072,2048,55,1415,970,1.0
Box1_Cou_Tun_C1,3072,2048,56,1374,1029,1.0
Box1_Cou_Tun_C1,3072,2048,57,1312,979,1.0
Box1_Cou_Tun_C1,3072,2048,58,1246,1027,1.0
Box1_Cou_Tun_C1,3072,2048,59,1163,1041,1.0
Box1_Cou_Tun_C1,3072,2048,60,1093,1026,1.0
Box1_Cou_Tun_C1,3072,2048,61,1174,990,1.0
Box1_Cou_Tun_C1,3072,2048,62,1247,933,1.0
Box1_Cou_Tun_C1,3072,2048,63,1360,924,1.0
Box1_Cou_Tun_C1,3072,2048,64,1437,885,1.0
Box1_Cou_Tun_C1,3072,2048,65,1511,856,1.0
Box1_Cou_Tun_C1,3072,2048,66,1538,781,1.0
Box1_Cou_Tun_C1,3072,2048,67,1613,749,1.0
Box1_Cou_Tun_C1,3072,2048,68,1698,724,1.0
Box1_Cou_Tun_C1,3072,2048,69,1688,617,1.0
Box1_Cou_Tun_C1,3072,2048,70,1625,681,1.0
Box1_Cou_Tun_C1,3072,2048,71,1545,715,1.0
Box1_Cou_Tun_C1,3072,2048,72,1462,723,1.0
Box1_Cou_Tun_C1,3072,2048,73,1415,795,1.0
Box1_Cou_Tun_C1,3072,2048,74,1368,830,1.0
Box1_Cou_Tun_C1,3072,2048,75,1282,860,1.0
Box1_Cou_Tun_C1,3072,2048,76,1203,855,1.0
Box1_Cou_Tun_C1,3072,2048,77,1161,919,1.0
Box1_Cou_Tun_C1,3072,2048,78,1062,955,1.0
Box1_Cou_Tun_C1,3072,2048,79,1021,938,1.0
