image,width,height,egg_id,x,y,confidence
Box1_Cou_Tun_D6,3072,2048,1,1115,1804,1.0
Box1_Cou_Tun_D6,3072,2048,2,1173,1785,1.0
Box1_Cou_Tun_D6,3072,2048,3,1249,1768,1.0
Box1_Cou_Tun_D6,3072,2048,4,1332,1765,1.0
Box1_Cou_Tun_D6,3072,2048,5,1393,1685,1.0
Box1_Cou_Tun_D6,3072,2048,6,1324,1701,1.0
Box1_Cou_Tun_D6,3072,2048,7,1248,1698,1.0
Box1_Cou_Tun_D6,3072,2048,8,1141,1673,1.0
Box1_Cou_Tun_D6,3072,2048,9,1074,1709,1.0
Box1_Cou_Tun_D6,3072,2048,10,1049,1657,1.0
Box1_Cou_Tun_D6,3072,2048,11,1141,1601,1.0
Box1_Cou_Tun_D6,3072,2048,12,1232,1618,1.0
Box1_Cou_Tun_D6,3072,2048,13,1299,1623,1.0
Box1_Cou_Tun_D6,3072,2048,14,1373,1619,1.0
Box1_Cou_Tun_D6,3072,2048,15,1427,1598,1.0
Box1_Cou_Tun_D6,3072,2048,16,1366,1515,1.0
Box1_Cou_Tun_D6,3072,2048,17,1301,1529,1.0
Box1_Cou_Tun_D6,3072,2048,18,1199,1538,1.0
Box1_Cou_Tun_D6,3072,2048,19,1109,1535,1.0
Box1_Cou_Tun_D6,3072,2048,20,1057,1557,1.0
Box1_Cou_Tun_D6,3072,2048,21,1148,1470,1.0
Box1_Cou_Tun_D6,3072,2048,22,1282,1443,1.0
Box1_Cou_Tun_D6,3072,2048,23,1342,1443,1.0
Box1_Cou_Tun_D6,3072,2048,24,1436,1438,1.0
Box1_Cou_Tun_D6,3072,2048,25,1503,1412,1.0
Box1_Cou_Tun_D6,3072,2048,26,1604,1403,1.0
Box1_Cou_Tun_D6,3072,2048,27,1766,1277,1.0
Box1_Cou_Tun_D6,3072,2048,28,1662,1299,1.0
Box1_Cou_Tun_D6,3072,2048,29,1572,1335,1.0
Box1_Cou_Tun_D6,3072,2048,30,1492,1320,1.0
Box1_Cou_Tun_D6,3072,2048,31,1410,1331,1.0
Box1_Cou_Tun_D6,3072,2048,32,1321,1364,1.0
Box1_Cou_Tun_D6,3072,2048,33,1254,1383,1.0
Box1_Cou_Tun_D6,3072,2048,34,1137,1391,1.0
Box1_Cou_Tun_D6,3072,2048,35,1346,1279,1.0
Box1_Cou_Tun_D6,3072,2048,36,1473,1241,1.0
Box1_Cou_Tun_D6,3072,2048,37,1556,1237,1.0
Box1_Cou_Tun_D6,3072,2048,38,1632,1203,1.0
Box1_Cou_Tun_D6,3072,2048,39,1712,1195,1.0
Box1_Cou_Tun_D6,3072,2048,40,1818,1192,1.0
Box1_Cou_Tun_D6,3072,2048,41,1831,1097,1.0
Box1_Cou_Tun_D6,3072,2048,42,1751,1081,1.0
Box1_Cou_Tun_D6,3072,2048,43,1651,1113,1.0
Box1_Cou_Tun_D6,3072,2048,44,1589,1154,1.0
Box1_Cou_Tun_D6,3072,2048,45,1503,1176,1.0
Box1_Cou_Tun_D6,3072,2048,46,1396,1195,1.0
Box1_Cou_Tun_D6,3072,2048,47,1393,1112,1.0
Box1_Cou_Tun_D6,3072,2048,48,1505,1086,1.0
Box1_Cou_Tun_D6,3072,2048,49,1597,1067,1.0
Box1_Cou_Tun_D6,3072,2048,50,1653,1032,1.0
Box1_Cou_Tun_D6,3072,2048,51,1728,1003,1.0
Box1_Cou_Tun_D6,3072,2048,52,1800,981,1.0
Box1_Cou_Tun_D6,3072,2048,53,1828,881,1.0
Box1_Cou_Tun_D6,3072,2048,54,1757,907,1.0
Box1_Cou_Tun_D6,3072,2048,55,1683,935,1.0
Box1_Cou_Tun_D6,3072,2048,56,1610,952,1.0
Box1_Cou_Tun_D6,3072,2048,57,1518,1020,1.0
Box1_Cou_Tun_D6,3072,2048,58,1452,964,1.0
Box1_Cou_Tun_D6,3072,2048,59,1379,1023,1.0
Box1_Cou_Tun_D6,3072,2048,60,1587,884,1.0
