image,width,height,egg_id,x,y,confidence
Box1_LongI-1_ISTTC_A2,3072,2048,1,984,1362,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,2,1055,1395,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,3,1127,1526,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,4,1127,1435,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,5,1052,1312,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,6,1130,1352,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,7,1221,1440,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,8,1194,1383,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,9,1178,1320,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,10,1104,1264,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,11,1093,1195,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,12,1174,1237,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,13,1249,1240,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,14,1238,1306,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,15,1260,1365,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,16,1308,1318,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,17,1076,1141,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,18,1160,1174,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,19,1137,1103,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,20,1129,1027,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,21,1174,970,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,22,1211,1046,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,23,1217,1110,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,24,1224,1166,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,25,1311,1272,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,26,1298,1211,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,27,1291,1147,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,28,1257,1066,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,29,1249,990,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,30,1227,909,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,31,1231,839,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,32,1258,699,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,33,1280,781,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,34,1303,853,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,35,1301,930,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,36,1332,1009,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,37,1341,1070,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,38,1357,1137,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,39,1365,1198,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,40,1374,1255,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,41,1432,1163,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,42,1414,1100,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,43,1395,1032,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,44,1383,950,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,45,1371,881,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,46,1348,804,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,47,1329,733,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,48,1325,660,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,49,1352,588,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,50,1392,684,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,51,1395,747,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,52,1425,807,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,53,1440,888,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,54,1448,981,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,55,1451,1039,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,56,1482,1120,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,57,1546,1135,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,58,1514,1055,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,59,1512,982,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,60,1509,907,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,61,1491,836,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,62,1469,748,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,63,1472,682,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,64,1442,623,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,65,1491,579,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,66,1529,639,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,67,1545,697,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,68,1543,776,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,69,1560,858,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,70,1574,929,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,71,1590,1076,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,72,1573,1001,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,73,1643,1032,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,74,1640,955,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,75,1633,879,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,76,1619,793,1.0
Box1_LongI-1_ISTTC_A2,3072,2048,77,1617,719,1.0
