image,width,height,egg_id,x,y,confidence
Box1_LongI-1_ISTTC_B5,3072,2048,1,1821,1522,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,2,1900,1521,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,3,1980,1485,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,4,2017,1423,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,5,1923,1454,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,6,1878,1468,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,7,1709,1467,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,8,1778,1459,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,9,1876,1385,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,10,1960,1364,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,11,2041,1348,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,12,2057,1262,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,13,1980,1288,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,14,1908,1308,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,15,1830,1333,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,16,1795,1387,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,17,1716,1398,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,18,1645,1383,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,19,1747,1318,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,20,1852,1262,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,21,1926,1228,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,22,1986,1207,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,23,1958,1162,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,24,1882,1174,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,25,1762,1246,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,26,1670,1318,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,27,1591,1327,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,28,1620,1269,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,29,1695,1252,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,30,1725,1184,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,31,1797,1175,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,32,1826,1097,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,33,1898,1084,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,34,1970,1077,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,35,1902,1011,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,36,1839,1027,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,37,1842,944,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,38,1783,955,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,39,1762,1030,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,40,1703,1053,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,41,1669,1130,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,42,1591,1143,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,43,1568,1217,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,44,1539,1291,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,45,1493,1234,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,46,1519,1167,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,47,1605,1071,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,48,1640,992,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,49,1703,974,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,50,1765,883,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,51,1703,904,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,52,1724,826,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,53,1644,909,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,54,1663,851,1.0
Box1_LongI-1_ISTTC_B5,3072,2048,55,1665,761,1.0
