image,width,height,egg_id,x,y,confidence
Box1_LongI-1_ISTTC_D3,3072,2048,1,1785,228,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,2,1898,301,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,3,1782,276,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,4,1913,375,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,5,1787,393,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,6,1924,454,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,7,1985,501,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,8,1970,585,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,9,1898,564,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,10,1807,492,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,11,1708,449,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,12,1728,519,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,13,1814,605,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,14,1886,659,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,15,1713,612,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,16,1780,680,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,17,1620,637,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,18,2024,652,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,19,2065,729,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,20,1945,698,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,21,1690,698,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,22,1615,729,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,23,1591,821,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,24,1676,810,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,25,1760,779,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,26,1852,741,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,27,1553,953,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,28,1645,903,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,29,1746,891,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,30,1819,838,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,31,1920,797,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,32,1992,795,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,33,1550,1040,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,34,1634,1011,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,35,1715,991,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,36,1809,962,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,37,1888,909,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,38,1992,862,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,39,2103,815,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,40,1537,1176,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,41,1624,1142,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,42,1712,1101,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,43,1805,1059,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,44,1889,1018,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,45,1965,968,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,46,1615,1252,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,47,1694,1198,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,48,1782,1160,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,49,1877,1119,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,50,1974,1063,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,51,2060,986,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,52,2062,1095,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,53,1949,1171,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,54,1852,1216,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,55,1762,1268,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,56,1685,1315,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,57,1602,1340,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,58,1512,1368,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,59,1598,1421,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,60,1688,1394,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,61,1798,1374,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,62,1848,1323,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,63,1930,1261,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,64,2030,1185,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,65,1858,1464,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,66,1753,1472,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,67,1668,1503,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,68,1585,1537,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,69,1611,1624,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,70,1696,1593,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,71,1790,1547,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,72,1894,1532,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,73,1881,1617,1.0
Box1_LongI-1_ISTTC_D3,3072,2048,74,1795,1640,1.0
