image,width,height,egg_id,x,y,confidence
Box1_LongI-1_IST_D2,3072,2048,1,1167,489,1.0
Box1_LongI-1_IST_D2,3072,2048,2,1130,566,1.0
Box1_LongI-1_IST_D2,3072,2048,3,1102,648,1.0
Box1_LongI-1_IST_D2,3072,2048,4,1093,894,1.0
Box1_LongI-1_IST_D2,3072,2048,5,1123,816,1.0
Box1_LongI-1_IST_D2,3072,2048,6,1160,719,1.0
Box1_LongI-1_IST_D2,3072,2048,7,1187,643,1.0
Box1_LongI-1_IST_D2,3072,2048,8,1206,575,1.0
Box1_LongI-1_IST_D2,3072,2048,9,1272,492,1.0
Box1_LongI-1_IST_D2,3072,2048,10,1130,1018,1.0
Box1_LongI-1_IST_D2,3072,2048,11,1172,937,1.0
Box1_LongI-1_IST_D2,3072,2048,12,1178,868,1.0
Box1_LongI-1_IST_D2,3072,2048,13,1201,786,1.0
Box1_LongI-1_IST_D2,3072,2048,14,1234,710,1.0
Box1_LongI-1_IST_D2,3072,2048,15,1268,643,1.0
Box1_LongI-1_IST_D2,3072,2048,16,1309,566,1.0
Box1_LongI-1_IST_D2,3072,2048,17,1344,501,1.0
Box1_LongI-1_IST_D2,3072,2048,18,1383,425,1.0
Box1_LongI-1_IST_D2,3072,2048,19,1426,483,1.0
Box1_LongI-1_IST_D2,3072,2048,20,1392,563,1.0
Box1_LongI-1_IST_D2,3072,2048,21,1350,637,1.0
Box1_LongI-1_IST_D2,3072,2048,22,1325,698,1.0
Box1_LongI-1_IST_D2,3072,2048,23,1288,772,1.0
Box1_LongI-1_IST_D2,3072,2048,24,1265,846,1.0
Box1_LongI-1_IST_D2,3072,2048,25,1256,928,1.0
Box1_LongI-1_IST_D2,3072,2048,26,1210,1001,1.0
Box1_LongI-1_IST_D2,3072,2048,27,1201,1086,1.0
Box1_LongI-1_IST_D2,3072,2048,28,1249,1153,1.0
Box1_LongI-1_IST_D2,3072,2048,29,1279,1079,1.0
Box1_LongI-1_IST_D2,3072,2048,30,1298,1002,1.0
Box1_LongI-1_IST_D2,3072,2048,31,1330,924,1.0
Box1_LongI-1_IST_D2,3072,2048,32,1337,854,1.0
Box1_LongI-1_IST_D2,3072,2048,33,1364,768,1.0
Box1_LongI-1_IST_D2,3072,2048,34,1397,699,1.0
Box1_LongI-1_IST_D2,3072,2048,35,1422,637,1.0
Box1_LongI-1_IST_D2,3072,2048,36,1477,574,1.0
Box1_LongI-1_IST_D2,3072,2048,37,1504,627,1.0
Box1_LongI-1_IST_D2,3072,2048,38,1475,696,1.0
Box1_LongI-1_IST_D2,3072,2048,39,1445,770,1.0
Box1_LongI-1_IST_D2,3072,2048,40,1422,843,1.0
Box1_LongI-1_IST_D2,3072,2048,41,1396,916,1.0
Box1_LongI-1_IST_D2,3072,2048,42,1380,990,1.0
Box1_LongI-1_IST_D2,3072,2048,43,1351,1068,1.0
Box1_LongI-1_IST_D2,3072,2048,44,1335,1142,1.0
Box1_LongI-1_IST_D2,3072,2048,45,1332,1217,1.0
Box1_LongI-1_IST_D2,3072,2048,46,1334,1426,1.0
Box1_LongI-1_IST_D2,3072,2048,47,1343,1351,1.0
Box1_LongI-1_IST_D2,3072,2048,48,1364,1282,1.0
Box1_LongI-1_IST_D2,3072,2048,49,1415,1204,1.0
Box1_LongI-1_IST_D2,3072,2048,50,1415,1135,1.0
Box1_LongI-1_IST_D2,3072,2048,51,1444,1052,1.0
Box1_LongI-1_IST_D2,3072,2048,52,1459,993,1.0
Box1_LongI-1_IST_D2,3072,2048,53,1490,923,1.0
Box1_LongI-1_IST_D2,3072,2048,54,1497,838,1.0
Box1_LongI-1_IST_D2,3072,2048,55,1507,770,1.0
Box1_LongI-1_IST_D2,3072,2048,56,1550,701,1.0
Box1_LongI-1_IST_D2,3072,2048,57,1592,621,1.0
Box1_LongI-1_IST_D2,3072,2048,58,1633,710,1.0
Box1_LongI-1_IST_D2,3072,2048,59,1598,781,1.0
Box1_LongI-1_IST_D2,3072,2048,60,1576,857,1.0
Box1_LongI-1_IST_D2,3072,2048,61,1557,921,1.0
Box1_LongI-1_IST_D2,3072,2048,62,1546,992,1.0
