image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Lavar_A5,3072,2048,1,806,794,1.0
Box1_LongI-1_Lavar_A5,3072,2048,2,904,485,1.0
Box1_LongI-1_Lavar_A5,3072,2048,3,980,476,1.0
Box1_LongI-1_Lavar_A5,3072,2048,4,1052,462,1.0
Box1_LongI-1_Lavar_A5,3072,2048,5,1143,414,1.0
Box1_LongI-1_Lavar_A5,3072,2048,6,1214,405,1.0
Box1_LongI-1_Lavar_A5,3072,2048,7,1293,434,1.0
Box1_LongI-1_Lavar_A5,3072,2048,8,1213,473,1.0
Box1_LongI-1_Lavar_A5,3072,2048,9,1117,498,1.0
Box1_LongI-1_Lavar_A5,3072,2048,10,1061,541,1.0
Box1_LongI-1_Lavar_A5,3072,2048,11,973,529,1.0
Box1_LongI-1_Lavar_A5,3072,2048,12,909,578,1.0
Box1_LongI-1_Lavar_A5,3072,2048,13,900,665,1.0
Box1_LongI-1_Lavar_A5,3072,2048,14,891,744,1.0
Box1_LongI-1_Lavar_A5,3072,2048,15,877,840,1.0
Box1_LongI-1_Lavar_A5,3072,2048,16,888,906,1.0
Box1_LongI-1_Lavar_A5,3072,2048,17,925,1115,1.0
Box1_LongI-1_Lavar_A5,3072,2048,18,916,1036,1.0
Box1_LongI-1_Lavar_A5,3072,2048,19,947,956,1.0
Box1_LongI-1_Lavar_A5,3072,2048,20,954,858,1.0
Box1_LongI-1_Lavar_A5,3072,2048,21,957,775,1.0
Box1_LongI-1_Lavar_A5,3072,2048,22,967,693,1.0
Box1_LongI-1_Lavar_A5,3072,2048,23,957,626,1.0
Box1_LongI-1_Lavar_A5,3072,2048,24,1050,591,1.0
Box1_LongI-1_Lavar_A5,3072,2048,25,1038,666,1.0
Box1_LongI-1_Lavar_A5,3072,2048,26,1021,752,1.0
Box1_LongI-1_Lavar_A5,3072,2048,27,1024,830,1.0
Box1_LongI-1_Lavar_A5,3072,2048,28,1007,908,1.0
Box1_LongI-1_Lavar_A5,3072,2048,29,993,995,1.0
Box1_LongI-1_Lavar_A5,3072,2048,30,991,1077,1.0
Box1_LongI-1_Lavar_A5,3072,2048,31,998,1143,1.0
Box1_LongI-1_Lavar_A5,3072,2048,32,1052,1182,1.0
Box1_LongI-1_Lavar_A5,3072,2048,33,1055,1101,1.0
