image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Lavar_B1,3072,2048,1,585,1017,1.0
Box1_LongI-1_Lavar_B1,3072,2048,2,641,908,1.0
Box1_LongI-1_Lavar_B1,3072,2048,3,697,821,1.0
Box1_LongI-1_Lavar_B1,3072,2048,4,771,765,1.0
Box1_LongI-1_Lavar_B1,3072,2048,5,646,1098,1.0
Box1_LongI-1_Lavar_B1,3072,2048,6,661,1006,1.0
Box1_LongI-1_Lavar_B1,3072,2048,7,722,914,1.0
Box1_LongI-1_Lavar_B1,3072,2048,8,794,849,1.0
Box1_LongI-1_Lavar_B1,3072,2048,9,863,781,1.0
Box1_LongI-1_Lavar_B1,3072,2048,10,673,1172,1.0
Box1_LongI-1_Lavar_B1,3072,2048,11,749,1072,1.0
Box1_LongI-1_Lavar_B1,3072,2048,12,769,1019,1.0
Box1_LongI-1_Lavar_B1,3072,2048,13,818,922,1.0
Box1_LongI-1_Lavar_B1,3072,2048,14,882,859,1.0
Box1_LongI-1_Lavar_B1,3072,2048,15,935,787,1.0
Box1_LongI-1_Lavar_B1,3072,2048,16,1047,794,1.0
Box1_LongI-1_Lavar_B1,3072,2048,17,976,865,1.0
Box1_LongI-1_Lavar_B1,3072,2048,18,910,937,1.0
Box1_LongI-1_Lavar_B1,3072,2048,19,839,1019,1.0
Box1_LongI-1_Lavar_B1,3072,2048,20,814,1082,1.0
Box1_LongI-1_Lavar_B1,3072,2048,21,765,1164,1.0
Box1_LongI-1_Lavar_B1,3072,2048,22,812,1260,1.0
Box1_LongI-1_Lavar_B1,3072,2048,23,853,1199,1.0
Box1_LongI-1_Lavar_B1,3072,2048,24,879,1119,1.0
Box1_LongI-1_Lavar_B1,3072,2048,25,951,1027,1.0
Box1_LongI-1_Lavar_B1,3072,2048,26,996,955,1.0
Box1_LongI-1_Lavar_B1,3072,2048,27,1076,888,1.0
Box1_LongI-1_Lavar_B1,3072,2048,28,1148,800,1.0
Box1_LongI-1_Lavar_B1,3072,2048,29,1258,814,1.0
Box1_LongI-1_Lavar_B1,3072,2048,30,1166,888,1.0
Box1_LongI-1_Lavar_B1,3072,2048,31,1119,986,1.0
Box1_LongI-1_Lavar_B1,3072,2048,32,1041,1043,1.0
Box1_LongI-1_Lavar_B1,3072,2048,33,994,1111,1.0
Box1_LongI-1_Lavar_B1,3072,2048,34,941,1186,1.0
Box1_LongI-1_Lavar_B1,3072,2048,35,892,1285,1.0
Box1_LongI-1_Lavar_B1,3072,2048,36,992,1279,1.0
Box1_LongI-1_Lavar_B1,3072,2048,37,1025,1193,1.0
Box1_LongI-1_Lavar_B1,3072,2048,38,1058,1119,1.0
Box1_LongI-1_Lavar_B1,3072,2048,39,1146,1060,1.0
Box1_LongI-1_Lavar_B1,3072,2048,40,1227,996,1.0
Box1_LongI-1_Lavar_B1,3072,2048,41,1266,906,1.0
Box1_LongI-1_Lavar_B1,3072,2048,42,1334,822,1.0
