image,width,height,egg_id,x,y,confidence
Box1_LongI-1_LongI-1_C2,3072,2048,1,1537,1540,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,2,1599,1594,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,3,1670,1640,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,4,1539,1469,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,5,1606,1526,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,6,1662,1563,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,7,1724,1611,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,8,1556,1357,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,9,1610,1415,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,10,1653,1466,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,11,1727,1526,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,12,1782,1568,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,13,1858,1534,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,14,1794,1476,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,15,1742,1443,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,16,1676,1392,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,17,1623,1348,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,18,1569,1286,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,19,1565,1235,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,20,1627,1278,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,21,1682,1306,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,22,1736,1351,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,23,1798,1382,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,24,1858,1411,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,25,1867,1335,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,26,1782,1300,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,27,1744,1275,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,28,1674,1234,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,29,1625,1195,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,30,1560,1135,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,31,1564,1065,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,32,1633,1125,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,33,1688,1169,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,34,1749,1210,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,35,1793,1234,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,36,1871,1267,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,37,1861,1206,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,38,1813,1177,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,39,1749,1128,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,40,1691,1081,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,41,1633,1043,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,42,1571,996,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,43,1564,922,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,44,1632,973,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,45,1706,1020,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,46,1764,1062,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,47,1817,1100,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,48,1872,1132,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,49,1821,1024,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,50,1755,983,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,51,1705,956,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,52,1625,909,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,53,1585,863,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,54,1642,834,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,55,1708,894,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,56,1760,922,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,57,1820,952,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,58,1827,867,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,59,1771,824,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,60,1726,814,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,61,1606,723,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,62,1685,734,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,63,1759,723,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,64,1798,773,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,65,1788,646,1.0
Box1_LongI-1_LongI-1_C2,3072,2048,66,1709,653,1.0
