image,width,height,egg_id,x,y,confidence
Box1_LongI-1_LongI-1_D4,3072,2048,1,1450,1756,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,2,1523,1730,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,3,1438,1693,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,4,1488,1697,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,5,1464,1646,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,6,1551,1668,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,7,1519,1613,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,8,1604,1607,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,9,1455,1551,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,10,1533,1570,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,11,1608,1570,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,12,1655,1542,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,13,1695,1509,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,14,1740,1476,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,15,1562,1522,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,16,1628,1490,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,17,1668,1453,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,18,1742,1417,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,19,1492,1522,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,20,1519,1478,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,21,1576,1466,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,22,1631,1430,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,23,1696,1411,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,24,1771,1365,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,25,1822,1352,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,26,2015,648,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,27,2009,711,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,28,1992,764,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,29,1987,846,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,30,1965,904,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,31,1924,969,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,32,1916,1031,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,33,1901,1095,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,34,1868,1163,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,35,1862,1224,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,36,1848,1295,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,37,1782,1307,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,38,1803,1244,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,39,1815,1188,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,40,1843,1095,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,41,1860,1038,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,42,1902,904,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,43,1882,978,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,44,1923,853,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,45,1928,788,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,46,1957,726,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,47,1960,660,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,48,1987,590,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,49,2001,528,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,50,2015,468,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,51,2021,415,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,52,1708,1354,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,53,1716,1303,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,54,1736,1235,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,55,1767,1181,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,56,1781,1118,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,57,1799,1043,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,58,1825,989,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,59,1856,915,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,60,1867,853,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,61,1875,790,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,62,1876,717,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,63,1902,667,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,64,1930,583,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,65,1944,541,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,66,1959,483,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,67,1960,418,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,68,1979,349,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,69,1943,304,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,70,1921,365,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,71,1907,428,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,72,1893,481,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,73,1886,533,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,74,1876,611,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,75,1848,674,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,76,1834,736,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,77,1820,796,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,78,1806,866,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,79,1798,925,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,80,1773,999,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,81,1733,1089,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,82,1724,1123,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,83,1716,1194,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,84,1685,1255,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,85,1667,1311,1.0
Box1_LongI-1_LongI-1_D4,3072,2048,86,1641,1373,1.0
