image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Maclo_D1,3072,2048,1,616,238,1.0
Box1_LongI-1_Maclo_D1,3072,2048,2,691,244,1.0
Box1_LongI-1_Maclo_D1,3072,2048,3,784,276,1.0
Box1_LongI-1_Maclo_D1,3072,2048,4,883,268,1.0
Box1_LongI-1_Maclo_D1,3072,2048,5,923,354,1.0
Box1_LongI-1_Maclo_D1,3072,2048,6,821,320,1.0
Box1_LongI-1_Maclo_D1,3072,2048,7,745,297,1.0
Box1_LongI-1_Maclo_D1,3072,2048,8,642,311,1.0
Box1_LongI-1_Maclo_D1,3072,2048,9,588,323,1.0
Box1_LongI-1_Maclo_D1,3072,2048,10,605,391,1.0
Box1_LongI-1_Maclo_D1,3072,2048,11,685,373,1.0
Box1_LongI-1_Maclo_D1,3072,2048,12,840,402,1.0
Box1_LongI-1_Maclo_D1,3072,2048,13,765,384,1.0
Box1_LongI-1_Maclo_D1,3072,2048,14,930,435,1.0
Box1_LongI-1_Maclo_D1,3072,2048,15,1030,521,1.0
Box1_LongI-1_Maclo_D1,3072,2048,16,938,499,1.0
Box1_LongI-1_Maclo_D1,3072,2048,17,874,465,1.0
Box1_LongI-1_Maclo_D1,3072,2048,18,793,457,1.0
Box1_LongI-1_Maclo_D1,3072,2048,19,725,453,1.0
Box1_LongI-1_Maclo_D1,3072,2048,20,659,448,1.0
Box1_LongI-1_Maclo_D1,3072,2048,21,615,525,1.0
Box1_LongI-1_Maclo_D1,3072,2048,22,673,522,1.0
Box1_LongI-1_Maclo_D1,3072,2048,23,764,541,1.0
Box1_LongI-1_Maclo_D1,3072,2048,24,853,544,1.0
Box1_LongI-1_Maclo_D1,3072,2048,25,924,542,1.0
Box1_LongI-1_Maclo_D1,3072,2048,26,995,584,1.0
Box1_LongI-1_Maclo_D1,3072,2048,27,1069,606,1.0
Box1_LongI-1_Maclo_D1,3072,2048,28,1102,693,1.0
Box1_LongI-1_Maclo_D1,3072,2048,29,1027,671,1.0
Box1_LongI-1_Maclo_D1,3072,2048,30,939,622,1.0
Box1_LongI-1_Maclo_D1,3072,2048,31,868,625,1.0
