image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Tunis_A1-1,3072,2048,1,616,1709,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,2,724,1773,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,3,787,1773,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,4,878,1742,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,5,845,1699,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,6,773,1705,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,7,688,1684,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,8,614,1633,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,9,655,1588,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,10,725,1634,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,11,832,1633,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,12,895,1635,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,13,956,1620,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,14,993,1666,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,15,929,1690,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,16,1052,1606,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,17,1105,1601,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,18,654,1508,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,19,719,1549,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,20,802,1548,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,21,897,1565,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,22,947,1563,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,23,1045,1546,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,24,1118,1534,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,25,1177,1526,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,26,693,1469,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,27,771,1468,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,28,844,1484,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,29,924,1493,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,30,999,1495,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,31,1044,1488,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,32,1158,1462,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,33,1221,1435,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,34,1321,1424,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,35,1370,1373,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,36,1279,1373,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,37,1198,1373,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,38,1132,1389,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,39,1057,1413,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,40,972,1424,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,41,887,1393,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,42,825,1404,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,43,773,1393,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,44,680,1367,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,45,733,1312,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,46,805,1305,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,47,877,1341,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,48,933,1347,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,49,1020,1360,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,50,1110,1337,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,51,1167,1313,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,52,1250,1306,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,53,1331,1300,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,54,1390,1300,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,55,1378,1250,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,56,1319,1237,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,57,1233,1249,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,58,1164,1258,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,59,1082,1260,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,60,991,1259,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,61,927,1278,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,62,849,1253,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,63,783,1250,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,64,818,1187,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,65,884,1170,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,66,966,1195,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,67,1027,1189,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,68,1129,1194,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,69,1180,1193,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,70,1276,1182,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,71,1344,1178,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,72,1428,1167,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,73,1491,1181,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,74,1507,1129,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,75,1462,1116,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,76,1369,1119,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,77,1312,1119,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,78,1206,1131,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,79,1163,1125,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,80,1077,1094,1.0
Box1_LongI-1_Tunis_A1-1,3072,2048,81,1017,1092,1.0
