image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Tunis_B3,3072,2048,1,2028,1954,1.0
Box1_LongI-1_Tunis_B3,3072,2048,2,2104,1935,1.0
Box1_LongI-1_Tunis_B3,3072,2048,3,2202,1921,1.0
Box1_LongI-1_Tunis_B3,3072,2048,4,2262,1918,1.0
Box1_LongI-1_Tunis_B3,3072,2048,5,1849,1886,1.0
Box1_LongI-1_Tunis_B3,3072,2048,6,1965,1889,1.0
Box1_LongI-1_Tunis_B3,3072,2048,7,2045,1853,1.0
Box1_LongI-1_Tunis_B3,3072,2048,8,2138,1855,1.0
Box1_LongI-1_Tunis_B3,3072,2048,9,2226,1827,1.0
Box1_LongI-1_Tunis_B3,3072,2048,10,2293,1829,1.0
Box1_LongI-1_Tunis_B3,3072,2048,11,2396,1798,1.0
Box1_LongI-1_Tunis_B3,3072,2048,12,2443,1699,1.0
Box1_LongI-1_Tunis_B3,3072,2048,13,2342,1740,1.0
Box1_LongI-1_Tunis_B3,3072,2048,14,2263,1736,1.0
Box1_LongI-1_Tunis_B3,3072,2048,15,2169,1770,1.0
Box1_LongI-1_Tunis_B3,3072,2048,16,2078,1765,1.0
Box1_LongI-1_Tunis_B3,3072,2048,17,2005,1795,1.0
Box1_LongI-1_Tunis_B3,3072,2048,18,1884,1804,1.0
Box1_LongI-1_Tunis_B3,3072,2048,19,1802,1829,1.0
Box1_LongI-1_Tunis_B3,3072,2048,20,1753,1753,1.0
Box1_LongI-1_Tunis_B3,3072,2048,21,1855,1739,1.0
Box1_LongI-1_Tunis_B3,3072,2048,22,1945,1714,1.0
Box1_LongI-1_Tunis_B3,3072,2048,23,2045,1689,1.0
Box1_LongI-1_Tunis_B3,3072,2048,24,2119,1668,1.0
Box1_LongI-1_Tunis_B3,3072,2048,25,2189,1697,1.0
Box1_LongI-1_Tunis_B3,3072,2048,26,2290,1661,1.0
Box1_LongI-1_Tunis_B3,3072,2048,27,2393,1624,1.0
Box1_LongI-1_Tunis_B3,3072,2048,28,2465,1618,1.0
Box1_LongI-1_Tunis_B3,3072,2048,29,2412,1556,1.0
Box1_LongI-1_Tunis_B3,3072,2048,30,2327,1587,1.0
Box1_LongI-1_Tunis_B3,3072,2048,31,2223,1612,1.0
Box1_LongI-1_Tunis_B3,3072,2048,32,1626,1680,1.0
Box1_LongI-1_Tunis_B3,3072,2048,33,1719,1682,1.0
Box1_LongI-1_Tunis_B3,3072,2048,34,1784,1680,1.0
Box1_LongI-1_Tunis_B3,3072,2048,35,1903,1649,1.0
Box1_LongI-1_Tunis_B3,3072,2048,36,1972,1634,1.0
Box1_LongI-1_Tunis_B3,3072,2048,37,2053,1612,1.0
Box1_LongI-1_Tunis_B3,3072,2048,38,2150,1593,1.0
Box1_LongI-1_Tunis_B3,3072,2048,39,2260,1535,1.0
Box1_LongI-1_Tunis_B3,3072,2048,40,2345,1502,1.0
Box1_LongI-1_Tunis_B3,3072,2048,41,2290,1451,1.0
Box1_LongI-1_Tunis_B3,3072,2048,42,2183,1507,1.0
Box1_LongI-1_Tunis_B3,3072,2048,43,2096,1528,1.0
Box1_LongI-1_Tunis_B3,3072,2048,44,2010,1552,1.0
Box1_LongI-1_Tunis_B3,3072,2048,45,1928,1562,1.0
Box1_LongI-1_Tunis_B3,3072,2048,46,1835,1600,1.0
Box1_LongI-1_Tunis_B3,3072,2048,47,1750,1613,1.0
Box1_LongI-1_Tunis_B3,3072,2048,48,1663,1621,1.0
Box1_LongI-1_Tunis_B3,3072,2048,49,1573,1631,1.0
Box1_LongI-1_Tunis_B3,3072,2048,50,1514,1561,1.0
Box1_LongI-1_Tunis_B3,3072,2048,51,1603,1559,1.0
Box1_LongI-1_Tunis_B3,3072,2048,52,1706,1539,1.0
Box1_LongI-1_Tunis_B3,3072,2048,53,1798,1538,1.0
Box1_LongI-1_Tunis_B3,3072,2048,54,1866,1525,1.0
Box1_LongI-1_Tunis_B3,3072,2048,55,1965,1471,1.0
Box1_LongI-1_Tunis_B3,3072,2048,56,2041,1482,1.0
Box1_LongI-1_Tunis_B3,3072,2048,57,2133,1445,1.0
Box1_LongI-1_Tunis_B3,3072,2048,58,2211,1414,1.0
Box1_LongI-1_Tunis_B3,3072,2048,59,2314,1357,1.0
Box1_LongI-1_Tunis_B3,3072,2048,60,2222,1346,1.0
Box1_LongI-1_Tunis_B3,3072,2048,61,2149,1358,1.0
Box1_LongI-1_Tunis_B3,3072,2048,62,2061,1408,1.0
Box1_LongI-1_Tunis_B3,3072,2048,63,1985,1405,1.0
Box1_LongI-1_Tunis_B3,3072,2048,64,1892,1432,1.0
Box1_LongI-1_Tunis_B3,3072,2048,65,1810,1443,1.0
Box1_LongI-1_Tunis_B3,3072,2048,66,1725,1468,1.0
Box1_LongI-1_Tunis_B3,3072,2048,67,1631,1471,1.0
Box1_LongI-1_Tunis_B3,3072,2048,68,1552,1494,1.0
Box1_LongI-1_Tunis_B3,3072,2048,69,1442,1531,1.0
Box1_LongI-1_Tunis_B3,3072,2048,70,1403,1454,1.0
Box1_LongI-1_Tunis_B3,3072,2048,71,1497,1439,1.0
Box1_LongI-1_Tunis_B3,3072,2048,72,1566,1405,1.0
Box1_LongI-1_Tunis_B3,3072,2048,73,1677,1380,1.0
Box1_LongI-1_Tunis_B3,3072,2048,74,1757,1383,1.0
Box1_LongI-1_Tunis_B3,3072,2048,75,1836,1366,1.0
Box1_LongI-1_Tunis_B3,3072,2048,76,1920,1346,1.0
Box1_LongI-1_Tunis_B3,3072,2048,77,2005,1333,1.0
Box1_LongI-1_Tunis_B3,3072,2048,78,2099,1319,1.0
Box1_LongI-1_Tunis_B3,3072,2048,79,2167,1296,1.0
Box1_LongI-1_Tunis_B3,3072,2048,80,2106,1231,1.0
Box1_LongI-1_Tunis_B3,3072,2048,81,2031,1247,1.0
Box1_LongI-1_Tunis_B3,3072,2048,82,1945,1251,1.0
Box1_LongI-1_Tunis_B3,3072,2048,83,1867,1267,1.0
Box1_LongI-1_Tunis_B3,3072,2048,84,1776,1309,1.0
Box1_LongI-1_Tunis_B3,3072,2048,85,1678,1315,1.0
Box1_LongI-1_Tunis_B3,3072,2048,86,1620,1343,1.0
Box1_LongI-1_Tunis_B3,3072,2048,87,1502,1364,1.0
Box1_LongI-1_Tunis_B3,3072,2048,88,1397,1371,1.0
Box1_LongI-1_Tunis_B3,3072,2048,89,1330,1406,1.0
Box1_LongI-1_Tunis_B3,3072,2048,90,1341,1329,1.0
Box1_LongI-1_Tunis_B3,3072,2048,91,1420,1287,1.0
Box1_LongI-1_Tunis_B3,3072,2048,92,1518,1287,1.0
Box1_LongI-1_Tunis_B3,3072,2048,93,1654,1219,1.0
Box1_LongI-1_Tunis_B3,3072,2048,94,1723,1230,1.0
Box1_LongI-1_Tunis_B3,3072,2048,95,1798,1231,1.0
Box1_LongI-1_Tunis_B3,3072,2048,96,1887,1189,1.0
Box1_LongI-1_Tunis_B3,3072,2048,97,1972,1191,1.0
Box1_LongI-1_Tunis_B3,3072,2048,98,2045,1159,1.0
Box1_LongI-1_Tunis_B3,3072,2048,99,1963,1100,1.0
Box1_LongI-1_Tunis_B3,3072,2048,100,1884,1115,1.0
Box1_LongI-1_Tunis_B3,3072,2048,101,1807,1134,1.0
Box1_LongI-1_Tunis_B3,3072,2048,102,1720,1135,1.0
Box1_LongI-1_Tunis_B3,3072,2048,103,1637,1148,1.0
Box1_LongI-1_Tunis_B3,3072,2048,104,1545,1214,1.0
Box1_LongI-1_Tunis_B3,3072,2048,105,1496,1194,1.0
Box1_LongI-1_Tunis_B3,3072,2048,106,1360,1248,1.0
Box1_LongI-1_Tunis_B3,3072,2048,107,1259,1261,1.0
Box1_LongI-1_Tunis_B3,3072,2048,108,1310,1185,1.0
Box1_LongI-1_Tunis_B3,3072,2048,109,1372,1148,1.0
Box1_LongI-1_Tunis_B3,3072,2048,110,1504,1129,1.0
Box1_LongI-1_Tunis_B3,3072,2048,111,1556,1087,1.0
Box1_LongI-1_Tunis_B3,3072,2048,112,1663,1042,1.0
Box1_LongI-1_Tunis_B3,3072,2048,113,1750,1039,1.0
Box1_LongI-1_Tunis_B3,3072,2048,114,1832,1047,1.0
Box1_LongI-1_Tunis_B3,3072,2048,115,1909,1024,1.0
Box1_LongI-1_Tunis_B3,3072,2048,116,1858,957,1.0
Box1_LongI-1_Tunis_B3,3072,2048,117,1768,981,1.0
Box1_LongI-1_Tunis_B3,3072,2048,118,1689,956,1.0
Box1_LongI-1_Tunis_B3,3072,2048,119,1556,979,1.0
Box1_LongI-1_Tunis_B3,3072,2048,120,1508,1035,1.0
Box1_LongI-1_Tunis_B3,3072,2048,121,1417,1077,1.0
