image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Tunis_C1,3072,2048,1,1856,1753,1.0
Box1_LongI-1_Tunis_C1,3072,2048,2,2120,1706,1.0
Box1_LongI-1_Tunis_C1,3072,2048,3,2002,1752,1.0
Box1_LongI-1_Tunis_C1,3072,2048,4,1922,1752,1.0
Box1_LongI-1_Tunis_C1,3072,2048,5,1828,1715,1.0
Box1_LongI-1_Tunis_C1,3072,2048,6,1927,1634,1.0
Box1_LongI-1_Tunis_C1,3072,2048,7,2006,1629,1.0
Box1_LongI-1_Tunis_C1,3072,2048,8,2076,1593,1.0
Box1_LongI-1_Tunis_C1,3072,2048,9,2088,1525,1.0
Box1_LongI-1_Tunis_C1,3072,2048,10,1993,1537,1.0
Box1_LongI-1_Tunis_C1,3072,2048,11,1908,1588,1.0
Box1_LongI-1_Tunis_C1,3072,2048,12,1845,1620,1.0
Box1_LongI-1_Tunis_C1,3072,2048,13,1786,1642,1.0
Box1_LongI-1_Tunis_C1,3072,2048,14,1725,1621,1.0
Box1_LongI-1_Tunis_C1,3072,2048,15,1787,1574,1.0
Box1_LongI-1_Tunis_C1,3072,2048,16,1889,1518,1.0
Box1_LongI-1_Tunis_C1,3072,2048,17,1956,1494,1.0
Box1_LongI-1_Tunis_C1,3072,2048,18,2044,1469,1.0
Box1_LongI-1_Tunis_C1,3072,2048,19,2004,1420,1.0
Box1_LongI-1_Tunis_C1,3072,2048,20,1943,1425,1.0
Box1_LongI-1_Tunis_C1,3072,2048,21,1886,1461,1.0
Box1_LongI-1_Tunis_C1,3072,2048,22,1830,1490,1.0
Box1_LongI-1_Tunis_C1,3072,2048,23,1738,1536,1.0
Box1_LongI-1_Tunis_C1,3072,2048,24,1658,1560,1.0
Box1_LongI-1_Tunis_C1,3072,2048,25,1541,1533,1.0
Box1_LongI-1_Tunis_C1,3072,2048,26,1615,1516,1.0
Box1_LongI-1_Tunis_C1,3072,2048,27,1682,1463,1.0
Box1_LongI-1_Tunis_C1,3072,2048,28,1770,1438,1.0
Box1_LongI-1_Tunis_C1,3072,2048,29,1838,1411,1.0
Box1_LongI-1_Tunis_C1,3072,2048,30,1907,1385,1.0
Box1_LongI-1_Tunis_C1,3072,2048,31,1997,1374,1.0
Box1_LongI-1_Tunis_C1,3072,2048,32,1982,1308,1.0
Box1_LongI-1_Tunis_C1,3072,2048,33,1934,1329,1.0
Box1_LongI-1_Tunis_C1,3072,2048,34,1855,1344,1.0
Box1_LongI-1_Tunis_C1,3072,2048,35,1775,1369,1.0
Box1_LongI-1_Tunis_C1,3072,2048,36,1714,1397,1.0
Box1_LongI-1_Tunis_C1,3072,2048,37,1633,1436,1.0
Box1_LongI-1_Tunis_C1,3072,2048,38,1543,1457,1.0
