image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Tunis_D5,3072,2048,1,940,1876,1.0
Box1_LongI-1_Tunis_D5,3072,2048,2,1061,1834,1.0
Box1_LongI-1_Tunis_D5,3072,2048,3,1036,1762,1.0
Box1_LongI-1_Tunis_D5,3072,2048,4,1003,1795,1.0
Box1_LongI-1_Tunis_D5,3072,2048,5,886,1759,1.0
Box1_LongI-1_Tunis_D5,3072,2048,6,923,1688,1.0
Box1_LongI-1_Tunis_D5,3072,2048,7,1038,1724,1.0
Box1_LongI-1_Tunis_D5,3072,2048,8,1107,1759,1.0
Box1_LongI-1_Tunis_D5,3072,2048,9,1200,1748,1.0
Box1_LongI-1_Tunis_D5,3072,2048,10,929,1632,1.0
Box1_LongI-1_Tunis_D5,3072,2048,11,1010,1650,1.0
Box1_LongI-1_Tunis_D5,3072,2048,12,1118,1672,1.0
Box1_LongI-1_Tunis_D5,3072,2048,13,1197,1662,1.0
Box1_LongI-1_Tunis_D5,3072,2048,14,1286,1688,1.0
Box1_LongI-1_Tunis_D5,3072,2048,15,1000,1565,1.0
Box1_LongI-1_Tunis_D5,3072,2048,16,1093,1578,1.0
Box1_LongI-1_Tunis_D5,3072,2048,17,1171,1566,1.0
Box1_LongI-1_Tunis_D5,3072,2048,18,1274,1607,1.0
Box1_LongI-1_Tunis_D5,3072,2048,19,1343,1618,1.0
Box1_LongI-1_Tunis_D5,3072,2048,20,1425,1609,1.0
Box1_LongI-1_Tunis_D5,3072,2048,21,1001,1474,1.0
Box1_LongI-1_Tunis_D5,3072,2048,22,1064,1504,1.0
Box1_LongI-1_Tunis_D5,3072,2048,23,1137,1484,1.0
Box1_LongI-1_Tunis_D5,3072,2048,24,1245,1535,1.0
Box1_LongI-1_Tunis_D5,3072,2048,25,1329,1537,1.0
Box1_LongI-1_Tunis_D5,3072,2048,26,1407,1540,1.0
Box1_LongI-1_Tunis_D5,3072,2048,27,1485,1567,1.0
Box1_LongI-1_Tunis_D5,3072,2048,28,1577,1541,1.0
Box1_LongI-1_Tunis_D5,3072,2048,29,1620,1481,1.0
Box1_LongI-1_Tunis_D5,3072,2048,30,1540,1469,1.0
Box1_LongI-1_Tunis_D5,3072,2048,31,1461,1478,1.0
Box1_LongI-1_Tunis_D5,3072,2048,32,1389,1463,1.0
Box1_LongI-1_Tunis_D5,3072,2048,33,1313,1462,1.0
Box1_LongI-1_Tunis_D5,3072,2048,34,1200,1452,1.0
Box1_LongI-1_Tunis_D5,3072,2048,35,1137,1402,1.0
Box1_LongI-1_Tunis_D5,3072,2048,36,1071,1417,1.0
