image,width,height,egg_id,x,y,confidence
Box1_Long_SlabTC_B2,3072,2048,1,1184,446,1.0
Box1_Long_SlabTC_B2,3072,2048,2,1164,504,1.0
Box1_Long_SlabTC_B2,3072,2048,3,1159,591,1.0
Box1_Long_SlabTC_B2,3072,2048,4,1125,670,1.0
Box1_Long_SlabTC_B2,3072,2048,5,1104,744,1.0
Box1_Long_SlabTC_B2,3072,2048,6,1079,835,1.0
Box1_Long_SlabTC_B2,3072,2048,7,1121,958,1.0
Box1_Long_SlabTC_B2,3072,2048,8,1145,881,1.0
Box1_Long_SlabTC_B2,3072,2048,9,1177,805,1.0
Box1_Long_SlabTC_B2,3072,2048,10,1182,724,1.0
Box1_Long_SlabTC_B2,3072,2048,11,1212,654,1.0
Box1_Long_SlabTC_B2,3072,2048,12,1222,576,1.0
Box1_Long_SlabTC_B2,3072,2048,13,1249,522,1.0
Box1_Long_SlabTC_B2,3072,2048,14,1277,435,1.0
Box1_Long_SlabTC_B2,3072,2048,15,1377,429,1.0
Box1_Long_SlabTC_B2,3072,2048,16,1334,492,1.0
Box1_Long_SlabTC_B2,3072,2048,17,1300,567,1.0
Box1_Long_SlabTC_B2,3072,2048,18,1283,640,1.0
Box1_Long_SlabTC_B2,3072,2048,19,1263,724,1.0
Box1_Long_SlabTC_B2,3072,2048,20,1252,800,1.0
Box1_Long_SlabTC_B2,3072,2048,21,1226,881,1.0
Box1_Long_SlabTC_B2,3072,2048,22,1197,945,1.0
Box1_Long_SlabTC_B2,3072,2048,23,1191,1027,1.0
Box1_Long_SlabTC_B2,3072,2048,24,1264,1009,1.0
Box1_Long_SlabTC_B2,3072,2048,25,1280,940,1.0
Box1_Long_SlabTC_B2,3072,2048,26,1306,866,1.0
Box1_Long_SlabTC_B2,3072,2048,27,1311,791,1.0
Box1_Long_SlabTC_B2,3072,2048,28,1345,707,1.0
Box1_Long_SlabTC_B2,3072,2048,29,1364,640,1.0
Box1_Long_SlabTC_B2,3072,2048,30,1400,564,1.0
Box1_Long_SlabTC_B2,3072,2048,31,1436,510,1.0
Box1_Long_SlabTC_B2,3072,2048,32,1474,574,1.0
Box1_Long_SlabTC_B2,3072,2048,33,1459,648,1.0
Box1_Long_SlabTC_B2,3072,2048,34,1419,721,1.0
Box1_Long_SlabTC_B2,3072,2048,35,1383,790,1.0
Box1_Long_SlabTC_B2,3072,2048,36,1381,867,1.0
