image,width,height,egg_id,x,y,confidence
Box1_Long_SlabTC_D1,3072,2048,1,521,665,1.0
Box1_Long_SlabTC_D1,3072,2048,2,607,626,1.0
Box1_Long_SlabTC_D1,3072,2048,3,687,579,1.0
Box1_Long_SlabTC_D1,3072,2048,4,564,753,1.0
Box1_Long_SlabTC_D1,3072,2048,5,648,683,1.0
Box1_Long_SlabTC_D1,3072,2048,6,730,667,1.0
Box1_Long_SlabTC_D1,3072,2048,7,585,816,1.0
Box1_Long_SlabTC_D1,3072,2048,8,671,783,1.0
Box1_Long_SlabTC_D1,3072,2048,9,763,742,1.0
Box1_Long_SlabTC_D1,3072,2048,10,804,669,1.0
Box1_Long_SlabTC_D1,3072,2048,11,830,726,1.0
Box1_Long_SlabTC_D1,3072,2048,12,884,669,1.0
Box1_Long_SlabTC_D1,3072,2048,13,910,728,1.0
Box1_Long_SlabTC_D1,3072,2048,14,978,718,1.0
Box1_Long_SlabTC_D1,3072,2048,15,646,863,1.0
Box1_Long_SlabTC_D1,3072,2048,16,740,843,1.0
Box1_Long_SlabTC_D1,3072,2048,17,822,832,1.0
Box1_Long_SlabTC_D1,3072,2048,18,918,806,1.0
Box1_Long_SlabTC_D1,3072,2048,19,994,791,1.0
Box1_Long_SlabTC_D1,3072,2048,20,1047,753,1.0
Box1_Long_SlabTC_D1,3072,2048,21,716,914,1.0
Box1_Long_SlabTC_D1,3072,2048,22,828,910,1.0
Box1_Long_SlabTC_D1,3072,2048,23,904,890,1.0
Box1_Long_SlabTC_D1,3072,2048,24,990,890,1.0
Box1_Long_SlabTC_D1,3072,2048,25,1074,837,1.0
Box1_Long_SlabTC_D1,3072,2048,26,1131,808,1.0
Box1_Long_SlabTC_D1,3072,2048,27,783,980,1.0
Box1_Long_SlabTC_D1,3072,2048,28,876,966,1.0
Box1_Long_SlabTC_D1,3072,2048,29,959,962,1.0
Box1_Long_SlabTC_D1,3072,2048,30,1042,930,1.0
Box1_Long_SlabTC_D1,3072,2048,31,1119,881,1.0
Box1_Long_SlabTC_D1,3072,2048,32,1184,843,1.0
Box1_Long_SlabTC_D1,3072,2048,33,849,1023,1.0
Box1_Long_SlabTC_D1,3072,2048,34,930,1046,1.0
Box1_Long_SlabTC_D1,3072,2048,35,1021,1013,1.0
Box1_Long_SlabTC_D1,3072,2048,36,1097,1005,1.0
Box1_Long_SlabTC_D1,3072,2048,37,1154,973,1.0
Box1_Long_SlabTC_D1,3072,2048,38,1241,926,1.0
Box1_Long_SlabTC_D1,3072,2048,39,1303,883,1.0
Box1_Long_SlabTC_D1,3072,2048,40,882,1108,1.0
Box1_Long_SlabTC_D1,3072,2048,41,985,1119,1.0
Box1_Long_SlabTC_D1,3072,2048,42,1054,1087,1.0
Box1_Long_SlabTC_D1,3072,2048,43,1138,1070,1.0
Box1_Long_SlabTC_D1,3072,2048,44,1209,1043,1.0
Box1_Long_SlabTC_D1,3072,2048,45,1269,1020,1.0
Box1_Long_SlabTC_D1,3072,2048,46,1339,965,1.0
Box1_Long_SlabTC_D1,3072,2048,47,1397,909,1.0
Box1_Long_SlabTC_D1,3072,2048,48,955,1197,1.0
Box1_Long_SlabTC_D1,3072,2048,49,1050,1170,1.0
Box1_Long_SlabTC_D1,3072,2048,50,1144,1140,1.0
Box1_Long_SlabTC_D1,3072,2048,51,1209,1112,1.0
Box1_Long_SlabTC_D1,3072,2048,52,1273,1088,1.0
Box1_Long_SlabTC_D1,3072,2048,53,1343,1051,1.0
Box1_Long_SlabTC_D1,3072,2048,54,1407,999,1.0
Box1_Long_SlabTC_D1,3072,2048,55,1476,952,1.0
Box1_Long_SlabTC_D1,3072,2048,56,1536,927,1.0
Box1_Long_SlabTC_D1,3072,2048,57,1611,955,1.0
Box1_Long_SlabTC_D1,3072,2048,58,1553,1015,1.0
Box1_Long_SlabTC_D1,3072,2048,59,1481,1046,1.0
Box1_Long_SlabTC_D1,3072,2048,60,1429,1083,1.0
Box1_Long_SlabTC_D1,3072,2048,61,1364,1124,1.0
Box1_Long_SlabTC_D1,3072,2048,62,1285,1170,1.0
Box1_Long_SlabTC_D1,3072,2048,63,1209,1188,1.0
Box1_Long_SlabTC_D1,3072,2048,64,1115,1218,1.0
Box1_Long_SlabTC_D1,3072,2048,65,1022,1249,1.0
Box1_Long_SlabTC_D1,3072,2048,66,1103,1286,1.0
Box1_Long_SlabTC_D1,3072,2048,67,1178,1272,1.0
Box1_Long_SlabTC_D1,3072,2048,68,1268,1245,1.0
Box1_Long_SlabTC_D1,3072,2048,69,1340,1210,1.0
Box1_Long_SlabTC_D1,3072,2048,70,1411,1186,1.0
Box1_Long_SlabTC_D1,3072,2048,71,1485,1138,1.0
Box1_Long_SlabTC_D1,3072,2048,72,1539,1112,1.0
Box1_Long_SlabTC_D1,3072,2048,73,1622,1053,1.0
Box1_Long_SlabTC_D1,3072,2048,74,1674,1012,1.0
Box1_Long_SlabTC_D1,3072,2048,75,1735,1074,1.0
Box1_Long_SlabTC_D1,3072,2048,76,1654,1092,1.0
Box1_Long_SlabTC_D1,3072,2048,77,1615,1131,1.0
Box1_Long_SlabTC_D1,3072,2048,78,1548,1186,1.0
Box1_Long_SlabTC_D1,3072,2048,79,1480,1226,1.0
Box1_Long_SlabTC_D1,3072,2048,80,1411,1267,1.0
Box1_Long_SlabTC_D1,3072,2048,81,1325,1304,1.0
Box1_Long_SlabTC_D1,3072,2048,82,1238,1334,1.0
Box1_Long_SlabTC_D1,3072,2048,83,1167,1348,1.0
Box1_Long_SlabTC_D1,3072,2048,84,1222,1389,1.0
Box1_Long_SlabTC_D1,3072,2048,85,1313,1377,1.0
Box1_Long_SlabTC_D1,3072,2048,86,1409,1334,1.0
Box1_Long_SlabTC_D1,3072,2048,87,1482,1291,1.0
Box1_Long_SlabTC_D1,3072,2048,88,1546,1268,1.0
Box1_Long_SlabTC_D1,3072,2048,89,1615,1226,1.0
Box1_Long_SlabTC_D1,3072,2048,90,1671,1181,1.0
Box1_Long_SlabTC_D1,3072,2048,91,1747,1162,1.0
Box1_Long_SlabTC_D1,3072,2048,92,1888,1140,1.0
Box1_Long_SlabTC_D1,3072,2048,93,1816,1192,1.0
Box1_Long_SlabTC_D1,3072,2048,94,1745,1245,1.0
Box1_Long_SlabTC_D1,3072,2048,95,1697,1268,1.0
Box1_Long_SlabTC_D1,3072,2048,96,1631,1302,1.0
Box1_Long_SlabTC_D1,3072,2048,97,1539,1354,1.0
Box1_Long_SlabTC_D1,3072,2048,98,1477,1368,1.0
Box1_Long_SlabTC_D1,3072,2048,99,1380,1411,1.0
Box1_Long_SlabTC_D1,3072,2048,100,1293,1448,1.0
Box1_Long_SlabTC_D1,3072,2048,101,1375,1477,1.0
Box1_Long_SlabTC_D1,3072,2048,102,1453,1450,1.0
Box1_Long_SlabTC_D1,3072,2048,103,1542,1420,1.0
Box1_Long_SlabTC_D1,3072,2048,104,1624,1388,1.0
Box1_Long_SlabTC_D1,3072,2048,105,1678,1354,1.0
Box1_Long_SlabTC_D1,3072,2048,106,1745,1327,1.0
Box1_Long_SlabTC_D1,3072,2048,107,1816,1297,1.0
Box1_Long_SlabTC_D1,3072,2048,108,1888,1245,1.0
Box1_Long_SlabTC_D1,3072,2048,109,1889,1318,1.0
Box1_Long_SlabTC_D1,3072,2048,110,1838,1366,1.0
Box1_Long_SlabTC_D1,3072,2048,111,1759,1404,1.0
Box1_Long_SlabTC_D1,3072,2048,112,1678,1427,1.0
Box1_Long_SlabTC_D1,3072,2048,113,1601,1457,1.0
Box1_Long_SlabTC_D1,3072,2048,114,1507,1478,1.0
Box1_Long_SlabTC_D1,3072,2048,115,1430,1509,1.0
Box1_Long_SlabTC_D1,3072,2048,116,1516,1583,1.0
Box1_Long_SlabTC_D1,3072,2048,117,1596,1544,1.0
Box1_Long_SlabTC_D1,3072,2048,118,1672,1493,1.0
Box1_Long_SlabTC_D1,3072,2048,119,1740,1493,1.0
