image,width,height,egg_id,x,y,confidence
Box1_SlabTC_SlabTC_A4,3072,2048,1,890,370,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,2,847,407,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,3,845,550,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,4,879,485,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,5,910,419,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,6,994,323,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,7,841,682,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,8,885,609,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,9,930,555,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,10,993,447,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,11,1039,391,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,12,1083,317,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,13,1117,386,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,14,1069,453,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,15,1041,507,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,16,943,626,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,17,908,687,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,18,894,755,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,19,964,758,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,20,981,690,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,21,1005,623,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,22,1059,555,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,23,1103,515,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,24,1142,468,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,25,1165,516,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,26,1117,577,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,27,1067,620,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,28,1030,699,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,29,1024,756,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,30,995,883,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,31,1036,818,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,32,1077,750,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,33,1107,685,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,34,1157,629,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,35,1194,588,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,36,1233,527,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,37,1298,557,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,38,1259,606,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,39,1219,651,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,40,1172,702,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,41,1142,752,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,42,1101,813,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,43,1063,868,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,44,1083,936,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,45,1128,877,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,46,1166,818,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,47,1211,764,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,48,1242,700,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,49,1284,657,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,50,1336,612,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,51,1364,569,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,52,1434,592,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,53,1392,626,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,54,1355,668,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,55,1310,724,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,56,1261,772,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,57,1227,818,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,58,1182,875,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,59,1145,942,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,60,1107,1004,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,61,1151,1059,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,62,1176,1004,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,63,1217,942,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,64,1259,886,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,65,1296,824,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,66,1335,781,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,67,1361,739,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,68,1420,682,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,69,1453,645,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,70,1453,738,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,71,1409,793,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,72,1364,826,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,73,1312,880,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,74,1276,939,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,75,1234,1010,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,76,1197,1070,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,77,1225,1120,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,78,1264,1077,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,79,1302,998,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,80,1350,943,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,81,1394,888,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,82,1429,843,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,83,1487,796,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,84,1530,750,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,85,1550,807,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,86,1510,857,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,87,1445,903,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,88,1412,957,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,89,1349,1021,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,90,1279,1135,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,91,1338,1069,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,92,1423,1018,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,93,1480,968,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,94,1524,923,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,95,1573,886,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,96,1612,943,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,97,1572,976,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,98,1504,1029,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,99,1470,1063,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,100,1406,1083,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,101,1366,1131,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,102,1335,1196,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,103,1259,1214,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,104,1292,1254,1.0
Box1_SlabTC_SlabTC_A4,3072,2048,105,1313,1312,1.0
