image,width,height,egg_id,x,y,confidence
Box1_SlabTC_SlabTC_C4,3072,2048,1,892,634,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,2,931,718,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,3,936,787,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,4,960,646,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,5,979,598,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,6,1002,569,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,7,990,498,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,8,1039,497,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,9,1069,555,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,10,1036,592,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,11,1013,644,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,12,1000,695,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,13,977,751,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,14,962,816,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,15,1099,593,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,16,1065,634,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,17,1048,679,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,18,1030,728,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,19,1008,789,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,20,1012,838,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,21,1017,905,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,22,1057,978,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,23,1062,870,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,24,1063,819,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,25,1069,781,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,26,1089,723,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,27,1105,675,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,28,1137,643,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,29,1170,673,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,30,1130,714,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,31,1116,754,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,32,1122,807,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,33,1119,860,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,34,1085,915,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,35,1104,1008,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,36,1113,958,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,37,1142,913,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,38,1168,864,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,39,1171,813,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,40,1170,771,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,41,1191,723,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,42,1159,950,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,43,1164,1027,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,44,1163,1075,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,45,1172,1154,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,46,1211,1102,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,47,1202,1054,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,48,1218,995,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,49,1237,965,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,50,1254,909,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,51,1192,906,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,52,1215,868,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,53,1230,812,1.0
Box1_SlabTC_SlabTC_C4,3072,2048,54,1214,761,1.0
