image,width,height,egg_id,x,y,confidence
Box2_1_Tun_Cou5_A2,3072,2048,1,746,1569,1.0
Box2_1_Tun_Cou5_A2,3072,2048,2,875,1600,1.0
Box2_1_Tun_Cou5_A2,3072,2048,3,982,1577,1.0
Box2_1_Tun_Cou5_A2,3072,2048,4,1070,1610,1.0
Box2_1_Tun_Cou5_A2,3072,2048,5,1129,1516,1.0
Box2_1_Tun_Cou5_A2,3072,2048,6,1049,1471,1.0
Box2_1_Tun_Cou5_A2,3072,2048,7,967,1479,1.0
Box2_1_Tun_Cou5_A2,3072,2048,8,826,1477,1.0
Box2_1_Tun_Cou5_A2,3072,2048,9,898,1393,1.0
Box2_1_Tun_Cou5_A2,3072,2048,10,834,1326,1.0
Box2_1_Tun_Cou5_A2,3072,2048,11,886,1274,1.0
Box2_1_Tun_Cou5_A2,3072,2048,12,812,1238,1.0
Box2_1_Tun_Cou5_A2,3072,2048,13,1207,1448,1.0
Box2_1_Tun_Cou5_A2,3072,2048,14,1319,1475,1.0
Box2_1_Tun_Cou5_A2,3072,2048,15,1123,1455,1.0
Box2_1_Tun_Cou5_A2,3072,2048,16,1213,1377,1.0
Box2_1_Tun_Cou5_A2,3072,2048,17,1295,1375,1.0
Box2_1_Tun_Cou5_A2,3072,2048,18,1000,1291,1.0
Box2_1_Tun_Cou5_A2,3072,2048,19,1103,1246,1.0
Box2_1_Tun_Cou5_A2,3072,2048,20,1193,1262,1.0
Box2_1_Tun_Cou5_A2,3072,2048,21,1282,1268,1.0
Box2_1_Tun_Cou5_A2,3072,2048,22,1371,1314,1.0
Box2_1_Tun_Cou5_A2,3072,2048,23,1450,1313,1.0
Box2_1_Tun_Cou5_A2,3072,2048,24,1542,1259,1.0
Box2_1_Tun_Cou5_A2,3072,2048,25,1455,1235,1.0
Box2_1_Tun_Cou5_A2,3072,2048,26,1363,1215,1.0
Box2_1_Tun_Cou5_A2,3072,2048,27,1255,1186,1.0
Box2_1_Tun_Cou5_A2,3072,2048,28,1172,1184,1.0
Box2_1_Tun_Cou5_A2,3072,2048,29,1069,1153,1.0
Box2_1_Tun_Cou5_A2,3072,2048,30,1010,1208,1.0
Box2_1_Tun_Cou5_A2,3072,2048,31,955,1099,1.0
Box2_1_Tun_Cou5_A2,3072,2048,32,889,1200,1.0
Box2_1_Tun_Cou5_A2,3072,2048,33,800,1141,1.0
Box2_1_Tun_Cou5_A2,3072,2048,34,862,1085,1.0
Box2_1_Tun_Cou5_A2,3072,2048,35,960,993,1.0
Box2_1_Tun_Cou5_A2,3072,2048,36,1050,1046,1.0
Box2_1_Tun_Cou5_A2,3072,2048,37,1162,1069,1.0
Box2_1_Tun_Cou5_A2,3072,2048,38,1259,1089,1.0
Box2_1_Tun_Cou5_A2,3072,2048,39,1352,1126,1.0
