image,width,height,egg_id,x,y,confidence
Box2_1_Tun_Cou5_B4,3072,2048,1,1080,1768,1.0
Box2_1_Tun_Cou5_B4,3072,2048,2,1180,1794,1.0
Box2_1_Tun_Cou5_B4,3072,2048,3,1301,1833,1.0
Box2_1_Tun_Cou5_B4,3072,2048,4,1414,1790,1.0
Box2_1_Tun_Cou5_B4,3072,2048,5,1526,1823,1.0
Box2_1_Tun_Cou5_B4,3072,2048,6,1545,1727,1.0
Box2_1_Tun_Cou5_B4,3072,2048,7,1482,1734,1.0
Box2_1_Tun_Cou5_B4,3072,2048,8,1374,1720,1.0
Box2_1_Tun_Cou5_B4,3072,2048,9,1271,1710,1.0
Box2_1_Tun_Cou5_B4,3072,2048,10,1191,1693,1.0
Box2_1_Tun_Cou5_B4,3072,2048,11,1090,1661,1.0
Box2_1_Tun_Cou5_B4,3072,2048,12,1113,1575,1.0
Box2_1_Tun_Cou5_B4,3072,2048,13,1213,1619,1.0
Box2_1_Tun_Cou5_B4,3072,2048,14,1303,1622,1.0
Box2_1_Tun_Cou5_B4,3072,2048,15,1405,1650,1.0
Box2_1_Tun_Cou5_B4,3072,2048,16,1498,1640,1.0
Box2_1_Tun_Cou5_B4,3072,2048,17,1600,1662,1.0
Box2_1_Tun_Cou5_B4,3072,2048,18,1682,1616,1.0
Box2_1_Tun_Cou5_B4,3072,2048,19,1581,1587,1.0
Box2_1_Tun_Cou5_B4,3072,2048,20,1471,1559,1.0
Box2_1_Tun_Cou5_B4,3072,2048,21,1375,1562,1.0
Box2_1_Tun_Cou5_B4,3072,2048,22,1303,1525,1.0
Box2_1_Tun_Cou5_B4,3072,2048,23,1184,1517,1.0
Box2_1_Tun_Cou5_B4,3072,2048,24,1104,1473,1.0
Box2_1_Tun_Cou5_B4,3072,2048,25,1080,1379,1.0
Box2_1_Tun_Cou5_B4,3072,2048,26,1171,1417,1.0
Box2_1_Tun_Cou5_B4,3072,2048,27,1254,1433,1.0
Box2_1_Tun_Cou5_B4,3072,2048,28,1354,1453,1.0
Box2_1_Tun_Cou5_B4,3072,2048,29,1449,1480,1.0
Box2_1_Tun_Cou5_B4,3072,2048,30,1543,1501,1.0
Box2_1_Tun_Cou5_B4,3072,2048,31,1649,1523,1.0
Box2_1_Tun_Cou5_B4,3072,2048,32,1732,1506,1.0
Box2_1_Tun_Cou5_B4,3072,2048,33,1841,1434,1.0
Box2_1_Tun_Cou5_B4,3072,2048,34,1701,1436,1.0
Box2_1_Tun_Cou5_B4,3072,2048,35,1620,1430,1.0
Box2_1_Tun_Cou5_B4,3072,2048,36,1516,1403,1.0
Box2_1_Tun_Cou5_B4,3072,2048,37,1433,1376,1.0
Box2_1_Tun_Cou5_B4,3072,2048,38,1335,1347,1.0
Box2_1_Tun_Cou5_B4,3072,2048,39,1240,1357,1.0
Box2_1_Tun_Cou5_B4,3072,2048,40,1150,1312,1.0
Box2_1_Tun_Cou5_B4,3072,2048,41,1067,1272,1.0
Box2_1_Tun_Cou5_B4,3072,2048,42,1137,1215,1.0
Box2_1_Tun_Cou5_B4,3072,2048,43,1223,1260,1.0
Box2_1_Tun_Cou5_B4,3072,2048,44,1325,1275,1.0
Box2_1_Tun_Cou5_B4,3072,2048,45,1395,1285,1.0
Box2_1_Tun_Cou5_B4,3072,2048,46,1508,1302,1.0
Box2_1_Tun_Cou5_B4,3072,2048,47,1574,1322,1.0
Box2_1_Tun_Cou5_B4,3072,2048,48,1677,1367,1.0
Box2_1_Tun_Cou5_B4,3072,2048,49,1804,1372,1.0
Box2_1_Tun_Cou5_B4,3072,2048,50,1901,1363,1.0
Box2_1_Tun_Cou5_B4,3072,2048,51,1976,1302,1.0
Box2_1_Tun_Cou5_B4,3072,2048,52,1882,1270,1.0
Box2_1_Tun_Cou5_B4,3072,2048,53,1762,1268,1.0
Box2_1_Tun_Cou5_B4,3072,2048,54,1661,1270,1.0
Box2_1_Tun_Cou5_B4,3072,2048,55,1590,1244,1.0
Box2_1_Tun_Cou5_B4,3072,2048,56,1474,1197,1.0
Box2_1_Tun_Cou5_B4,3072,2048,57,1383,1200,1.0
Box2_1_Tun_Cou5_B4,3072,2048,58,1283,1180,1.0
Box2_1_Tun_Cou5_B4,3072,2048,59,1182,1147,1.0
Box2_1_Tun_Cou5_B4,3072,2048,60,1118,1098,1.0
Box2_1_Tun_Cou5_B4,3072,2048,61,1089,990,1.0
Box2_1_Tun_Cou5_B4,3072,2048,62,1174,1042,1.0
Box2_1_Tun_Cou5_B4,3072,2048,63,1268,1084,1.0
Box2_1_Tun_Cou5_B4,3072,2048,64,1360,1104,1.0
Box2_1_Tun_Cou5_B4,3072,2048,65,1450,1123,1.0
Box2_1_Tun_Cou5_B4,3072,2048,66,1538,1132,1.0
Box2_1_Tun_Cou5_B4,3072,2048,67,1671,1161,1.0
Box2_1_Tun_Cou5_B4,3072,2048,68,1726,1172,1.0
Box2_1_Tun_Cou5_B4,3072,2048,69,1834,1178,1.0
Box2_1_Tun_Cou5_B4,3072,2048,70,1945,1196,1.0
Box2_1_Tun_Cou5_B4,3072,2048,71,2050,1212,1.0
Box2_1_Tun_Cou5_B4,3072,2048,72,1995,1122,1.0
Box2_1_Tun_Cou5_B4,3072,2048,73,1898,1120,1.0
Box2_1_Tun_Cou5_B4,3072,2048,74,1784,1087,1.0
Box2_1_Tun_Cou5_B4,3072,2048,75,1700,1093,1.0
Box2_1_Tun_Cou5_B4,3072,2048,76,1603,1073,1.0
Box2_1_Tun_Cou5_B4,3072,2048,77,1517,1054,1.0
Box2_1_Tun_Cou5_B4,3072,2048,78,1420,1030,1.0
Box2_1_Tun_Cou5_B4,3072,2048,79,1301,997,1.0
Box2_1_Tun_Cou5_B4,3072,2048,80,1223,958,1.0
Box2_1_Tun_Cou5_B4,3072,2048,81,1126,920,1.0
Box2_1_Tun_Cou5_B4,3072,2048,82,1198,839,1.0
Box2_1_Tun_Cou5_B4,3072,2048,83,1271,890,1.0
Box2_1_Tun_Cou5_B4,3072,2048,84,1396,947,1.0
Box2_1_Tun_Cou5_B4,3072,2048,85,1474,963,1.0
Box2_1_Tun_Cou5_B4,3072,2048,86,1573,978,1.0
Box2_1_Tun_Cou5_B4,3072,2048,87,1661,955,1.0
Box2_1_Tun_Cou5_B4,3072,2048,88,1758,1017,1.0
Box2_1_Tun_Cou5_B4,3072,2048,89,1867,1034,1.0
Box2_1_Tun_Cou5_B4,3072,2048,90,1973,1052,1.0
Box2_1_Tun_Cou5_B4,3072,2048,91,2080,1056,1.0
Box2_1_Tun_Cou5_B4,3072,2048,92,2041,996,1.0
Box2_1_Tun_Cou5_B4,3072,2048,93,2044,961,1.0
Box2_1_Tun_Cou5_B4,3072,2048,94,1920,966,1.0
Box2_1_Tun_Cou5_B4,3072,2048,95,1798,924,1.0
Box2_1_Tun_Cou5_B4,3072,2048,96,1729,890,1.0
Box2_1_Tun_Cou5_B4,3072,2048,97,1628,880,1.0
Box2_1_Tun_Cou5_B4,3072,2048,98,1524,871,1.0
Box2_1_Tun_Cou5_B4,3072,2048,99,1444,859,1.0
Box2_1_Tun_Cou5_B4,3072,2048,100,1360,876,1.0
Box2_1_Tun_Cou5_B4,3072,2048,101,1282,817,1.0
Box2_1_Tun_Cou5_B4,3072,2048,102,1348,711,1.0
Box2_1_Tun_Cou5_B4,3072,2048,103,1426,746,1.0
Box2_1_Tun_Cou5_B4,3072,2048,104,1504,769,1.0
Box2_1_Tun_Cou5_B4,3072,2048,105,1622,784,1.0
Box2_1_Tun_Cou5_B4,3072,2048,106,1703,807,1.0
Box2_1_Tun_Cou5_B4,3072,2048,107,1801,831,1.0
Box2_1_Tun_Cou5_B4,3072,2048,108,1879,857,1.0
Box2_1_Tun_Cou5_B4,3072,2048,109,2008,905,1.0
Box2_1_Tun_Cou5_B4,3072,2048,110,2056,862,1.0
Box2_1_Tun_Cou5_B4,3072,2048,111,2159,884,1.0
Box2_1_Tun_Cou5_B4,3072,2048,112,1978,824,1.0
Box2_1_Tun_Cou5_B4,3072,2048,113,1883,762,1.0
Box2_1_Tun_Cou5_B4,3072,2048,114,1778,722,1.0
Box2_1_Tun_Cou5_B4,3072,2048,115,1684,729,1.0
Box2_1_Tun_Cou5_B4,3072,2048,116,1605,703,1.0
Box2_1_Tun_Cou5_B4,3072,2048,117,1492,684,1.0
Box2_1_Tun_Cou5_B4,3072,2048,118,1419,667,1.0
Box2_1_Tun_Cou5_B4,3072,2048,119,1582,610,1.0
Box2_1_Tun_Cou5_B4,3072,2048,120,1703,604,1.0
Box2_1_Tun_Cou5_B4,3072,2048,121,1764,631,1.0
Box2_1_Tun_Cou5_B4,3072,2048,122,1870,639,1.0
Box2_1_Tun_Cou5_B4,3072,2048,123,1969,707,1.0
Box2_1_Tun_Cou5_B4,3072,2048,124,2053,769,1.0
Box2_1_Tun_Cou5_B4,3072,2048,125,2152,788,1.0
Box2_1_Tun_Cou5_B4,3072,2048,126,2143,671,1.0
