image,width,height,egg_id,x,y,confidence
Box2_Cou6_IST_A1,3072,2048,1,1242,1244,1.0
Box2_Cou6_IST_A1,3072,2048,2,1303,1356,1.0
Box2_Cou6_IST_A1,3072,2048,3,1401,1324,1.0
Box2_Cou6_IST_A1,3072,2048,4,1407,1410,1.0
Box2_Cou6_IST_A1,3072,2048,5,1491,1430,1.0
Box2_Cou6_IST_A1,3072,2048,6,1602,1414,1.0
Box2_Cou6_IST_A1,3072,2048,7,1680,1455,1.0
Box2_Cou6_IST_A1,3072,2048,8,1676,1385,1.0
Box2_Cou6_IST_A1,3072,2048,9,1723,1326,1.0
Box2_Cou6_IST_A1,3072,2048,10,1631,1297,1.0
Box2_Cou6_IST_A1,3072,2048,11,1551,1348,1.0
Box2_Cou6_IST_A1,3072,2048,12,1479,1340,1.0
Box2_Cou6_IST_A1,3072,2048,13,1455,1258,1.0
Box2_Cou6_IST_A1,3072,2048,14,1352,1217,1.0
Box2_Cou6_IST_A1,3072,2048,15,1536,1274,1.0
Box2_Cou6_IST_A1,3072,2048,16,1596,1217,1.0
Box2_Cou6_IST_A1,3072,2048,17,1491,1207,1.0
Box2_Cou6_IST_A1,3072,2048,18,1401,1137,1.0
Box2_Cou6_IST_A1,3072,2048,19,1334,1125,1.0
Box2_Cou6_IST_A1,3072,2048,20,1358,1062,1.0
Box2_Cou6_IST_A1,3072,2048,21,1463,1127,1.0
Box2_Cou6_IST_A1,3072,2048,22,1592,1141,1.0
Box2_Cou6_IST_A1,3072,2048,23,1680,1143,1.0
Box2_Cou6_IST_A1,3072,2048,24,1733,1209,1.0
Box2_Cou6_IST_A1,3072,2048,25,1788,1113,1.0
Box2_Cou6_IST_A1,3072,2048,26,1721,1070,1.0
Box2_Cou6_IST_A1,3072,2048,27,1631,1094,1.0
Box2_Cou6_IST_A1,3072,2048,28,1612,1017,1.0
Box2_Cou6_IST_A1,3072,2048,29,1528,1021,1.0
Box2_Cou6_IST_A1,3072,2048,30,1448,994,1.0
Box2_Cou6_IST_A1,3072,2048,31,1516,927,1.0
Box2_Cou6_IST_A1,3072,2048,32,1680,955,1.0
Box2_Cou6_IST_A1,3072,2048,33,1565,861,1.0
Box2_Cou6_IST_A1,3072,2048,34,1653,826,1.0
Box2_Cou6_IST_A1,3072,2048,35,1590,710,1.0
Box2_Cou6_IST_A1,3072,2048,36,1700,771,1.0
Box2_Cou6_IST_A1,3072,2048,37,1778,890,1.0
Box2_Cou6_IST_A1,3072,2048,38,1794,988,1.0
