image,width,height,egg_id,x,y,confidence
Box2_Cou6_IST_B4,3072,2048,1,1843,1742,1.0
Box2_Cou6_IST_B4,3072,2048,2,1926,1716,1.0
Box2_Cou6_IST_B4,3072,2048,3,2025,1646,1.0
Box2_Cou6_IST_B4,3072,2048,4,2098,1606,1.0
Box2_Cou6_IST_B4,3072,2048,5,2169,1556,1.0
Box2_Cou6_IST_B4,3072,2048,6,1736,1725,1.0
Box2_Cou6_IST_B4,3072,2048,7,1815,1688,1.0
Box2_Cou6_IST_B4,3072,2048,8,1873,1638,1.0
Box2_Cou6_IST_B4,3072,2048,9,1943,1607,1.0
Box2_Cou6_IST_B4,3072,2048,10,2014,1576,1.0
Box2_Cou6_IST_B4,3072,2048,11,2087,1538,1.0
Box2_Cou6_IST_B4,3072,2048,12,2186,1468,1.0
Box2_Cou6_IST_B4,3072,2048,13,2253,1499,1.0
Box2_Cou6_IST_B4,3072,2048,14,2245,1419,1.0
Box2_Cou6_IST_B4,3072,2048,15,2316,1375,1.0
Box2_Cou6_IST_B4,3072,2048,16,1672,1661,1.0
Box2_Cou6_IST_B4,3072,2048,17,1760,1618,1.0
Box2_Cou6_IST_B4,3072,2048,18,1813,1569,1.0
Box2_Cou6_IST_B4,3072,2048,19,1887,1550,1.0
Box2_Cou6_IST_B4,3072,2048,20,1949,1535,1.0
Box2_Cou6_IST_B4,3072,2048,21,2044,1501,1.0
Box2_Cou6_IST_B4,3072,2048,22,2107,1470,1.0
Box2_Cou6_IST_B4,3072,2048,23,2177,1403,1.0
Box2_Cou6_IST_B4,3072,2048,24,2223,1350,1.0
Box2_Cou6_IST_B4,3072,2048,25,1703,1570,1.0
Box2_Cou6_IST_B4,3072,2048,26,1751,1545,1.0
Box2_Cou6_IST_B4,3072,2048,27,1833,1514,1.0
Box2_Cou6_IST_B4,3072,2048,28,1894,1488,1.0
Box2_Cou6_IST_B4,3072,2048,29,2002,1429,1.0
Box2_Cou6_IST_B4,3072,2048,30,2062,1409,1.0
Box2_Cou6_IST_B4,3072,2048,31,2112,1363,1.0
Box2_Cou6_IST_B4,3072,2048,32,2177,1316,1.0
Box2_Cou6_IST_B4,3072,2048,33,2253,1279,1.0
Box2_Cou6_IST_B4,3072,2048,34,2301,1208,1.0
Box2_Cou6_IST_B4,3072,2048,35,2314,1118,1.0
Box2_Cou6_IST_B4,3072,2048,36,2242,1162,1.0
Box2_Cou6_IST_B4,3072,2048,37,2186,1224,1.0
Box2_Cou6_IST_B4,3072,2048,38,2099,1276,1.0
Box2_Cou6_IST_B4,3072,2048,39,2027,1333,1.0
Box2_Cou6_IST_B4,3072,2048,40,1959,1372,1.0
Box2_Cou6_IST_B4,3072,2048,41,1890,1409,1.0
Box2_Cou6_IST_B4,3072,2048,42,1827,1453,1.0
Box2_Cou6_IST_B4,3072,2048,43,1768,1471,1.0
Box2_Cou6_IST_B4,3072,2048,44,1683,1516,1.0
Box2_Cou6_IST_B4,3072,2048,45,1607,1514,1.0
Box2_Cou6_IST_B4,3072,2048,46,1643,1440,1.0
Box2_Cou6_IST_B4,3072,2048,47,1728,1434,1.0
Box2_Cou6_IST_B4,3072,2048,48,1781,1398,1.0
Box2_Cou6_IST_B4,3072,2048,49,1841,1355,1.0
Box2_Cou6_IST_B4,3072,2048,50,1914,1326,1.0
Box2_Cou6_IST_B4,3072,2048,51,1977,1273,1.0
Box2_Cou6_IST_B4,3072,2048,52,2037,1236,1.0
Box2_Cou6_IST_B4,3072,2048,53,2106,1193,1.0
Box2_Cou6_IST_B4,3072,2048,54,2178,1124,1.0
Box2_Cou6_IST_B4,3072,2048,55,2254,1075,1.0
Box2_Cou6_IST_B4,3072,2048,56,2304,1039,1.0
Box2_Cou6_IST_B4,3072,2048,57,2325,976,1.0
Box2_Cou6_IST_B4,3072,2048,58,2249,1010,1.0
Box2_Cou6_IST_B4,3072,2048,59,2186,1053,1.0
Box2_Cou6_IST_B4,3072,2048,60,2112,1081,1.0
Box2_Cou6_IST_B4,3072,2048,61,2056,1140,1.0
Box2_Cou6_IST_B4,3072,2048,62,1986,1189,1.0
Box2_Cou6_IST_B4,3072,2048,63,1914,1211,1.0
Box2_Cou6_IST_B4,3072,2048,64,1875,1281,1.0
Box2_Cou6_IST_B4,3072,2048,65,1791,1306,1.0
Box2_Cou6_IST_B4,3072,2048,66,1725,1340,1.0
Box2_Cou6_IST_B4,3072,2048,67,1648,1371,1.0
Box2_Cou6_IST_B4,3072,2048,68,1581,1369,1.0
Box2_Cou6_IST_B4,3072,2048,69,1586,1307,1.0
Box2_Cou6_IST_B4,3072,2048,70,1666,1278,1.0
Box2_Cou6_IST_B4,3072,2048,71,1728,1248,1.0
Box2_Cou6_IST_B4,3072,2048,72,1835,1228,1.0
Box2_Cou6_IST_B4,3072,2048,73,1869,1176,1.0
Box2_Cou6_IST_B4,3072,2048,74,1942,1140,1.0
Box2_Cou6_IST_B4,3072,2048,75,1994,1112,1.0
Box2_Cou6_IST_B4,3072,2048,76,2068,1038,1.0
Box2_Cou6_IST_B4,3072,2048,77,2143,1005,1.0
Box2_Cou6_IST_B4,3072,2048,78,2225,950,1.0
Box2_Cou6_IST_B4,3072,2048,79,2274,912,1.0
Box2_Cou6_IST_B4,3072,2048,80,2276,834,1.0
Box2_Cou6_IST_B4,3072,2048,81,2213,882,1.0
Box2_Cou6_IST_B4,3072,2048,82,2149,925,1.0
Box2_Cou6_IST_B4,3072,2048,83,2073,964,1.0
Box2_Cou6_IST_B4,3072,2048,84,1996,991,1.0
Box2_Cou6_IST_B4,3072,2048,85,1939,1062,1.0
Box2_Cou6_IST_B4,3072,2048,86,1898,1085,1.0
Box2_Cou6_IST_B4,3072,2048,87,1815,1124,1.0
Box2_Cou6_IST_B4,3072,2048,88,1751,1163,1.0
Box2_Cou6_IST_B4,3072,2048,89,1681,1199,1.0
Box2_Cou6_IST_B4,3072,2048,90,1601,1226,1.0
Box2_Cou6_IST_B4,3072,2048,91,1630,1126,1.0
