image,width,height,egg_id,x,y,confidence
Box2_Cou6_IST_C3,3072,2048,1,944,409,1.0
Box2_Cou6_IST_C3,3072,2048,2,1033,406,1.0
Box2_Cou6_IST_C3,3072,2048,3,1092,461,1.0
Box2_Cou6_IST_C3,3072,2048,4,1153,507,1.0
Box2_Cou6_IST_C3,3072,2048,5,1197,569,1.0
Box2_Cou6_IST_C3,3072,2048,6,1221,628,1.0
Box2_Cou6_IST_C3,3072,2048,7,1254,695,1.0
Box2_Cou6_IST_C3,3072,2048,8,1297,756,1.0
Box2_Cou6_IST_C3,3072,2048,9,1341,816,1.0
Box2_Cou6_IST_C3,3072,2048,10,925,468,1.0
Box2_Cou6_IST_C3,3072,2048,11,983,452,1.0
Box2_Cou6_IST_C3,3072,2048,12,1048,507,1.0
Box2_Cou6_IST_C3,3072,2048,13,1078,578,1.0
Box2_Cou6_IST_C3,3072,2048,14,1089,665,1.0
Box2_Cou6_IST_C3,3072,2048,15,1147,709,1.0
Box2_Cou6_IST_C3,3072,2048,16,1178,772,1.0
Box2_Cou6_IST_C3,3072,2048,17,1229,824,1.0
Box2_Cou6_IST_C3,3072,2048,18,1254,903,1.0
Box2_Cou6_IST_C3,3072,2048,19,1323,934,1.0
Box2_Cou6_IST_C3,3072,2048,20,1358,1004,1.0
Box2_Cou6_IST_C3,3072,2048,21,988,521,1.0
Box2_Cou6_IST_C3,3072,2048,22,1008,583,1.0
Box2_Cou6_IST_C3,3072,2048,23,1033,646,1.0
Box2_Cou6_IST_C3,3072,2048,24,1035,696,1.0
Box2_Cou6_IST_C3,3072,2048,25,1073,762,1.0
Box2_Cou6_IST_C3,3072,2048,26,1122,825,1.0
Box2_Cou6_IST_C3,3072,2048,27,1163,890,1.0
Box2_Cou6_IST_C3,3072,2048,28,1201,929,1.0
Box2_Cou6_IST_C3,3072,2048,29,1194,999,1.0
Box2_Cou6_IST_C3,3072,2048,30,1322,1087,1.0
Box2_Cou6_IST_C3,3072,2048,31,1352,1147,1.0
Box2_Cou6_IST_C3,3072,2048,32,1396,1212,1.0
Box2_Cou6_IST_C3,3072,2048,33,1256,1027,1.0
Box2_Cou6_IST_C3,3072,2048,34,959,586,1.0
Box2_Cou6_IST_C3,3072,2048,35,890,526,1.0
Box2_Cou6_IST_C3,3072,2048,36,870,638,1.0
Box2_Cou6_IST_C3,3072,2048,37,972,677,1.0
Box2_Cou6_IST_C3,3072,2048,38,914,731,1.0
Box2_Cou6_IST_C3,3072,2048,39,863,784,1.0
Box2_Cou6_IST_C3,3072,2048,40,819,860,1.0
Box2_Cou6_IST_C3,3072,2048,41,944,797,1.0
Box2_Cou6_IST_C3,3072,2048,42,1008,770,1.0
Box2_Cou6_IST_C3,3072,2048,43,857,917,1.0
Box2_Cou6_IST_C3,3072,2048,44,926,885,1.0
Box2_Cou6_IST_C3,3072,2048,45,983,866,1.0
Box2_Cou6_IST_C3,3072,2048,46,1046,824,1.0
Box2_Cou6_IST_C3,3072,2048,47,838,1045,1.0
Box2_Cou6_IST_C3,3072,2048,48,890,1007,1.0
Box2_Cou6_IST_C3,3072,2048,49,958,959,1.0
Box2_Cou6_IST_C3,3072,2048,50,1026,926,1.0
Box2_Cou6_IST_C3,3072,2048,51,1084,893,1.0
Box2_Cou6_IST_C3,3072,2048,52,840,1134,1.0
Box2_Cou6_IST_C3,3072,2048,53,904,1097,1.0
Box2_Cou6_IST_C3,3072,2048,54,959,1049,1.0
Box2_Cou6_IST_C3,3072,2048,55,1018,1016,1.0
Box2_Cou6_IST_C3,3072,2048,56,1065,985,1.0
Box2_Cou6_IST_C3,3072,2048,57,1131,934,1.0
Box2_Cou6_IST_C3,3072,2048,58,1128,1049,1.0
Box2_Cou6_IST_C3,3072,2048,59,1052,1071,1.0
Box2_Cou6_IST_C3,3072,2048,60,1007,1109,1.0
Box2_Cou6_IST_C3,3072,2048,61,958,1164,1.0
Box2_Cou6_IST_C3,3072,2048,62,890,1194,1.0
Box2_Cou6_IST_C3,3072,2048,63,830,1341,1.0
Box2_Cou6_IST_C3,3072,2048,64,875,1291,1.0
Box2_Cou6_IST_C3,3072,2048,65,940,1260,1.0
Box2_Cou6_IST_C3,3072,2048,66,997,1222,1.0
Box2_Cou6_IST_C3,3072,2048,67,1066,1165,1.0
Box2_Cou6_IST_C3,3072,2048,68,1123,1110,1.0
Box2_Cou6_IST_C3,3072,2048,69,1199,1080,1.0
Box2_Cou6_IST_C3,3072,2048,70,1258,1122,1.0
Box2_Cou6_IST_C3,3072,2048,71,1175,1155,1.0
Box2_Cou6_IST_C3,3072,2048,72,1125,1203,1.0
Box2_Cou6_IST_C3,3072,2048,73,1073,1259,1.0
Box2_Cou6_IST_C3,3072,2048,74,1016,1284,1.0
Box2_Cou6_IST_C3,3072,2048,75,941,1336,1.0
Box2_Cou6_IST_C3,3072,2048,76,892,1385,1.0
Box2_Cou6_IST_C3,3072,2048,77,833,1403,1.0
Box2_Cou6_IST_C3,3072,2048,78,829,1482,1.0
Box2_Cou6_IST_C3,3072,2048,79,900,1454,1.0
Box2_Cou6_IST_C3,3072,2048,80,974,1395,1.0
Box2_Cou6_IST_C3,3072,2048,81,1027,1374,1.0
Box2_Cou6_IST_C3,3072,2048,82,1090,1315,1.0
Box2_Cou6_IST_C3,3072,2048,83,1144,1263,1.0
Box2_Cou6_IST_C3,3072,2048,84,1218,1212,1.0
Box2_Cou6_IST_C3,3072,2048,85,1291,1184,1.0
Box2_Cou6_IST_C3,3072,2048,86,1322,1252,1.0
Box2_Cou6_IST_C3,3072,2048,87,1226,1282,1.0
Box2_Cou6_IST_C3,3072,2048,88,1174,1347,1.0
Box2_Cou6_IST_C3,3072,2048,89,1121,1378,1.0
Box2_Cou6_IST_C3,3072,2048,90,1075,1429,1.0
Box2_Cou6_IST_C3,3072,2048,91,1007,1470,1.0
Box2_Cou6_IST_C3,3072,2048,92,925,1517,1.0
Box2_Cou6_IST_C3,3072,2048,93,978,1626,1.0
Box2_Cou6_IST_C3,3072,2048,94,1012,1559,1.0
Box2_Cou6_IST_C3,3072,2048,95,1084,1507,1.0
Box2_Cou6_IST_C3,3072,2048,96,1130,1469,1.0
Box2_Cou6_IST_C3,3072,2048,97,1178,1414,1.0
Box2_Cou6_IST_C3,3072,2048,98,1239,1369,1.0
Box2_Cou6_IST_C3,3072,2048,99,1299,1318,1.0
Box2_Cou6_IST_C3,3072,2048,100,1380,1280,1.0
Box2_Cou6_IST_C3,3072,2048,101,1424,1329,1.0
Box2_Cou6_IST_C3,3072,2048,102,1336,1361,1.0
Box2_Cou6_IST_C3,3072,2048,103,1284,1414,1.0
Box2_Cou6_IST_C3,3072,2048,104,1204,1462,1.0
Box2_Cou6_IST_C3,3072,2048,105,1165,1522,1.0
Box2_Cou6_IST_C3,3072,2048,106,1106,1576,1.0
Box2_Cou6_IST_C3,3072,2048,107,1064,1610,1.0
Box2_Cou6_IST_C3,3072,2048,108,1021,1685,1.0
Box2_Cou6_IST_C3,3072,2048,109,1101,1666,1.0
Box2_Cou6_IST_C3,3072,2048,110,1160,1621,1.0
Box2_Cou6_IST_C3,3072,2048,111,1212,1576,1.0
