image,width,height,egg_id,x,y,confidence
Box2_Cou6_IST_D4,3072,2048,1,1074,1680,1.0
Box2_Cou6_IST_D4,3072,2048,2,982,1643,1.0
Box2_Cou6_IST_D4,3072,2048,3,1137,1637,1.0
Box2_Cou6_IST_D4,3072,2048,4,918,1575,1.0
Box2_Cou6_IST_D4,3072,2048,5,1033,1547,1.0
Box2_Cou6_IST_D4,3072,2048,6,1125,1520,1.0
Box2_Cou6_IST_D4,3072,2048,7,1229,1563,1.0
Box2_Cou6_IST_D4,3072,2048,8,1201,1522,1.0
Box2_Cou6_IST_D4,3072,2048,9,1270,1477,1.0
Box2_Cou6_IST_D4,3072,2048,10,1305,1412,1.0
Box2_Cou6_IST_D4,3072,2048,11,1383,1346,1.0
Box2_Cou6_IST_D4,3072,2048,12,1164,1434,1.0
Box2_Cou6_IST_D4,3072,2048,13,1219,1381,1.0
Box2_Cou6_IST_D4,3072,2048,14,1262,1332,1.0
Box2_Cou6_IST_D4,3072,2048,15,1311,1283,1.0
Box2_Cou6_IST_D4,3072,2048,16,1385,1262,1.0
Box2_Cou6_IST_D4,3072,2048,17,1000,1491,1.0
Box2_Cou6_IST_D4,3072,2048,18,1058,1442,1.0
Box2_Cou6_IST_D4,3072,2048,19,1101,1362,1.0
Box2_Cou6_IST_D4,3072,2048,20,1172,1332,1.0
Box2_Cou6_IST_D4,3072,2048,21,861,1512,1.0
Box2_Cou6_IST_D4,3072,2048,22,916,1438,1.0
Box2_Cou6_IST_D4,3072,2048,23,1000,1389,1.0
Box2_Cou6_IST_D4,3072,2048,24,851,1375,1.0
Box2_Cou6_IST_D4,3072,2048,25,941,1340,1.0
Box2_Cou6_IST_D4,3072,2048,26,1037,1295,1.0
Box2_Cou6_IST_D4,3072,2048,27,1115,1248,1.0
Box2_Cou6_IST_D4,3072,2048,28,1213,1260,1.0
Box2_Cou6_IST_D4,3072,2048,29,1287,1205,1.0
Box2_Cou6_IST_D4,3072,2048,30,1373,1186,1.0
Box2_Cou6_IST_D4,3072,2048,31,1428,1164,1.0
Box2_Cou6_IST_D4,3072,2048,32,1508,1129,1.0
Box2_Cou6_IST_D4,3072,2048,33,1577,1092,1.0
Box2_Cou6_IST_D4,3072,2048,34,886,1281,1.0
Box2_Cou6_IST_D4,3072,2048,35,981,1233,1.0
Box2_Cou6_IST_D4,3072,2048,36,1066,1194,1.0
Box2_Cou6_IST_D4,3072,2048,37,1142,1182,1.0
Box2_Cou6_IST_D4,3072,2048,38,1231,1143,1.0
Box2_Cou6_IST_D4,3072,2048,39,1313,1124,1.0
Box2_Cou6_IST_D4,3072,2048,40,1380,1100,1.0
Box2_Cou6_IST_D4,3072,2048,41,1466,1073,1.0
Box2_Cou6_IST_D4,3072,2048,42,1502,1021,1.0
Box2_Cou6_IST_D4,3072,2048,43,1627,1013,1.0
Box2_Cou6_IST_D4,3072,2048,44,1626,939,1.0
Box2_Cou6_IST_D4,3072,2048,45,905,1197,1.0
Box2_Cou6_IST_D4,3072,2048,46,982,1140,1.0
Box2_Cou6_IST_D4,3072,2048,47,1081,1134,1.0
Box2_Cou6_IST_D4,3072,2048,48,1174,1090,1.0
Box2_Cou6_IST_D4,3072,2048,49,1244,1059,1.0
Box2_Cou6_IST_D4,3072,2048,50,1310,1029,1.0
Box2_Cou6_IST_D4,3072,2048,51,1377,1002,1.0
Box2_Cou6_IST_D4,3072,2048,52,1457,954,1.0
Box2_Cou6_IST_D4,3072,2048,53,1535,943,1.0
Box2_Cou6_IST_D4,3072,2048,54,1648,861,1.0
Box2_Cou6_IST_D4,3072,2048,55,1558,872,1.0
Box2_Cou6_IST_D4,3072,2048,56,1471,897,1.0
Box2_Cou6_IST_D4,3072,2048,57,1377,878,1.0
Box2_Cou6_IST_D4,3072,2048,58,1341,939,1.0
Box2_Cou6_IST_D4,3072,2048,59,1279,959,1.0
Box2_Cou6_IST_D4,3072,2048,60,1191,984,1.0
Box2_Cou6_IST_D4,3072,2048,61,1114,1018,1.0
Box2_Cou6_IST_D4,3072,2048,62,1029,1066,1.0
Box2_Cou6_IST_D4,3072,2048,63,926,1100,1.0
Box2_Cou6_IST_D4,3072,2048,64,976,1024,1.0
Box2_Cou6_IST_D4,3072,2048,65,1025,981,1.0
Box2_Cou6_IST_D4,3072,2048,66,1112,936,1.0
Box2_Cou6_IST_D4,3072,2048,67,1203,897,1.0
Box2_Cou6_IST_D4,3072,2048,68,1281,871,1.0
Box2_Cou6_IST_D4,3072,2048,69,1335,812,1.0
Box2_Cou6_IST_D4,3072,2048,70,1411,778,1.0
Box2_Cou6_IST_D4,3072,2048,71,1513,823,1.0
Box2_Cou6_IST_D4,3072,2048,72,1579,792,1.0
Box2_Cou6_IST_D4,3072,2048,73,1677,789,1.0
Box2_Cou6_IST_D4,3072,2048,74,1634,693,1.0
Box2_Cou6_IST_D4,3072,2048,75,1550,713,1.0
Box2_Cou6_IST_D4,3072,2048,76,1466,735,1.0
Box2_Cou6_IST_D4,3072,2048,77,928,973,1.0
Box2_Cou6_IST_D4,3072,2048,78,991,900,1.0
Box2_Cou6_IST_D4,3072,2048,79,1077,872,1.0
Box2_Cou6_IST_D4,3072,2048,80,1149,834,1.0
Box2_Cou6_IST_D4,3072,2048,81,1222,801,1.0
Box2_Cou6_IST_D4,3072,2048,82,1298,755,1.0
Box2_Cou6_IST_D4,3072,2048,83,1374,725,1.0
Box2_Cou6_IST_D4,3072,2048,84,1480,662,1.0
