image,width,height,egg_id,x,y,confidence
Box2_Cou7_Cou5_A1,3072,2048,1,741,1569,1.0
Box2_Cou7_Cou5_A1,3072,2048,2,718,1510,1.0
Box2_Cou7_Cou5_A1,3072,2048,3,826,1549,1.0
Box2_Cou7_Cou5_A1,3072,2048,4,927,1590,1.0
Box2_Cou7_Cou5_A1,3072,2048,5,1010,1612,1.0
Box2_Cou7_Cou5_A1,3072,2048,6,746,1459,1.0
Box2_Cou7_Cou5_A1,3072,2048,7,877,1479,1.0
Box2_Cou7_Cou5_A1,3072,2048,8,947,1502,1.0
Box2_Cou7_Cou5_A1,3072,2048,9,1025,1530,1.0
Box2_Cou7_Cou5_A1,3072,2048,10,1088,1557,1.0
Box2_Cou7_Cou5_A1,3072,2048,11,1172,1588,1.0
Box2_Cou7_Cou5_A1,3072,2048,12,1322,1549,1.0
Box2_Cou7_Cou5_A1,3072,2048,13,1246,1522,1.0
Box2_Cou7_Cou5_A1,3072,2048,14,1164,1514,1.0
Box2_Cou7_Cou5_A1,3072,2048,15,1086,1463,1.0
Box2_Cou7_Cou5_A1,3072,2048,16,992,1455,1.0
Box2_Cou7_Cou5_A1,3072,2048,17,927,1412,1.0
Box2_Cou7_Cou5_A1,3072,2048,18,808,1367,1.0
Box2_Cou7_Cou5_A1,3072,2048,19,779,1283,1.0
Box2_Cou7_Cou5_A1,3072,2048,20,882,1317,1.0
Box2_Cou7_Cou5_A1,3072,2048,21,992,1367,1.0
Box2_Cou7_Cou5_A1,3072,2048,22,1062,1393,1.0
Box2_Cou7_Cou5_A1,3072,2048,23,1146,1418,1.0
Box2_Cou7_Cou5_A1,3072,2048,24,1217,1463,1.0
Box2_Cou7_Cou5_A1,3072,2048,25,1299,1442,1.0
Box2_Cou7_Cou5_A1,3072,2048,26,1369,1485,1.0
Box2_Cou7_Cou5_A1,3072,2048,27,1424,1420,1.0
Box2_Cou7_Cou5_A1,3072,2048,28,1369,1403,1.0
Box2_Cou7_Cou5_A1,3072,2048,29,1287,1391,1.0
Box2_Cou7_Cou5_A1,3072,2048,30,1207,1367,1.0
Box2_Cou7_Cou5_A1,3072,2048,31,1123,1342,1.0
Box2_Cou7_Cou5_A1,3072,2048,32,1051,1315,1.0
Box2_Cou7_Cou5_A1,3072,2048,33,951,1260,1.0
Box2_Cou7_Cou5_A1,3072,2048,34,843,1238,1.0
Box2_Cou7_Cou5_A1,3072,2048,35,773,1193,1.0
Box2_Cou7_Cou5_A1,3072,2048,36,837,1150,1.0
Box2_Cou7_Cou5_A1,3072,2048,37,910,1180,1.0
Box2_Cou7_Cou5_A1,3072,2048,38,1008,1205,1.0
Box2_Cou7_Cou5_A1,3072,2048,39,1115,1244,1.0
Box2_Cou7_Cou5_A1,3072,2048,40,1189,1283,1.0
Box2_Cou7_Cou5_A1,3072,2048,41,1287,1270,1.0
Box2_Cou7_Cou5_A1,3072,2048,42,1344,1317,1.0
Box2_Cou7_Cou5_A1,3072,2048,43,1426,1326,1.0
Box2_Cou7_Cou5_A1,3072,2048,44,1498,1344,1.0
Box2_Cou7_Cou5_A1,3072,2048,45,849,1062,1.0
Box2_Cou7_Cou5_A1,3072,2048,46,918,1088,1.0
Box2_Cou7_Cou5_A1,3072,2048,47,1019,1113,1.0
Box2_Cou7_Cou5_A1,3072,2048,48,1094,1154,1.0
Box2_Cou7_Cou5_A1,3072,2048,49,1189,1180,1.0
Box2_Cou7_Cou5_A1,3072,2048,50,1272,1195,1.0
Box2_Cou7_Cou5_A1,3072,2048,51,1362,1205,1.0
Box2_Cou7_Cou5_A1,3072,2048,52,1432,1225,1.0
Box2_Cou7_Cou5_A1,3072,2048,53,1522,1242,1.0
Box2_Cou7_Cou5_A1,3072,2048,54,1590,1270,1.0
Box2_Cou7_Cou5_A1,3072,2048,55,1594,1186,1.0
Box2_Cou7_Cou5_A1,3072,2048,56,1506,1148,1.0
Box2_Cou7_Cou5_A1,3072,2048,57,1430,1127,1.0
Box2_Cou7_Cou5_A1,3072,2048,58,1342,1111,1.0
Box2_Cou7_Cou5_A1,3072,2048,59,1264,1109,1.0
Box2_Cou7_Cou5_A1,3072,2048,60,1156,1088,1.0
Box2_Cou7_Cou5_A1,3072,2048,61,1088,1064,1.0
Box2_Cou7_Cou5_A1,3072,2048,62,996,1033,1.0
Box2_Cou7_Cou5_A1,3072,2048,63,916,1017,1.0
Box2_Cou7_Cou5_A1,3072,2048,64,894,945,1.0
Box2_Cou7_Cou5_A1,3072,2048,65,976,949,1.0
Box2_Cou7_Cou5_A1,3072,2048,66,1066,990,1.0
Box2_Cou7_Cou5_A1,3072,2048,67,1158,1013,1.0
Box2_Cou7_Cou5_A1,3072,2048,68,1229,1013,1.0
Box2_Cou7_Cou5_A1,3072,2048,69,1293,1060,1.0
Box2_Cou7_Cou5_A1,3072,2048,70,1418,1055,1.0
Box2_Cou7_Cou5_A1,3072,2048,71,1471,1072,1.0
Box2_Cou7_Cou5_A1,3072,2048,72,1557,1088,1.0
Box2_Cou7_Cou5_A1,3072,2048,73,1639,1113,1.0
Box2_Cou7_Cou5_A1,3072,2048,74,1655,1015,1.0
Box2_Cou7_Cou5_A1,3072,2048,75,1565,986,1.0
Box2_Cou7_Cou5_A1,3072,2048,76,1483,965,1.0
Box2_Cou7_Cou5_A1,3072,2048,77,1403,937,1.0
Box2_Cou7_Cou5_A1,3072,2048,78,1299,927,1.0
Box2_Cou7_Cou5_A1,3072,2048,79,1234,933,1.0
Box2_Cou7_Cou5_A1,3072,2048,80,1139,943,1.0
