image,width,height,egg_id,x,y,confidence
Box2_Cou_Mich_B2,3072,2048,1,2028,1720,1.0
Box2_Cou_Mich_B2,3072,2048,2,1894,1741,1.0
Box2_Cou_Mich_B2,3072,2048,3,1774,1661,1.0
Box2_Cou_Mich_B2,3072,2048,4,1718,1732,1.0
Box2_Cou_Mich_B2,3072,2048,5,1616,1638,1.0
Box2_Cou_Mich_B2,3072,2048,6,1720,1630,1.0
Box2_Cou_Mich_B2,3072,2048,7,1812,1572,1.0
Box2_Cou_Mich_B2,3072,2048,8,1934,1572,1.0
Box2_Cou_Mich_B2,3072,2048,9,2028,1609,1.0
Box2_Cou_Mich_B2,3072,2048,10,2028,1500,1.0
Box2_Cou_Mich_B2,3072,2048,11,1861,1509,1.0
Box2_Cou_Mich_B2,3072,2048,12,1776,1500,1.0
Box2_Cou_Mich_B2,3072,2048,13,1697,1501,1.0
Box2_Cou_Mich_B2,3072,2048,14,1606,1539,1.0
Box2_Cou_Mich_B2,3072,2048,15,1505,1516,1.0
Box2_Cou_Mich_B2,3072,2048,16,1526,1446,1.0
Box2_Cou_Mich_B2,3072,2048,17,1621,1432,1.0
Box2_Cou_Mich_B2,3072,2048,18,1418,1453,1.0
Box2_Cou_Mich_B2,3072,2048,19,1715,1434,1.0
Box2_Cou_Mich_B2,3072,2048,20,1845,1409,1.0
Box2_Cou_Mich_B2,3072,2048,21,1929,1380,1.0
Box2_Cou_Mich_B2,3072,2048,22,2009,1391,1.0
Box2_Cou_Mich_B2,3072,2048,23,1980,1322,1.0
Box2_Cou_Mich_B2,3072,2048,24,1891,1331,1.0
Box2_Cou_Mich_B2,3072,2048,25,1783,1336,1.0
Box2_Cou_Mich_B2,3072,2048,26,1679,1347,1.0
Box2_Cou_Mich_B2,3072,2048,27,1608,1331,1.0
Box2_Cou_Mich_B2,3072,2048,28,1480,1357,1.0
Box2_Cou_Mich_B2,3072,2048,29,1398,1364,1.0
Box2_Cou_Mich_B2,3072,2048,30,1345,1307,1.0
Box2_Cou_Mich_B2,3072,2048,31,1452,1281,1.0
Box2_Cou_Mich_B2,3072,2048,32,1549,1261,1.0
Box2_Cou_Mich_B2,3072,2048,33,1619,1251,1.0
Box2_Cou_Mich_B2,3072,2048,34,1727,1259,1.0
Box2_Cou_Mich_B2,3072,2048,35,1820,1259,1.0
Box2_Cou_Mich_B2,3072,2048,36,1932,1254,1.0
Box2_Cou_Mich_B2,3072,2048,37,1895,1186,1.0
Box2_Cou_Mich_B2,3072,2048,38,1799,1165,1.0
Box2_Cou_Mich_B2,3072,2048,39,1695,1176,1.0
Box2_Cou_Mich_B2,3072,2048,40,1587,1186,1.0
Box2_Cou_Mich_B2,3072,2048,41,1491,1208,1.0
Box2_Cou_Mich_B2,3072,2048,42,1407,1201,1.0
Box2_Cou_Mich_B2,3072,2048,43,1316,1236,1.0
Box2_Cou_Mich_B2,3072,2048,44,1299,1114,1.0
Box2_Cou_Mich_B2,3072,2048,45,1414,1101,1.0
Box2_Cou_Mich_B2,3072,2048,46,1516,1094,1.0
Box2_Cou_Mich_B2,3072,2048,47,1612,1080,1.0
Box2_Cou_Mich_B2,3072,2048,48,1790,1069,1.0
Box2_Cou_Mich_B2,3072,2048,49,1880,1073,1.0
Box2_Cou_Mich_B2,3072,2048,50,1692,1073,1.0
Box2_Cou_Mich_B2,3072,2048,51,1832,991,1.0
Box2_Cou_Mich_B2,3072,2048,52,1745,1001,1.0
Box2_Cou_Mich_B2,3072,2048,53,1632,981,1.0
Box2_Cou_Mich_B2,3072,2048,54,1539,1038,1.0
Box2_Cou_Mich_B2,3072,2048,55,1456,1002,1.0
Box2_Cou_Mich_B2,3072,2048,56,1369,1021,1.0
Box2_Cou_Mich_B2,3072,2048,57,1261,1047,1.0
Box2_Cou_Mich_B2,3072,2048,58,1189,987,1.0
Box2_Cou_Mich_B2,3072,2048,59,1309,945,1.0
Box2_Cou_Mich_B2,3072,2048,60,1392,925,1.0
Box2_Cou_Mich_B2,3072,2048,61,1479,906,1.0
Box2_Cou_Mich_B2,3072,2048,62,1572,900,1.0
Box2_Cou_Mich_B2,3072,2048,63,1685,908,1.0
Box2_Cou_Mich_B2,3072,2048,64,1776,911,1.0
Box2_Cou_Mich_B2,3072,2048,65,1734,817,1.0
Box2_Cou_Mich_B2,3072,2048,66,1641,810,1.0
Box2_Cou_Mich_B2,3072,2048,67,1541,835,1.0
Box2_Cou_Mich_B2,3072,2048,68,1439,838,1.0
Box2_Cou_Mich_B2,3072,2048,69,1340,849,1.0
Box2_Cou_Mich_B2,3072,2048,70,1248,868,1.0
Box2_Cou_Mich_B2,3072,2048,71,1142,903,1.0
Box2_Cou_Mich_B2,3072,2048,72,1055,843,1.0
Box2_Cou_Mich_B2,3072,2048,73,1160,806,1.0
Box2_Cou_Mich_B2,3072,2048,74,1275,779,1.0
Box2_Cou_Mich_B2,3072,2048,75,1380,764,1.0
Box2_Cou_Mich_B2,3072,2048,76,1485,779,1.0
Box2_Cou_Mich_B2,3072,2048,77,1566,736,1.0
Box2_Cou_Mich_B2,3072,2048,78,1661,730,1.0
Box2_Cou_Mich_B2,3072,2048,79,1601,662,1.0
Box2_Cou_Mich_B2,3072,2048,80,1502,654,1.0
Box2_Cou_Mich_B2,3072,2048,81,1392,670,1.0
Box2_Cou_Mich_B2,3072,2048,82,1309,688,1.0
Box2_Cou_Mich_B2,3072,2048,83,1222,748,1.0
Box2_Cou_Mich_B2,3072,2048,84,1152,718,1.0
Box2_Cou_Mich_B2,3072,2048,85,1010,775,1.0
Box2_Cou_Mich_B2,3072,2048,86,1027,660,1.0
Box2_Cou_Mich_B2,3072,2048,87,1114,631,1.0
Box2_Cou_Mich_B2,3072,2048,88,1256,592,1.0
Box2_Cou_Mich_B2,3072,2048,89,1336,597,1.0
Box2_Cou_Mich_B2,3072,2048,90,1436,592,1.0
Box2_Cou_Mich_B2,3072,2048,91,1403,526,1.0
Box2_Cou_Mich_B2,3072,2048,92,1276,513,1.0
Box2_Cou_Mich_B2,3072,2048,93,1180,536,1.0
Box2_Cou_Mich_B2,3072,2048,94,1083,543,1.0
Box2_Cou_Mich_B2,3072,2048,95,1216,441,1.0
Box2_Cou_Mich_B2,3072,2048,96,1327,436,1.0
