image,width,height,egg_id,x,y,confidence
Box2_Cou_Mich_C1,3072,2048,1,684,617,1.0
Box2_Cou_Mich_C1,3072,2048,2,755,538,1.0
Box2_Cou_Mich_C1,3072,2048,3,744,668,1.0
Box2_Cou_Mich_C1,3072,2048,4,853,595,1.0
Box2_Cou_Mich_C1,3072,2048,5,806,739,1.0
Box2_Cou_Mich_C1,3072,2048,6,869,693,1.0
Box2_Cou_Mich_C1,3072,2048,7,946,571,1.0
Box2_Cou_Mich_C1,3072,2048,8,975,673,1.0
Box2_Cou_Mich_C1,3072,2048,9,1033,578,1.0
Box2_Cou_Mich_C1,3072,2048,10,916,769,1.0
Box2_Cou_Mich_C1,3072,2048,11,988,766,1.0
Box2_Cou_Mich_C1,3072,2048,12,1063,687,1.0
Box2_Cou_Mich_C1,3072,2048,13,1129,584,1.0
Box2_Cou_Mich_C1,3072,2048,14,1221,607,1.0
Box2_Cou_Mich_C1,3072,2048,15,1145,672,1.0
Box2_Cou_Mich_C1,3072,2048,16,1068,783,1.0
Box2_Cou_Mich_C1,3072,2048,17,932,853,1.0
Box2_Cou_Mich_C1,3072,2048,18,1011,874,1.0
Box2_Cou_Mich_C1,3072,2048,19,1138,838,1.0
Box2_Cou_Mich_C1,3072,2048,20,1145,791,1.0
Box2_Cou_Mich_C1,3072,2048,21,1207,734,1.0
Box2_Cou_Mich_C1,3072,2048,22,1287,695,1.0
Box2_Cou_Mich_C1,3072,2048,23,1311,609,1.0
Box2_Cou_Mich_C1,3072,2048,24,1384,656,1.0
Box2_Cou_Mich_C1,3072,2048,25,1207,834,1.0
Box2_Cou_Mich_C1,3072,2048,26,1284,820,1.0
Box2_Cou_Mich_C1,3072,2048,27,1378,792,1.0
Box2_Cou_Mich_C1,3072,2048,28,1452,712,1.0
Box2_Cou_Mich_C1,3072,2048,29,1539,659,1.0
Box2_Cou_Mich_C1,3072,2048,30,1558,756,1.0
Box2_Cou_Mich_C1,3072,2048,31,1472,800,1.0
Box2_Cou_Mich_C1,3072,2048,32,1369,870,1.0
Box2_Cou_Mich_C1,3072,2048,33,1295,889,1.0
Box2_Cou_Mich_C1,3072,2048,34,1209,921,1.0
Box2_Cou_Mich_C1,3072,2048,35,1087,964,1.0
Box2_Cou_Mich_C1,3072,2048,36,1120,1044,1.0
Box2_Cou_Mich_C1,3072,2048,37,1203,1005,1.0
Box2_Cou_Mich_C1,3072,2048,38,1308,975,1.0
Box2_Cou_Mich_C1,3072,2048,39,1391,960,1.0
Box2_Cou_Mich_C1,3072,2048,40,1459,900,1.0
Box2_Cou_Mich_C1,3072,2048,41,1541,877,1.0
Box2_Cou_Mich_C1,3072,2048,42,1632,798,1.0
Box2_Cou_Mich_C1,3072,2048,43,1796,773,1.0
Box2_Cou_Mich_C1,3072,2048,44,1724,833,1.0
Box2_Cou_Mich_C1,3072,2048,45,1641,875,1.0
Box2_Cou_Mich_C1,3072,2048,46,1550,972,1.0
Box2_Cou_Mich_C1,3072,2048,47,1480,997,1.0
Box2_Cou_Mich_C1,3072,2048,48,1370,1044,1.0
Box2_Cou_Mich_C1,3072,2048,49,1298,1087,1.0
Box2_Cou_Mich_C1,3072,2048,50,1182,1096,1.0
Box2_Cou_Mich_C1,3072,2048,51,1276,1174,1.0
Box2_Cou_Mich_C1,3072,2048,52,1383,1135,1.0
Box2_Cou_Mich_C1,3072,2048,53,1455,1098,1.0
Box2_Cou_Mich_C1,3072,2048,54,1580,1052,1.0
Box2_Cou_Mich_C1,3072,2048,55,1640,1015,1.0
Box2_Cou_Mich_C1,3072,2048,56,1721,968,1.0
Box2_Cou_Mich_C1,3072,2048,57,1795,892,1.0
Box2_Cou_Mich_C1,3072,2048,58,1864,841,1.0
Box2_Cou_Mich_C1,3072,2048,59,1969,878,1.0
Box2_Cou_Mich_C1,3072,2048,60,1882,930,1.0
Box2_Cou_Mich_C1,3072,2048,61,1790,979,1.0
Box2_Cou_Mich_C1,3072,2048,62,1720,1051,1.0
Box2_Cou_Mich_C1,3072,2048,63,1621,1118,1.0
Box2_Cou_Mich_C1,3072,2048,64,1550,1148,1.0
Box2_Cou_Mich_C1,3072,2048,65,1485,1171,1.0
Box2_Cou_Mich_C1,3072,2048,66,1380,1218,1.0
Box2_Cou_Mich_C1,3072,2048,67,1453,1279,1.0
Box2_Cou_Mich_C1,3072,2048,68,1557,1240,1.0
Box2_Cou_Mich_C1,3072,2048,69,1662,1187,1.0
Box2_Cou_Mich_C1,3072,2048,70,1730,1141,1.0
Box2_Cou_Mich_C1,3072,2048,71,1809,1091,1.0
Box2_Cou_Mich_C1,3072,2048,72,1859,1008,1.0
Box2_Cou_Mich_C1,3072,2048,73,1964,997,1.0
Box2_Cou_Mich_C1,3072,2048,74,2030,933,1.0
Box2_Cou_Mich_C1,3072,2048,75,2058,1032,1.0
Box2_Cou_Mich_C1,3072,2048,76,1984,1085,1.0
Box2_Cou_Mich_C1,3072,2048,77,1897,1123,1.0
Box2_Cou_Mich_C1,3072,2048,78,1834,1179,1.0
Box2_Cou_Mich_C1,3072,2048,79,1741,1242,1.0
Box2_Cou_Mich_C1,3072,2048,80,1660,1273,1.0
Box2_Cou_Mich_C1,3072,2048,81,1549,1333,1.0
Box2_Cou_Mich_C1,3072,2048,82,1580,1398,1.0
Box2_Cou_Mich_C1,3072,2048,83,1676,1356,1.0
Box2_Cou_Mich_C1,3072,2048,84,1745,1317,1.0
Box2_Cou_Mich_C1,3072,2048,85,1818,1282,1.0
Box2_Cou_Mich_C1,3072,2048,86,1931,1214,1.0
Box2_Cou_Mich_C1,3072,2048,87,2005,1174,1.0
Box2_Cou_Mich_C1,3072,2048,88,2069,1112,1.0
Box2_Cou_Mich_C1,3072,2048,89,2163,1068,1.0
Box2_Cou_Mich_C1,3072,2048,90,2227,1098,1.0
Box2_Cou_Mich_C1,3072,2048,91,2146,1177,1.0
Box2_Cou_Mich_C1,3072,2048,92,2075,1206,1.0
Box2_Cou_Mich_C1,3072,2048,93,2009,1287,1.0
Box2_Cou_Mich_C1,3072,2048,94,1925,1328,1.0
Box2_Cou_Mich_C1,3072,2048,95,1843,1331,1.0
Box2_Cou_Mich_C1,3072,2048,96,1754,1412,1.0
Box2_Cou_Mich_C1,3072,2048,97,1676,1456,1.0
Box2_Cou_Mich_C1,3072,2048,98,1743,1503,1.0
Box2_Cou_Mich_C1,3072,2048,99,1840,1445,1.0
Box2_Cou_Mich_C1,3072,2048,100,1928,1402,1.0
Box2_Cou_Mich_C1,3072,2048,101,2019,1361,1.0
Box2_Cou_Mich_C1,3072,2048,102,2088,1317,1.0
Box2_Cou_Mich_C1,3072,2048,103,2157,1270,1.0
Box2_Cou_Mich_C1,3072,2048,104,2233,1204,1.0
Box2_Cou_Mich_C1,3072,2048,105,2291,1140,1.0
Box2_Cou_Mich_C1,3072,2048,106,2377,1176,1.0
Box2_Cou_Mich_C1,3072,2048,107,2305,1259,1.0
Box2_Cou_Mich_C1,3072,2048,108,2238,1304,1.0
Box2_Cou_Mich_C1,3072,2048,109,2166,1359,1.0
Box2_Cou_Mich_C1,3072,2048,110,2095,1430,1.0
Box2_Cou_Mich_C1,3072,2048,111,2000,1470,1.0
Box2_Cou_Mich_C1,3072,2048,112,1918,1514,1.0
Box2_Cou_Mich_C1,3072,2048,113,1835,1547,1.0
Box2_Cou_Mich_C1,3072,2048,114,1887,1607,1.0
Box2_Cou_Mich_C1,3072,2048,115,2019,1557,1.0
Box2_Cou_Mich_C1,3072,2048,116,2100,1506,1.0
Box2_Cou_Mich_C1,3072,2048,117,2204,1449,1.0
Box2_Cou_Mich_C1,3072,2048,118,2276,1378,1.0
Box2_Cou_Mich_C1,3072,2048,119,2351,1317,1.0
Box2_Cou_Mich_C1,3072,2048,120,2423,1275,1.0
Box2_Cou_Mich_C1,3072,2048,121,2495,1293,1.0
Box2_Cou_Mich_C1,3072,2048,122,2401,1351,1.0
Box2_Cou_Mich_C1,3072,2048,123,2338,1417,1.0
Box2_Cou_Mich_C1,3072,2048,124,2280,1486,1.0
Box2_Cou_Mich_C1,3072,2048,125,2183,1541,1.0
Box2_Cou_Mich_C1,3072,2048,126,2117,1588,1.0
Box2_Cou_Mich_C1,3072,2048,127,1975,1646,1.0
Box2_Cou_Mich_C1,3072,2048,128,2205,1630,1.0
Box2_Cou_Mich_C1,3072,2048,129,2263,1596,1.0
Box2_Cou_Mich_C1,3072,2048,130,2341,1521,1.0
Box2_Cou_Mich_C1,3072,2048,131,2420,1478,1.0
Box2_Cou_Mich_C1,3072,2048,132,2496,1392,1.0
Box2_Cou_Mich_C1,3072,2048,133,2509,1521,1.0
Box2_Cou_Mich_C1,3072,2048,134,2528,1579,1.0
Box2_Cou_Mich_C1,3072,2048,135,2418,1589,1.0
Box2_Cou_Mich_C1,3072,2048,136,2426,1657,1.0
Box2_Cou_Mich_C1,3072,2048,137,2323,1619,1.0
Box2_Cou_Mich_C1,3072,2048,138,2359,1677,1.0
Box2_Cou_Mich_C1,3072,2048,139,2276,1671,1.0
