image,width,height,egg_id,x,y,confidence
Box2_LongI-1_Lavar_C1,3072,2048,1,1170,278,1.0
Box2_LongI-1_Lavar_C1,3072,2048,2,1212,377,1.0
Box2_LongI-1_Lavar_C1,3072,2048,3,1308,297,1.0
Box2_LongI-1_Lavar_C1,3072,2048,4,1384,267,1.0
Box2_LongI-1_Lavar_C1,3072,2048,5,1214,442,1.0
Box2_LongI-1_Lavar_C1,3072,2048,6,1339,368,1.0
Box2_LongI-1_Lavar_C1,3072,2048,7,1435,311,1.0
Box2_LongI-1_Lavar_C1,3072,2048,8,1150,498,1.0
Box2_LongI-1_Lavar_C1,3072,2048,9,1160,600,1.0
Box2_LongI-1_Lavar_C1,3072,2048,10,1107,666,1.0
Box2_LongI-1_Lavar_C1,3072,2048,11,1255,530,1.0
Box2_LongI-1_Lavar_C1,3072,2048,12,1331,452,1.0
Box2_LongI-1_Lavar_C1,3072,2048,13,1445,420,1.0
Box2_LongI-1_Lavar_C1,3072,2048,14,1105,762,1.0
Box2_LongI-1_Lavar_C1,3072,2048,15,1186,685,1.0
Box2_LongI-1_Lavar_C1,3072,2048,16,1268,615,1.0
Box2_LongI-1_Lavar_C1,3072,2048,17,1356,547,1.0
Box2_LongI-1_Lavar_C1,3072,2048,18,1439,483,1.0
Box2_LongI-1_Lavar_C1,3072,2048,19,1531,524,1.0
Box2_LongI-1_Lavar_C1,3072,2048,20,1428,582,1.0
Box2_LongI-1_Lavar_C1,3072,2048,21,1384,633,1.0
Box2_LongI-1_Lavar_C1,3072,2048,22,1287,702,1.0
Box2_LongI-1_Lavar_C1,3072,2048,23,1209,775,1.0
Box2_LongI-1_Lavar_C1,3072,2048,24,1151,859,1.0
Box2_LongI-1_Lavar_C1,3072,2048,25,1140,993,1.0
Box2_LongI-1_Lavar_C1,3072,2048,26,1232,930,1.0
Box2_LongI-1_Lavar_C1,3072,2048,27,1264,843,1.0
Box2_LongI-1_Lavar_C1,3072,2048,28,1322,765,1.0
Box2_LongI-1_Lavar_C1,3072,2048,29,1397,704,1.0
Box2_LongI-1_Lavar_C1,3072,2048,30,1464,663,1.0
Box2_LongI-1_Lavar_C1,3072,2048,31,1552,660,1.0
Box2_LongI-1_Lavar_C1,3072,2048,32,1551,739,1.0
Box2_LongI-1_Lavar_C1,3072,2048,33,1468,764,1.0
Box2_LongI-1_Lavar_C1,3072,2048,34,1398,824,1.0
Box2_LongI-1_Lavar_C1,3072,2048,35,1332,886,1.0
Box2_LongI-1_Lavar_C1,3072,2048,36,1213,1029,1.0
Box2_LongI-1_Lavar_C1,3072,2048,37,1114,1070,1.0
Box2_LongI-1_Lavar_C1,3072,2048,38,1130,1153,1.0
Box2_LongI-1_Lavar_C1,3072,2048,39,1366,968,1.0
Box2_LongI-1_Lavar_C1,3072,2048,40,1467,914,1.0
Box2_LongI-1_Lavar_C1,3072,2048,41,1535,870,1.0
Box2_LongI-1_Lavar_C1,3072,2048,42,1611,791,1.0
Box2_LongI-1_Lavar_C1,3072,2048,43,1599,930,1.0
Box2_LongI-1_Lavar_C1,3072,2048,44,1533,997,1.0
Box2_LongI-1_Lavar_C1,3072,2048,45,1441,986,1.0
Box2_LongI-1_Lavar_C1,3072,2048,46,1321,1066,1.0
Box2_LongI-1_Lavar_C1,3072,2048,47,1202,1148,1.0
Box2_LongI-1_Lavar_C1,3072,2048,48,1140,1223,1.0
Box2_LongI-1_Lavar_C1,3072,2048,49,1235,1201,1.0
Box2_LongI-1_Lavar_C1,3072,2048,50,1310,1142,1.0
Box2_LongI-1_Lavar_C1,3072,2048,51,1403,1085,1.0
Box2_LongI-1_Lavar_C1,3072,2048,52,1503,1063,1.0
Box2_LongI-1_Lavar_C1,3072,2048,53,1454,1141,1.0
Box2_LongI-1_Lavar_C1,3072,2048,54,1373,1166,1.0
Box2_LongI-1_Lavar_C1,3072,2048,55,1298,1247,1.0
Box2_LongI-1_Lavar_C1,3072,2048,56,1227,1295,1.0
Box2_LongI-1_Lavar_C1,3072,2048,57,1145,1315,1.0
Box2_LongI-1_Lavar_C1,3072,2048,58,1174,1386,1.0
Box2_LongI-1_Lavar_C1,3072,2048,59,1127,1506,1.0
Box2_LongI-1_Lavar_C1,3072,2048,60,1203,1475,1.0
Box2_LongI-1_Lavar_C1,3072,2048,61,1250,1381,1.0
Box2_LongI-1_Lavar_C1,3072,2048,62,1328,1340,1.0
Box2_LongI-1_Lavar_C1,3072,2048,63,1406,1262,1.0
Box2_LongI-1_Lavar_C1,3072,2048,64,1510,1206,1.0
Box2_LongI-1_Lavar_C1,3072,2048,65,1489,1304,1.0
Box2_LongI-1_Lavar_C1,3072,2048,66,1402,1362,1.0
Box2_LongI-1_Lavar_C1,3072,2048,67,1347,1423,1.0
Box2_LongI-1_Lavar_C1,3072,2048,68,1278,1449,1.0
Box2_LongI-1_Lavar_C1,3072,2048,69,1253,1535,1.0
Box2_LongI-1_Lavar_C1,3072,2048,70,1306,1579,1.0
Box2_LongI-1_Lavar_C1,3072,2048,71,1276,1652,1.0
Box2_LongI-1_Lavar_C1,3072,2048,72,1376,1519,1.0
Box2_LongI-1_Lavar_C1,3072,2048,73,1422,1455,1.0
Box2_LongI-1_Lavar_C1,3072,2048,74,1514,1423,1.0
Box2_LongI-1_Lavar_C1,3072,2048,75,1655,1347,1.0
Box2_LongI-1_Lavar_C1,3072,2048,76,1622,1281,1.0
Box2_LongI-1_Lavar_C1,3072,2048,77,1546,1558,1.0
Box2_LongI-1_Lavar_C1,3072,2048,78,1450,1591,1.0
Box2_LongI-1_Lavar_C1,3072,2048,79,1378,1643,1.0
Box2_LongI-1_Lavar_C1,3072,2048,80,1491,1663,1.0
