image,width,height,egg_id,x,y,confidence
Box2_LongI-1_LongI-1_A1,3072,2048,1,913,1373,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,2,987,1473,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,3,939,1287,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,4,1053,1299,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,5,1090,1384,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,6,965,1219,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,7,1045,1250,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,8,1119,1296,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,9,1055,1188,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,10,1147,1212,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,11,1199,1278,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,12,1092,1116,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,13,1282,1287,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,14,1227,1202,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,15,1298,1201,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,16,1359,1202,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,17,1180,1101,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,18,1221,1127,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,19,1301,1082,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,20,1382,1095,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,21,1468,1103,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,22,1550,1073,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,23,1433,1027,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,24,1341,1009,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,25,1238,1023,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,26,1150,1012,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,27,1102,947,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,28,1174,904,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,29,1260,944,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,30,1328,931,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,31,1421,942,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,32,1485,967,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,33,1572,982,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,34,1652,926,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,35,1570,892,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,36,1500,883,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,37,1414,865,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,38,1333,836,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,39,1256,866,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,40,1171,830,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,41,1253,776,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,42,1320,748,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,43,1270,702,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,44,1420,785,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,45,1504,814,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,46,1574,817,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,47,1652,852,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,48,1737,880,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,49,1792,819,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,50,1729,792,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,51,1639,766,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,52,1545,744,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,53,1454,735,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,54,1354,669,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,55,1342,601,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,56,1444,658,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,57,1534,671,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,58,1622,686,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,59,1695,707,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,60,1774,726,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,61,1850,748,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,62,1809,682,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,63,1718,655,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,64,1679,624,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,65,1584,614,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,66,1502,593,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,67,1421,582,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,68,1495,519,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,69,1588,525,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,70,1663,537,1.0
Box2_LongI-1_LongI-1_A1,3072,2048,71,1744,553,1.0
