image,width,height,egg_id,x,y,confidence
Box2_LongI-1_LongI-1_B1,3072,2048,1,1331,616,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,2,1402,592,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,3,1390,679,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,4,1458,639,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,5,1330,781,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,6,1388,759,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,7,1470,713,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,8,1476,790,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,9,1399,852,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,10,1331,885,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,11,1341,947,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,12,1395,915,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,13,1470,925,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,14,1421,978,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,15,1268,1058,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,16,1345,1024,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,17,1489,1435,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,18,1564,1378,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,19,1346,1443,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,20,1419,1384,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,21,1487,1337,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,22,1554,1278,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,23,1352,1338,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,24,1424,1287,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,25,1483,1238,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,26,1548,1183,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,27,1341,1263,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,28,1412,1207,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,29,1479,1162,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,30,1554,1107,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,31,1286,1202,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,32,1360,1166,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,33,1424,1116,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,34,1487,1086,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,35,1558,1039,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,36,1283,1118,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,37,1362,1090,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,38,1420,1051,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,39,1489,1015,1.0
Box2_LongI-1_LongI-1_B1,3072,2048,40,1554,973,1.0
