image,width,height,egg_id,x,y,confidence
Box2_LongI-1_Maclo_B5,3072,2048,1,1178,1526,1.0
Box2_LongI-1_Maclo_B5,3072,2048,2,1247,1567,1.0
Box2_LongI-1_Maclo_B5,3072,2048,3,1197,1468,1.0
Box2_LongI-1_Maclo_B5,3072,2048,4,1273,1455,1.0
Box2_LongI-1_Maclo_B5,3072,2048,5,1105,1379,1.0
Box2_LongI-1_Maclo_B5,3072,2048,6,1190,1349,1.0
Box2_LongI-1_Maclo_B5,3072,2048,7,1273,1390,1.0
Box2_LongI-1_Maclo_B5,3072,2048,8,1229,1322,1.0
Box2_LongI-1_Maclo_B5,3072,2048,9,1326,1360,1.0
Box2_LongI-1_Maclo_B5,3072,2048,10,1282,1291,1.0
Box2_LongI-1_Maclo_B5,3072,2048,11,1349,1243,1.0
Box2_LongI-1_Maclo_B5,3072,2048,12,1421,1218,1.0
Box2_LongI-1_Maclo_B5,3072,2048,13,1491,1191,1.0
Box2_LongI-1_Maclo_B5,3072,2048,14,1152,1305,1.0
Box2_LongI-1_Maclo_B5,3072,2048,15,1170,1245,1.0
Box2_LongI-1_Maclo_B5,3072,2048,16,1261,1226,1.0
Box2_LongI-1_Maclo_B5,3072,2048,17,1078,1269,1.0
Box2_LongI-1_Maclo_B5,3072,2048,18,1052,1211,1.0
Box2_LongI-1_Maclo_B5,3072,2048,19,1142,1154,1.0
Box2_LongI-1_Maclo_B5,3072,2048,20,1207,1167,1.0
Box2_LongI-1_Maclo_B5,3072,2048,21,1308,1180,1.0
Box2_LongI-1_Maclo_B5,3072,2048,22,1381,1163,1.0
Box2_LongI-1_Maclo_B5,3072,2048,23,1408,1091,1.0
Box2_LongI-1_Maclo_B5,3072,2048,24,1480,1063,1.0
Box2_LongI-1_Maclo_B5,3072,2048,25,1325,1090,1.0
Box2_LongI-1_Maclo_B5,3072,2048,26,1255,1111,1.0
Box2_LongI-1_Maclo_B5,3072,2048,27,1175,1080,1.0
Box2_LongI-1_Maclo_B5,3072,2048,28,1090,1124,1.0
Box2_LongI-1_Maclo_B5,3072,2048,29,1011,1138,1.0
Box2_LongI-1_Maclo_B5,3072,2048,30,1064,1048,1.0
Box2_LongI-1_Maclo_B5,3072,2048,31,1185,1016,1.0
Box2_LongI-1_Maclo_B5,3072,2048,32,1259,1052,1.0
Box2_LongI-1_Maclo_B5,3072,2048,33,1338,1019,1.0
Box2_LongI-1_Maclo_B5,3072,2048,34,1428,1029,1.0
Box2_LongI-1_Maclo_B5,3072,2048,35,1485,999,1.0
Box2_LongI-1_Maclo_B5,3072,2048,36,1485,933,1.0
Box2_LongI-1_Maclo_B5,3072,2048,37,1440,946,1.0
Box2_LongI-1_Maclo_B5,3072,2048,38,1373,956,1.0
Box2_LongI-1_Maclo_B5,3072,2048,39,1282,962,1.0
Box2_LongI-1_Maclo_B5,3072,2048,40,1202,964,1.0
Box2_LongI-1_Maclo_B5,3072,2048,41,1108,949,1.0
Box2_LongI-1_Maclo_B5,3072,2048,42,1092,912,1.0
Box2_LongI-1_Maclo_B5,3072,2048,43,1163,910,1.0
Box2_LongI-1_Maclo_B5,3072,2048,44,1239,905,1.0
Box2_LongI-1_Maclo_B5,3072,2048,45,1306,882,1.0
Box2_LongI-1_Maclo_B5,3072,2048,46,1394,866,1.0
Box2_LongI-1_Maclo_B5,3072,2048,47,1480,849,1.0
Box2_LongI-1_Maclo_B5,3072,2048,48,1556,826,1.0
Box2_LongI-1_Maclo_B5,3072,2048,49,1464,771,1.0
Box2_LongI-1_Maclo_B5,3072,2048,50,1376,790,1.0
Box2_LongI-1_Maclo_B5,3072,2048,51,1293,837,1.0
Box2_LongI-1_Maclo_B5,3072,2048,52,1223,842,1.0
Box2_LongI-1_Maclo_B5,3072,2048,53,1138,862,1.0
Box2_LongI-1_Maclo_B5,3072,2048,54,1189,794,1.0
Box2_LongI-1_Maclo_B5,3072,2048,55,1250,750,1.0
Box2_LongI-1_Maclo_B5,3072,2048,56,1341,727,1.0
Box2_LongI-1_Maclo_B5,3072,2048,57,1417,726,1.0
Box2_LongI-1_Maclo_B5,3072,2048,58,1468,720,1.0
Box2_LongI-1_Maclo_B5,3072,2048,59,1267,668,1.0
Box2_LongI-1_Maclo_B5,3072,2048,60,1345,671,1.0
Box2_LongI-1_Maclo_B5,3072,2048,61,1468,636,1.0
Box2_LongI-1_Maclo_B5,3072,2048,62,1404,573,1.0
Box2_LongI-1_Maclo_B5,3072,2048,63,1336,596,1.0
Box2_LongI-1_Maclo_B5,3072,2048,64,1251,619,1.0
