image,width,height,egg_id,x,y,confidence
Box2_LongI-1_Maclo_C1,3072,2048,1,1574,1537,1.0
Box2_LongI-1_Maclo_C1,3072,2048,2,1670,1524,1.0
Box2_LongI-1_Maclo_C1,3072,2048,3,1728,1494,1.0
Box2_LongI-1_Maclo_C1,3072,2048,4,1772,1403,1.0
Box2_LongI-1_Maclo_C1,3072,2048,5,1875,1332,1.0
Box2_LongI-1_Maclo_C1,3072,2048,6,1792,1343,1.0
Box2_LongI-1_Maclo_C1,3072,2048,7,1694,1411,1.0
Box2_LongI-1_Maclo_C1,3072,2048,8,1633,1435,1.0
Box2_LongI-1_Maclo_C1,3072,2048,9,1585,1467,1.0
Box2_LongI-1_Maclo_C1,3072,2048,10,1528,1494,1.0
Box2_LongI-1_Maclo_C1,3072,2048,11,1483,1457,1.0
Box2_LongI-1_Maclo_C1,3072,2048,12,1536,1419,1.0
Box2_LongI-1_Maclo_C1,3072,2048,13,1574,1351,1.0
Box2_LongI-1_Maclo_C1,3072,2048,14,1642,1326,1.0
Box2_LongI-1_Maclo_C1,3072,2048,15,1749,1322,1.0
Box2_LongI-1_Maclo_C1,3072,2048,16,1799,1283,1.0
Box2_LongI-1_Maclo_C1,3072,2048,17,1860,1268,1.0
Box2_LongI-1_Maclo_C1,3072,2048,18,2021,1512,1.0
Box2_LongI-1_Maclo_C1,3072,2048,19,1476,1377,1.0
Box2_LongI-1_Maclo_C1,3072,2048,20,1531,1347,1.0
Box2_LongI-1_Maclo_C1,3072,2048,21,1599,1272,1.0
Box2_LongI-1_Maclo_C1,3072,2048,22,1671,1235,1.0
Box2_LongI-1_Maclo_C1,3072,2048,23,1755,1270,1.0
Box2_LongI-1_Maclo_C1,3072,2048,24,1804,1212,1.0
Box2_LongI-1_Maclo_C1,3072,2048,25,1754,1180,1.0
Box2_LongI-1_Maclo_C1,3072,2048,26,1633,1195,1.0
Box2_LongI-1_Maclo_C1,3072,2048,27,1555,1238,1.0
Box2_LongI-1_Maclo_C1,3072,2048,28,1507,1245,1.0
Box2_LongI-1_Maclo_C1,3072,2048,29,1458,1272,1.0
Box2_LongI-1_Maclo_C1,3072,2048,30,1411,1343,1.0
Box2_LongI-1_Maclo_C1,3072,2048,31,1340,1288,1.0
Box2_LongI-1_Maclo_C1,3072,2048,32,1373,1234,1.0
Box2_LongI-1_Maclo_C1,3072,2048,33,1441,1205,1.0
Box2_LongI-1_Maclo_C1,3072,2048,34,1499,1172,1.0
Box2_LongI-1_Maclo_C1,3072,2048,35,1581,1159,1.0
Box2_LongI-1_Maclo_C1,3072,2048,36,1650,1121,1.0
Box2_LongI-1_Maclo_C1,3072,2048,37,1576,1077,1.0
Box2_LongI-1_Maclo_C1,3072,2048,38,1491,1111,1.0
Box2_LongI-1_Maclo_C1,3072,2048,39,1443,1141,1.0
Box2_LongI-1_Maclo_C1,3072,2048,40,1381,1167,1.0
Box2_LongI-1_Maclo_C1,3072,2048,41,1321,1235,1.0
Box2_LongI-1_Maclo_C1,3072,2048,42,1276,1294,1.0
Box2_LongI-1_Maclo_C1,3072,2048,43,1182,1232,1.0
Box2_LongI-1_Maclo_C1,3072,2048,44,1242,1187,1.0
Box2_LongI-1_Maclo_C1,3072,2048,45,1285,1152,1.0
Box2_LongI-1_Maclo_C1,3072,2048,46,1339,1126,1.0
Box2_LongI-1_Maclo_C1,3072,2048,47,1400,1097,1.0
Box2_LongI-1_Maclo_C1,3072,2048,48,1483,1072,1.0
Box2_LongI-1_Maclo_C1,3072,2048,49,1558,1016,1.0
Box2_LongI-1_Maclo_C1,3072,2048,50,1449,1013,1.0
Box2_LongI-1_Maclo_C1,3072,2048,51,1351,1048,1.0
Box2_LongI-1_Maclo_C1,3072,2048,52,1300,1087,1.0
Box2_LongI-1_Maclo_C1,3072,2048,53,1250,1115,1.0
Box2_LongI-1_Maclo_C1,3072,2048,54,1187,1174,1.0
Box2_LongI-1_Maclo_C1,3072,2048,55,1134,1217,1.0
Box2_LongI-1_Maclo_C1,3072,2048,56,1070,1157,1.0
Box2_LongI-1_Maclo_C1,3072,2048,57,1126,1138,1.0
Box2_LongI-1_Maclo_C1,3072,2048,58,1185,1074,1.0
Box2_LongI-1_Maclo_C1,3072,2048,59,1240,1065,1.0
Box2_LongI-1_Maclo_C1,3072,2048,60,1299,1005,1.0
Box2_LongI-1_Maclo_C1,3072,2048,61,1390,976,1.0
Box2_LongI-1_Maclo_C1,3072,2048,62,1055,1088,1.0
Box2_LongI-1_Maclo_C1,3072,2048,63,1110,1027,1.0
Box2_LongI-1_Maclo_C1,3072,2048,64,1165,1026,1.0
Box2_LongI-1_Maclo_C1,3072,2048,65,1251,971,1.0
Box2_LongI-1_Maclo_C1,3072,2048,66,1322,939,1.0
Box2_LongI-1_Maclo_C1,3072,2048,67,980,1063,1.0
Box2_LongI-1_Maclo_C1,3072,2048,68,946,1113,1.0
Box2_LongI-1_Maclo_C1,3072,2048,69,1037,1018,1.0
Box2_LongI-1_Maclo_C1,3072,2048,70,1091,969,1.0
Box2_LongI-1_Maclo_C1,3072,2048,71,1145,950,1.0
Box2_LongI-1_Maclo_C1,3072,2048,72,1221,916,1.0
Box2_LongI-1_Maclo_C1,3072,2048,73,1317,874,1.0
Box2_LongI-1_Maclo_C1,3072,2048,74,853,1084,1.0
Box2_LongI-1_Maclo_C1,3072,2048,75,913,1027,1.0
Box2_LongI-1_Maclo_C1,3072,2048,76,971,988,1.0
Box2_LongI-1_Maclo_C1,3072,2048,77,1032,944,1.0
Box2_LongI-1_Maclo_C1,3072,2048,78,1091,891,1.0
Box2_LongI-1_Maclo_C1,3072,2048,79,1163,863,1.0
Box2_LongI-1_Maclo_C1,3072,2048,80,1239,838,1.0
Box2_LongI-1_Maclo_C1,3072,2048,81,845,972,1.0
Box2_LongI-1_Maclo_C1,3072,2048,82,902,939,1.0
Box2_LongI-1_Maclo_C1,3072,2048,83,1013,877,1.0
Box2_LongI-1_Maclo_C1,3072,2048,84,964,910,1.0
Box2_LongI-1_Maclo_C1,3072,2048,85,1085,823,1.0
Box2_LongI-1_Maclo_C1,3072,2048,86,1159,789,1.0
Box2_LongI-1_Maclo_C1,3072,2048,87,773,977,1.0
Box2_LongI-1_Maclo_C1,3072,2048,88,834,914,1.0
Box2_LongI-1_Maclo_C1,3072,2048,89,875,861,1.0
