image,width,height,egg_id,x,y,confidence
Box2_LongI-1_Slab_A6,3072,2048,1,1266,1052,1.0
Box2_LongI-1_Slab_A6,3072,2048,2,1410,1040,1.0
Box2_LongI-1_Slab_A6,3072,2048,3,1466,1069,1.0
Box2_LongI-1_Slab_A6,3072,2048,4,1546,1078,1.0
Box2_LongI-1_Slab_A6,3072,2048,5,1411,1129,1.0
Box2_LongI-1_Slab_A6,3072,2048,6,1208,963,1.0
Box2_LongI-1_Slab_A6,3072,2048,7,1271,974,1.0
Box2_LongI-1_Slab_A6,3072,2048,8,1338,990,1.0
Box2_LongI-1_Slab_A6,3072,2048,9,1475,987,1.0
Box2_LongI-1_Slab_A6,3072,2048,10,1533,999,1.0
Box2_LongI-1_Slab_A6,3072,2048,11,1554,923,1.0
Box2_LongI-1_Slab_A6,3072,2048,12,1473,921,1.0
Box2_LongI-1_Slab_A6,3072,2048,13,1420,897,1.0
Box2_LongI-1_Slab_A6,3072,2048,14,1330,918,1.0
Box2_LongI-1_Slab_A6,3072,2048,15,1215,875,1.0
Box2_LongI-1_Slab_A6,3072,2048,16,1294,870,1.0
Box2_LongI-1_Slab_A6,3072,2048,17,1374,851,1.0
Box2_LongI-1_Slab_A6,3072,2048,18,1450,831,1.0
Box2_LongI-1_Slab_A6,3072,2048,19,1500,836,1.0
Box2_LongI-1_Slab_A6,3072,2048,20,1501,772,1.0
Box2_LongI-1_Slab_A6,3072,2048,21,1389,794,1.0
Box2_LongI-1_Slab_A6,3072,2048,22,1321,806,1.0
Box2_LongI-1_Slab_A6,3072,2048,23,1228,802,1.0
Box2_LongI-1_Slab_A6,3072,2048,24,1628,760,1.0
Box2_LongI-1_Slab_A6,3072,2048,25,1634,810,1.0
Box2_LongI-1_Slab_A6,3072,2048,26,1706,882,1.0
Box2_LongI-1_Slab_A6,3072,2048,27,1768,934,1.0
Box2_LongI-1_Slab_A6,3072,2048,28,1797,864,1.0
Box2_LongI-1_Slab_A6,3072,2048,29,1743,785,1.0
Box2_LongI-1_Slab_A6,3072,2048,30,1699,811,1.0
