image,width,height,egg_id,x,y,confidence
Box2_LongI-1_Slab_B1,3072,2048,1,1050,869,1.0
Box2_LongI-1_Slab_B1,3072,2048,2,1119,916,1.0
Box2_LongI-1_Slab_B1,3072,2048,3,1170,934,1.0
Box2_LongI-1_Slab_B1,3072,2048,4,1245,884,1.0
Box2_LongI-1_Slab_B1,3072,2048,5,1303,852,1.0
Box2_LongI-1_Slab_B1,3072,2048,6,1363,825,1.0
Box2_LongI-1_Slab_B1,3072,2048,7,1423,749,1.0
Box2_LongI-1_Slab_B1,3072,2048,8,1465,712,1.0
Box2_LongI-1_Slab_B1,3072,2048,9,1475,795,1.0
Box2_LongI-1_Slab_B1,3072,2048,10,1426,830,1.0
Box2_LongI-1_Slab_B1,3072,2048,11,1355,894,1.0
Box2_LongI-1_Slab_B1,3072,2048,12,1431,933,1.0
Box2_LongI-1_Slab_B1,3072,2048,13,1488,903,1.0
