image,width,height,egg_id,x,y,confidence
Box2_SlabTC_SlabTC_B2,3072,2048,1,1777,1560,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,2,1859,1515,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,3,1928,1499,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,4,2074,1550,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,5,2093,1429,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,6,2005,1444,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,7,1950,1425,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,8,1863,1440,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,9,1806,1468,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,10,1733,1501,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,11,2052,1344,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,12,2005,1279,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,13,1964,1240,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,14,1930,1309,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,15,1859,1344,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,16,1889,1263,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,17,1930,1171,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,18,1862,1173,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,19,1871,1118,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,20,1865,1022,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,21,1791,967,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,22,1784,1041,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,23,1794,1124,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,24,1798,1210,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,25,1796,1298,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,26,1785,1365,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,27,1705,1439,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,28,1718,1327,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,29,1707,1250,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,30,1730,1179,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,31,1710,1105,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,32,1727,1007,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,33,1730,925,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,34,1625,1479,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,35,1502,1465,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,36,1578,1424,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,37,1644,1376,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,38,1407,1424,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,39,1479,1401,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,40,1568,1358,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,41,1645,1301,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,42,1265,1413,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,43,1351,1376,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,44,1415,1348,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,45,1501,1318,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,46,1579,1264,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,47,1638,1228,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,48,1634,1136,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,49,1558,1175,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,50,1481,1222,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,51,1415,1258,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,52,1339,1293,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,53,1259,1344,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,54,1118,1330,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,55,1207,1301,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,56,1262,1255,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,57,1338,1205,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,58,1415,1167,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,59,1502,1139,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,60,1568,1090,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,61,1651,1062,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,62,1661,964,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,63,1585,1016,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,64,1505,1041,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,65,1456,1099,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,66,1348,1116,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,67,1279,1173,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,68,1190,1205,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,69,1118,1225,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,70,1047,1272,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,71,990,1232,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,72,1062,1176,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,73,1139,1156,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,74,1215,1107,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,75,1287,1081,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,76,1367,1042,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,77,1438,990,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,78,1513,965,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,79,1605,929,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,80,1659,890,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,81,1668,821,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,82,1588,861,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,83,1521,885,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,84,1427,925,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,85,1376,970,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,86,1282,1001,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,87,1205,1024,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,88,1141,1082,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,89,1056,1087,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,90,962,1139,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,91,909,1104,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,92,978,1048,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,93,1053,999,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,94,1128,972,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,95,1204,945,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,96,1356,878,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,97,1293,913,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,98,1444,824,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,99,1508,810,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,100,1599,756,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,101,1521,730,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,102,1447,750,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,103,1384,796,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,104,1278,832,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,105,1205,855,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,106,1135,882,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,107,1048,925,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,108,953,953,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,109,818,1065,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,110,879,1030,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,111,741,984,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,112,809,955,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,113,899,925,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,114,984,861,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,115,1058,833,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,116,1147,802,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,117,1207,779,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,118,1290,735,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,119,1371,715,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,120,1451,679,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,121,1375,619,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,122,1293,672,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,123,1205,727,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,124,1138,730,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,125,1052,756,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,126,984,796,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,127,907,839,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,128,821,869,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,129,753,901,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,130,665,847,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,131,765,785,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,132,816,770,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,133,910,758,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,134,1002,705,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,135,1076,675,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,136,1156,630,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,137,1253,618,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,138,1165,553,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,139,1082,593,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,140,993,636,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,141,847,690,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,142,762,719,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,143,690,762,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,144,925,647,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,145,615,724,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,146,684,673,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,147,769,616,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,148,855,590,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,149,947,566,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,150,1008,526,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,151,1098,512,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,152,932,482,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,153,849,509,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,154,765,536,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,155,672,589,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,156,589,618,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,157,524,584,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,158,609,532,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,159,696,490,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,160,775,464,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,161,818,409,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,162,862,439,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,163,725,402,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,164,645,446,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,165,535,496,1.0
Box2_SlabTC_SlabTC_B2,3072,2048,166,658,359,1.0
