image,width,height,egg_id,x,y,confidence
Box1_1_Tun_Cou5_A4,3072,2048,1,809,1301,1.0
Box1_1_Tun_Cou5_A4,3072,2048,2,857,1447,1.0
Box1_1_Tun_Cou5_A4,3072,2048,3,972,1504,1.0
Box1_1_Tun_Cou5_A4,3072,2048,4,1067,1538,1.0
Box1_1_Tun_Cou5_A4,3072,2048,5,885,1368,1.0
Box1_1_Tun_Cou5_A4,3072,2048,6,961,1426,1.0
Box1_1_Tun_Cou5_A4,3072,2048,7,1040,1464,1.0
Box1_1_Tun_Cou5_A4,3072,2048,8,1147,1500,1.0
Box1_1_Tun_Cou5_A4,3072,2048,9,1234,1534,1.0
Box1_1_Tun_Cou5_A4,3072,2048,10,1331,1467,1.0
Box1_1_Tun_Cou5_A4,3072,2048,11,1240,1434,1.0
Box1_1_Tun_Cou5_A4,3072,2048,12,1126,1396,1.0
Box1_1_Tun_Cou5_A4,3072,2048,13,1059,1365,1.0
Box1_1_Tun_Cou5_A4,3072,2048,14,957,1328,1.0
Box1_1_Tun_Cou5_A4,3072,2048,15,895,1271,1.0
Box1_1_Tun_Cou5_A4,3072,2048,16,962,1225,1.0
Box1_1_Tun_Cou5_A4,3072,2048,17,1049,1271,1.0
Box1_1_Tun_Cou5_A4,3072,2048,18,1151,1316,1.0
Box1_1_Tun_Cou5_A4,3072,2048,19,1237,1331,1.0
Box1_1_Tun_Cou5_A4,3072,2048,20,1311,1373,1.0
Box1_1_Tun_Cou5_A4,3072,2048,21,1389,1419,1.0
Box1_1_Tun_Cou5_A4,3072,2048,22,1473,1365,1.0
Box1_1_Tun_Cou5_A4,3072,2048,23,1382,1332,1.0
Box1_1_Tun_Cou5_A4,3072,2048,24,1291,1291,1.0
Box1_1_Tun_Cou5_A4,3072,2048,25,1205,1247,1.0
Box1_1_Tun_Cou5_A4,3072,2048,26,1123,1218,1.0
Box1_1_Tun_Cou5_A4,3072,2048,27,1050,1180,1.0
Box1_1_Tun_Cou5_A4,3072,2048,28,955,1129,1.0
Box1_1_Tun_Cou5_A4,3072,2048,29,1036,1072,1.0
Box1_1_Tun_Cou5_A4,3072,2048,30,1114,1136,1.0
Box1_1_Tun_Cou5_A4,3072,2048,31,1193,1166,1.0
Box1_1_Tun_Cou5_A4,3072,2048,32,1299,1205,1.0
Box1_1_Tun_Cou5_A4,3072,2048,33,1376,1242,1.0
Box1_1_Tun_Cou5_A4,3072,2048,34,1467,1282,1.0
Box1_1_Tun_Cou5_A4,3072,2048,35,1552,1314,1.0
Box1_1_Tun_Cou5_A4,3072,2048,36,1619,1261,1.0
Box1_1_Tun_Cou5_A4,3072,2048,37,1545,1225,1.0
Box1_1_Tun_Cou5_A4,3072,2048,38,1466,1188,1.0
Box1_1_Tun_Cou5_A4,3072,2048,39,1380,1151,1.0
Box1_1_Tun_Cou5_A4,3072,2048,40,1288,1113,1.0
Box1_1_Tun_Cou5_A4,3072,2048,41,1210,1063,1.0
Box1_1_Tun_Cou5_A4,3072,2048,42,1124,1021,1.0
Box1_1_Tun_Cou5_A4,3072,2048,43,1119,920,1.0
Box1_1_Tun_Cou5_A4,3072,2048,44,1213,972,1.0
Box1_1_Tun_Cou5_A4,3072,2048,45,1285,1021,1.0
Box1_1_Tun_Cou5_A4,3072,2048,46,1382,1055,1.0
Box1_1_Tun_Cou5_A4,3072,2048,47,1473,1100,1.0
Box1_1_Tun_Cou5_A4,3072,2048,48,1564,1137,1.0
Box1_1_Tun_Cou5_A4,3072,2048,49,1621,1174,1.0
Box1_1_Tun_Cou5_A4,3072,2048,50,1720,1195,1.0
Box1_1_Tun_Cou5_A4,3072,2048,51,1783,1174,1.0
Box1_1_Tun_Cou5_A4,3072,2048,52,1710,1113,1.0
Box1_1_Tun_Cou5_A4,3072,2048,53,1601,1080,1.0
Box1_1_Tun_Cou5_A4,3072,2048,54,1525,1055,1.0
Box1_1_Tun_Cou5_A4,3072,2048,55,1456,998,1.0
Box1_1_Tun_Cou5_A4,3072,2048,56,1378,961,1.0
Box1_1_Tun_Cou5_A4,3072,2048,57,1304,920,1.0
Box1_1_Tun_Cou5_A4,3072,2048,58,1217,873,1.0
Box1_1_Tun_Cou5_A4,3072,2048,59,1306,826,1.0
Box1_1_Tun_Cou5_A4,3072,2048,60,1379,867,1.0
Box1_1_Tun_Cou5_A4,3072,2048,61,1469,905,1.0
Box1_1_Tun_Cou5_A4,3072,2048,62,1531,947,1.0
Box1_1_Tun_Cou5_A4,3072,2048,63,1609,989,1.0
Box1_1_Tun_Cou5_A4,3072,2048,64,1706,1021,1.0
Box1_1_Tun_Cou5_A4,3072,2048,65,1787,1077,1.0
Box1_1_Tun_Cou5_A4,3072,2048,66,1875,1113,1.0
Box1_1_Tun_Cou5_A4,3072,2048,67,1969,981,1.0
Box1_1_Tun_Cou5_A4,3072,2048,68,1882,998,1.0
Box1_1_Tun_Cou5_A4,3072,2048,69,1800,998,1.0
Box1_1_Tun_Cou5_A4,3072,2048,70,1712,944,1.0
Box1_1_Tun_Cou5_A4,3072,2048,71,1636,907,1.0
Box1_1_Tun_Cou5_A4,3072,2048,72,1549,858,1.0
Box1_1_Tun_Cou5_A4,3072,2048,73,1485,807,1.0
Box1_1_Tun_Cou5_A4,3072,2048,74,1394,767,1.0
Box1_1_Tun_Cou5_A4,3072,2048,75,1478,706,1.0
Box1_1_Tun_Cou5_A4,3072,2048,76,1569,764,1.0
Box1_1_Tun_Cou5_A4,3072,2048,77,1637,801,1.0
Box1_1_Tun_Cou5_A4,3072,2048,78,1712,845,1.0
Box1_1_Tun_Cou5_A4,3072,2048,79,1804,900,1.0
Box1_1_Tun_Cou5_A4,3072,2048,80,1895,918,1.0
Box1_1_Tun_Cou5_A4,3072,2048,81,1987,892,1.0
Box1_1_Tun_Cou5_A4,3072,2048,82,1893,844,1.0
Box1_1_Tun_Cou5_A4,3072,2048,83,1789,816,1.0
Box1_1_Tun_Cou5_A4,3072,2048,84,1702,743,1.0
Box1_1_Tun_Cou5_A4,3072,2048,85,1619,715,1.0
Box1_1_Tun_Cou5_A4,3072,2048,86,1639,587,1.0
Box1_1_Tun_Cou5_A4,3072,2048,87,1697,645,1.0
Box1_1_Tun_Cou5_A4,3072,2048,88,1778,702,1.0
Box1_1_Tun_Cou5_A4,3072,2048,89,1862,740,1.0
Box1_1_Tun_Cou5_A4,3072,2048,90,1966,793,1.0
Box1_1_Tun_Cou5_A4,3072,2048,91,2079,839,1.0
