image,width,height,egg_id,x,y,confidence
Box1_1_Tun_Cou5_B6,3072,2048,1,1486,1752,1.0
Box1_1_Tun_Cou5_B6,3072,2048,2,1516,1652,1.0
Box1_1_Tun_Cou5_B6,3072,2048,3,1508,1608,1.0
Box1_1_Tun_Cou5_B6,3072,2048,4,1493,1557,1.0
Box1_1_Tun_Cou5_B6,3072,2048,5,1482,1489,1.0
Box1_1_Tun_Cou5_B6,3072,2048,6,1482,1446,1.0
Box1_1_Tun_Cou5_B6,3072,2048,7,1461,1376,1.0
Box1_1_Tun_Cou5_B6,3072,2048,8,1410,1346,1.0
Box1_1_Tun_Cou5_B6,3072,2048,9,1406,1293,1.0
Box1_1_Tun_Cou5_B6,3072,2048,10,1395,1242,1.0
Box1_1_Tun_Cou5_B6,3072,2048,11,1380,1178,1.0
Box1_1_Tun_Cou5_B6,3072,2048,12,1363,1123,1.0
Box1_1_Tun_Cou5_B6,3072,2048,13,1342,1050,1.0
Box1_1_Tun_Cou5_B6,3072,2048,14,1330,987,1.0
Box1_1_Tun_Cou5_B6,3072,2048,15,1320,932,1.0
Box1_1_Tun_Cou5_B6,3072,2048,16,1296,862,1.0
Box1_1_Tun_Cou5_B6,3072,2048,17,1277,591,1.0
Box1_1_Tun_Cou5_B6,3072,2048,18,1310,688,1.0
Box1_1_Tun_Cou5_B6,3072,2048,19,1318,757,1.0
Box1_1_Tun_Cou5_B6,3072,2048,20,1347,809,1.0
Box1_1_Tun_Cou5_B6,3072,2048,21,1359,886,1.0
Box1_1_Tun_Cou5_B6,3072,2048,22,1372,944,1.0
Box1_1_Tun_Cou5_B6,3072,2048,23,1394,1016,1.0
Box1_1_Tun_Cou5_B6,3072,2048,24,1418,1071,1.0
Box1_1_Tun_Cou5_B6,3072,2048,25,1429,1132,1.0
Box1_1_Tun_Cou5_B6,3072,2048,26,1452,1199,1.0
Box1_1_Tun_Cou5_B6,3072,2048,27,1462,1249,1.0
Box1_1_Tun_Cou5_B6,3072,2048,28,1460,1309,1.0
Box1_1_Tun_Cou5_B6,3072,2048,29,1619,1651,1.0
Box1_1_Tun_Cou5_B6,3072,2048,30,1590,1607,1.0
Box1_1_Tun_Cou5_B6,3072,2048,31,1587,1548,1.0
Box1_1_Tun_Cou5_B6,3072,2048,32,1541,1506,1.0
Box1_1_Tun_Cou5_B6,3072,2048,33,1541,1438,1.0
Box1_1_Tun_Cou5_B6,3072,2048,34,1521,1391,1.0
Box1_1_Tun_Cou5_B6,3072,2048,35,1514,1333,1.0
Box1_1_Tun_Cou5_B6,3072,2048,36,1516,1257,1.0
Box1_1_Tun_Cou5_B6,3072,2048,37,1519,1193,1.0
Box1_1_Tun_Cou5_B6,3072,2048,38,1494,1128,1.0
Box1_1_Tun_Cou5_B6,3072,2048,39,1487,1072,1.0
Box1_1_Tun_Cou5_B6,3072,2048,40,1453,1000,1.0
Box1_1_Tun_Cou5_B6,3072,2048,41,1429,945,1.0
Box1_1_Tun_Cou5_B6,3072,2048,42,1426,865,1.0
Box1_1_Tun_Cou5_B6,3072,2048,43,1400,817,1.0
Box1_1_Tun_Cou5_B6,3072,2048,44,1383,754,1.0
Box1_1_Tun_Cou5_B6,3072,2048,45,1353,686,1.0
Box1_1_Tun_Cou5_B6,3072,2048,46,1335,632,1.0
Box1_1_Tun_Cou5_B6,3072,2048,47,1324,551,1.0
Box1_1_Tun_Cou5_B6,3072,2048,48,1280,497,1.0
Box1_1_Tun_Cou5_B6,3072,2048,49,1291,406,1.0
Box1_1_Tun_Cou5_B6,3072,2048,50,1329,344,1.0
Box1_1_Tun_Cou5_B6,3072,2048,51,1357,427,1.0
Box1_1_Tun_Cou5_B6,3072,2048,52,1365,482,1.0
Box1_1_Tun_Cou5_B6,3072,2048,53,1397,576,1.0
Box1_1_Tun_Cou5_B6,3072,2048,54,1412,631,1.0
Box1_1_Tun_Cou5_B6,3072,2048,55,1425,693,1.0
Box1_1_Tun_Cou5_B6,3072,2048,56,1454,770,1.0
Box1_1_Tun_Cou5_B6,3072,2048,57,1469,840,1.0
Box1_1_Tun_Cou5_B6,3072,2048,58,1484,901,1.0
Box1_1_Tun_Cou5_B6,3072,2048,59,1503,972,1.0
Box1_1_Tun_Cou5_B6,3072,2048,60,1529,1029,1.0
Box1_1_Tun_Cou5_B6,3072,2048,61,1550,1099,1.0
