image,width,height,egg_id,x,y,confidence
Box1_1_Tun_Cou5_C6,3072,2048,1,882,1472,1.0
Box1_1_Tun_Cou5_C6,3072,2048,2,528,1387,1.0
Box1_1_Tun_Cou5_C6,3072,2048,3,611,1380,1.0
Box1_1_Tun_Cou5_C6,3072,2048,4,722,1380,1.0
Box1_1_Tun_Cou5_C6,3072,2048,5,816,1378,1.0
Box1_1_Tun_Cou5_C6,3072,2048,6,929,1378,1.0
Box1_1_Tun_Cou5_C6,3072,2048,7,1023,1397,1.0
Box1_1_Tun_Cou5_C6,3072,2048,8,1115,1387,1.0
Box1_1_Tun_Cou5_C6,3072,2048,9,1233,1372,1.0
Box1_1_Tun_Cou5_C6,3072,2048,10,1348,1359,1.0
Box1_1_Tun_Cou5_C6,3072,2048,11,1446,1357,1.0
Box1_1_Tun_Cou5_C6,3072,2048,12,1549,1337,1.0
Box1_1_Tun_Cou5_C6,3072,2048,13,1638,1340,1.0
Box1_1_Tun_Cou5_C6,3072,2048,14,1767,1277,1.0
Box1_1_Tun_Cou5_C6,3072,2048,15,1655,1263,1.0
Box1_1_Tun_Cou5_C6,3072,2048,16,1574,1252,1.0
Box1_1_Tun_Cou5_C6,3072,2048,17,1468,1275,1.0
Box1_1_Tun_Cou5_C6,3072,2048,18,1365,1277,1.0
Box1_1_Tun_Cou5_C6,3072,2048,19,1265,1275,1.0
Box1_1_Tun_Cou5_C6,3072,2048,20,1158,1301,1.0
Box1_1_Tun_Cou5_C6,3072,2048,21,1058,1299,1.0
Box1_1_Tun_Cou5_C6,3072,2048,22,944,1292,1.0
Box1_1_Tun_Cou5_C6,3072,2048,23,859,1295,1.0
Box1_1_Tun_Cou5_C6,3072,2048,24,750,1297,1.0
Box1_1_Tun_Cou5_C6,3072,2048,25,663,1293,1.0
Box1_1_Tun_Cou5_C6,3072,2048,26,552,1295,1.0
Box1_1_Tun_Cou5_C6,3072,2048,27,440,1320,1.0
Box1_1_Tun_Cou5_C6,3072,2048,28,334,1348,1.0
Box1_1_Tun_Cou5_C6,3072,2048,29,378,1245,1.0
Box1_1_Tun_Cou5_C6,3072,2048,30,460,1222,1.0
Box1_1_Tun_Cou5_C6,3072,2048,31,575,1214,1.0
Box1_1_Tun_Cou5_C6,3072,2048,32,682,1186,1.0
Box1_1_Tun_Cou5_C6,3072,2048,33,799,1203,1.0
Box1_1_Tun_Cou5_C6,3072,2048,34,897,1207,1.0
Box1_1_Tun_Cou5_C6,3072,2048,35,987,1198,1.0
Box1_1_Tun_Cou5_C6,3072,2048,36,1085,1209,1.0
Box1_1_Tun_Cou5_C6,3072,2048,37,1205,1201,1.0
Box1_1_Tun_Cou5_C6,3072,2048,38,1312,1182,1.0
Box1_1_Tun_Cou5_C6,3072,2048,39,1399,1169,1.0
Box1_1_Tun_Cou5_C6,3072,2048,40,1491,1181,1.0
Box1_1_Tun_Cou5_C6,3072,2048,41,1594,1154,1.0
Box1_1_Tun_Cou5_C6,3072,2048,42,1700,1179,1.0
Box1_1_Tun_Cou5_C6,3072,2048,43,1775,1196,1.0
Box1_1_Tun_Cou5_C6,3072,2048,44,1854,1239,1.0
Box1_1_Tun_Cou5_C6,3072,2048,45,1959,1237,1.0
Box1_1_Tun_Cou5_C6,3072,2048,46,2223,1137,1.0
Box1_1_Tun_Cou5_C6,3072,2048,47,2134,1117,1.0
Box1_1_Tun_Cou5_C6,3072,2048,48,2018,1147,1.0
Box1_1_Tun_Cou5_C6,3072,2048,49,1899,1154,1.0
Box1_1_Tun_Cou5_C6,3072,2048,50,1801,1107,1.0
Box1_1_Tun_Cou5_C6,3072,2048,51,1702,1094,1.0
Box1_1_Tun_Cou5_C6,3072,2048,52,1604,1075,1.0
Box1_1_Tun_Cou5_C6,3072,2048,53,1506,1079,1.0
Box1_1_Tun_Cou5_C6,3072,2048,54,1393,1085,1.0
Box1_1_Tun_Cou5_C6,3072,2048,55,1305,1081,1.0
Box1_1_Tun_Cou5_C6,3072,2048,56,1211,1094,1.0
Box1_1_Tun_Cou5_C6,3072,2048,57,1122,1102,1.0
Box1_1_Tun_Cou5_C6,3072,2048,58,1019,1088,1.0
Box1_1_Tun_Cou5_C6,3072,2048,59,921,1102,1.0
Box1_1_Tun_Cou5_C6,3072,2048,60,814,1107,1.0
Box1_1_Tun_Cou5_C6,3072,2048,61,710,1102,1.0
Box1_1_Tun_Cou5_C6,3072,2048,62,616,1107,1.0
Box1_1_Tun_Cou5_C6,3072,2048,63,511,1137,1.0
Box1_1_Tun_Cou5_C6,3072,2048,64,415,1141,1.0
Box1_1_Tun_Cou5_C6,3072,2048,65,299,1162,1.0
Box1_1_Tun_Cou5_C6,3072,2048,66,255,1079,1.0
Box1_1_Tun_Cou5_C6,3072,2048,67,332,1064,1.0
Box1_1_Tun_Cou5_C6,3072,2048,68,425,1045,1.0
Box1_1_Tun_Cou5_C6,3072,2048,69,513,1023,1.0
Box1_1_Tun_Cou5_C6,3072,2048,70,626,1011,1.0
Box1_1_Tun_Cou5_C6,3072,2048,71,725,1002,1.0
Box1_1_Tun_Cou5_C6,3072,2048,72,835,1004,1.0
Box1_1_Tun_Cou5_C6,3072,2048,73,949,1013,1.0
Box1_1_Tun_Cou5_C6,3072,2048,74,1047,996,1.0
Box1_1_Tun_Cou5_C6,3072,2048,75,1120,981,1.0
Box1_1_Tun_Cou5_C6,3072,2048,76,1248,1008,1.0
Box1_1_Tun_Cou5_C6,3072,2048,77,1352,1002,1.0
Box1_1_Tun_Cou5_C6,3072,2048,78,1476,1000,1.0
Box1_1_Tun_Cou5_C6,3072,2048,79,1532,976,1.0
Box1_1_Tun_Cou5_C6,3072,2048,80,1641,983,1.0
Box1_1_Tun_Cou5_C6,3072,2048,81,1750,1000,1.0
Box1_1_Tun_Cou5_C6,3072,2048,82,1852,1000,1.0
Box1_1_Tun_Cou5_C6,3072,2048,83,1972,951,1.0
Box1_1_Tun_Cou5_C6,3072,2048,84,1965,1058,1.0
Box1_1_Tun_Cou5_C6,3072,2048,85,2040,1055,1.0
Box1_1_Tun_Cou5_C6,3072,2048,86,2145,1030,1.0
Box1_1_Tun_Cou5_C6,3072,2048,87,2239,1043,1.0
