image,width,height,egg_id,x,y,confidence
Box1_1_Tun_Cou5_D1,3072,2048,1,569,554,1.0
Box1_1_Tun_Cou5_D1,3072,2048,2,680,564,1.0
Box1_1_Tun_Cou5_D1,3072,2048,3,770,503,1.0
Box1_1_Tun_Cou5_D1,3072,2048,4,708,699,1.0
Box1_1_Tun_Cou5_D1,3072,2048,5,806,592,1.0
Box1_1_Tun_Cou5_D1,3072,2048,6,863,552,1.0
Box1_1_Tun_Cou5_D1,3072,2048,7,946,464,1.0
Box1_1_Tun_Cou5_D1,3072,2048,8,781,775,1.0
Box1_1_Tun_Cou5_D1,3072,2048,9,843,706,1.0
Box1_1_Tun_Cou5_D1,3072,2048,10,933,655,1.0
Box1_1_Tun_Cou5_D1,3072,2048,11,982,613,1.0
Box1_1_Tun_Cou5_D1,3072,2048,12,1051,554,1.0
Box1_1_Tun_Cou5_D1,3072,2048,13,1040,477,1.0
Box1_1_Tun_Cou5_D1,3072,2048,14,1108,466,1.0
Box1_1_Tun_Cou5_D1,3072,2048,15,789,845,1.0
Box1_1_Tun_Cou5_D1,3072,2048,16,891,776,1.0
Box1_1_Tun_Cou5_D1,3072,2048,17,953,753,1.0
Box1_1_Tun_Cou5_D1,3072,2048,18,1012,714,1.0
Box1_1_Tun_Cou5_D1,3072,2048,19,1090,641,1.0
Box1_1_Tun_Cou5_D1,3072,2048,20,1125,559,1.0
Box1_1_Tun_Cou5_D1,3072,2048,21,1182,518,1.0
Box1_1_Tun_Cou5_D1,3072,2048,22,1254,464,1.0
Box1_1_Tun_Cou5_D1,3072,2048,23,1169,654,1.0
Box1_1_Tun_Cou5_D1,3072,2048,24,1234,600,1.0
Box1_1_Tun_Cou5_D1,3072,2048,25,1305,551,1.0
Box1_1_Tun_Cou5_D1,3072,2048,26,1352,482,1.0
Box1_1_Tun_Cou5_D1,3072,2048,27,861,876,1.0
Box1_1_Tun_Cou5_D1,3072,2048,28,945,950,1.0
Box1_1_Tun_Cou5_D1,3072,2048,29,966,853,1.0
Box1_1_Tun_Cou5_D1,3072,2048,30,1043,804,1.0
Box1_1_Tun_Cou5_D1,3072,2048,31,1025,879,1.0
Box1_1_Tun_Cou5_D1,3072,2048,32,1054,973,1.0
Box1_1_Tun_Cou5_D1,3072,2048,33,1103,713,1.0
Box1_1_Tun_Cou5_D1,3072,2048,34,1128,801,1.0
Box1_1_Tun_Cou5_D1,3072,2048,35,1157,886,1.0
Box1_1_Tun_Cou5_D1,3072,2048,36,1136,963,1.0
Box1_1_Tun_Cou5_D1,3072,2048,37,1228,1007,1.0
Box1_1_Tun_Cou5_D1,3072,2048,38,1247,891,1.0
Box1_1_Tun_Cou5_D1,3072,2048,39,1190,731,1.0
Box1_1_Tun_Cou5_D1,3072,2048,40,1210,824,1.0
Box1_1_Tun_Cou5_D1,3072,2048,41,1352,1090,1.0
Box1_1_Tun_Cou5_D1,3072,2048,42,1327,1017,1.0
Box1_1_Tun_Cou5_D1,3072,2048,43,1319,928,1.0
Box1_1_Tun_Cou5_D1,3072,2048,44,1316,850,1.0
Box1_1_Tun_Cou5_D1,3072,2048,45,1288,758,1.0
Box1_1_Tun_Cou5_D1,3072,2048,46,1262,688,1.0
Box1_1_Tun_Cou5_D1,3072,2048,47,1332,632,1.0
Box1_1_Tun_Cou5_D1,3072,2048,48,1367,711,1.0
Box1_1_Tun_Cou5_D1,3072,2048,49,1395,791,1.0
Box1_1_Tun_Cou5_D1,3072,2048,50,1416,883,1.0
Box1_1_Tun_Cou5_D1,3072,2048,51,1430,981,1.0
Box1_1_Tun_Cou5_D1,3072,2048,52,1444,1054,1.0
Box1_1_Tun_Cou5_D1,3072,2048,53,1440,1144,1.0
Box1_1_Tun_Cou5_D1,3072,2048,54,1555,1305,1.0
Box1_1_Tun_Cou5_D1,3072,2048,55,1534,1184,1.0
Box1_1_Tun_Cou5_D1,3072,2048,56,1542,1097,1.0
Box1_1_Tun_Cou5_D1,3072,2048,57,1537,1000,1.0
Box1_1_Tun_Cou5_D1,3072,2048,58,1514,915,1.0
Box1_1_Tun_Cou5_D1,3072,2048,59,1496,822,1.0
Box1_1_Tun_Cou5_D1,3072,2048,60,1455,729,1.0
Box1_1_Tun_Cou5_D1,3072,2048,61,1411,641,1.0
Box1_1_Tun_Cou5_D1,3072,2048,62,1388,572,1.0
Box1_1_Tun_Cou5_D1,3072,2048,63,1453,475,1.0
Box1_1_Tun_Cou5_D1,3072,2048,64,1486,585,1.0
Box1_1_Tun_Cou5_D1,3072,2048,65,1522,678,1.0
Box1_1_Tun_Cou5_D1,3072,2048,66,1563,778,1.0
Box1_1_Tun_Cou5_D1,3072,2048,67,1581,861,1.0
Box1_1_Tun_Cou5_D1,3072,2048,68,1594,941,1.0
Box1_1_Tun_Cou5_D1,3072,2048,69,1610,1033,1.0
Box1_1_Tun_Cou5_D1,3072,2048,70,1627,1133,1.0
Box1_1_Tun_Cou5_D1,3072,2048,71,1640,1231,1.0
Box1_1_Tun_Cou5_D1,3072,2048,72,1640,1308,1.0
Box1_1_Tun_Cou5_D1,3072,2048,73,1740,1360,1.0
Box1_1_Tun_Cou5_D1,3072,2048,74,1718,1254,1.0
Box1_1_Tun_Cou5_D1,3072,2048,75,1720,1177,1.0
Box1_1_Tun_Cou5_D1,3072,2048,76,1700,1067,1.0
Box1_1_Tun_Cou5_D1,3072,2048,77,1699,991,1.0
Box1_1_Tun_Cou5_D1,3072,2048,78,1677,896,1.0
Box1_1_Tun_Cou5_D1,3072,2048,79,1638,801,1.0
Box1_1_Tun_Cou5_D1,3072,2048,80,1605,695,1.0
Box1_1_Tun_Cou5_D1,3072,2048,81,1574,623,1.0
Box1_1_Tun_Cou5_D1,3072,2048,82,1545,506,1.0
Box1_1_Tun_Cou5_D1,3072,2048,83,1637,562,1.0
Box1_1_Tun_Cou5_D1,3072,2048,84,1686,673,1.0
Box1_1_Tun_Cou5_D1,3072,2048,85,1704,758,1.0
Box1_1_Tun_Cou5_D1,3072,2048,86,1741,848,1.0
Box1_1_Tun_Cou5_D1,3072,2048,87,1777,940,1.0
Box1_1_Tun_Cou5_D1,3072,2048,88,1771,1020,1.0
Box1_1_Tun_Cou5_D1,3072,2048,89,1808,1115,1.0
Box1_1_Tun_Cou5_D1,3072,2048,90,1818,1206,1.0
Box1_1_Tun_Cou5_D1,3072,2048,91,1825,1296,1.0
Box1_1_Tun_Cou5_D1,3072,2048,92,1827,1373,1.0
Box1_1_Tun_Cou5_D1,3072,2048,93,1784,1485,1.0
Box1_1_Tun_Cou5_D1,3072,2048,94,1737,607,1.0
Box1_1_Tun_Cou5_D1,3072,2048,95,1777,712,1.0
Box1_1_Tun_Cou5_D1,3072,2048,96,1807,799,1.0
Box1_1_Tun_Cou5_D1,3072,2048,97,1841,902,1.0
Box1_1_Tun_Cou5_D1,3072,2048,98,1863,981,1.0
Box1_1_Tun_Cou5_D1,3072,2048,99,1897,1062,1.0
Box1_1_Tun_Cou5_D1,3072,2048,100,1912,1158,1.0
Box1_1_Tun_Cou5_D1,3072,2048,101,1912,1243,1.0
Box1_1_Tun_Cou5_D1,3072,2048,102,1914,1314,1.0
Box1_1_Tun_Cou5_D1,3072,2048,103,1905,1427,1.0
Box1_1_Tun_Cou5_D1,3072,2048,104,1890,1525,1.0
Box1_1_Tun_Cou5_D1,3072,2048,105,1927,1608,1.0
Box1_1_Tun_Cou5_D1,3072,2048,106,2008,1521,1.0
Box1_1_Tun_Cou5_D1,3072,2048,107,2038,1427,1.0
Box1_1_Tun_Cou5_D1,3072,2048,108,2018,1318,1.0
Box1_1_Tun_Cou5_D1,3072,2048,109,2010,1205,1.0
Box1_1_Tun_Cou5_D1,3072,2048,110,1978,1117,1.0
Box1_1_Tun_Cou5_D1,3072,2048,111,1955,1043,1.0
Box1_1_Tun_Cou5_D1,3072,2048,112,1922,940,1.0
Box1_1_Tun_Cou5_D1,3072,2048,113,1918,848,1.0
Box1_1_Tun_Cou5_D1,3072,2048,114,1882,757,1.0
Box1_1_Tun_Cou5_D1,3072,2048,115,1861,671,1.0
Box1_1_Tun_Cou5_D1,3072,2048,116,1954,737,1.0
Box1_1_Tun_Cou5_D1,3072,2048,117,2008,829,1.0
Box1_1_Tun_Cou5_D1,3072,2048,118,1991,940,1.0
Box1_1_Tun_Cou5_D1,3072,2048,119,2044,1019,1.0
Box1_1_Tun_Cou5_D1,3072,2048,120,2021,1102,1.0
Box1_1_Tun_Cou5_D1,3072,2048,121,2063,1218,1.0
Box1_1_Tun_Cou5_D1,3072,2048,122,2100,1308,1.0
Box1_1_Tun_Cou5_D1,3072,2048,123,2128,1408,1.0
Box1_1_Tun_Cou5_D1,3072,2048,124,2130,1506,1.0
Box1_1_Tun_Cou5_D1,3072,2048,125,2063,1608,1.0
Box1_1_Tun_Cou5_D1,3072,2048,126,2080,1666,1.0
Box1_1_Tun_Cou5_D1,3072,2048,127,1974,1668,1.0
Box1_1_Tun_Cou5_D1,3072,2048,128,2134,1581,1.0
Box1_1_Tun_Cou5_D1,3072,2048,129,2198,1510,1.0
Box1_1_Tun_Cou5_D1,3072,2048,130,2239,1596,1.0
Box1_1_Tun_Cou5_D1,3072,2048,131,2211,1429,1.0
Box1_1_Tun_Cou5_D1,3072,2048,132,2185,1308,1.0
Box1_1_Tun_Cou5_D1,3072,2048,133,2168,1201,1.0
Box1_1_Tun_Cou5_D1,3072,2048,134,2127,1119,1.0
Box1_1_Tun_Cou5_D1,3072,2048,135,2096,1008,1.0
Box1_1_Tun_Cou5_D1,3072,2048,136,2085,915,1.0
Box1_1_Tun_Cou5_D1,3072,2048,137,2273,1335,1.0
Box1_1_Tun_Cou5_D1,3072,2048,138,2288,1427,1.0
Box1_1_Tun_Cou5_D1,3072,2048,139,2292,1519,1.0
Box1_1_Tun_Cou5_D1,3072,2048,140,2337,1585,1.0
Box1_1_Tun_Cou5_D1,3072,2048,141,2358,1470,1.0
