image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_A1,3072,2048,1,1006,1727,1.0
Box1_Cou6_ISTTC_A1,3072,2048,2,1099,1725,1.0
Box1_Cou6_ISTTC_A1,3072,2048,3,978,1648,1.0
Box1_Cou6_ISTTC_A1,3072,2048,4,1063,1661,1.0
Box1_Cou6_ISTTC_A1,3072,2048,5,1150,1667,1.0
Box1_Cou6_ISTTC_A1,3072,2048,6,1227,1676,1.0
Box1_Cou6_ISTTC_A1,3072,2048,7,1312,1678,1.0
Box1_Cou6_ISTTC_A1,3072,2048,8,880,1542,1.0
Box1_Cou6_ISTTC_A1,3072,2048,9,963,1559,1.0
Box1_Cou6_ISTTC_A1,3072,2048,10,1048,1588,1.0
Box1_Cou6_ISTTC_A1,3072,2048,11,1121,1593,1.0
Box1_Cou6_ISTTC_A1,3072,2048,12,1206,1603,1.0
Box1_Cou6_ISTTC_A1,3072,2048,13,1295,1601,1.0
Box1_Cou6_ISTTC_A1,3072,2048,14,1380,1597,1.0
Box1_Cou6_ISTTC_A1,3072,2048,15,1010,1499,1.0
Box1_Cou6_ISTTC_A1,3072,2048,16,1095,1523,1.0
Box1_Cou6_ISTTC_A1,3072,2048,17,1172,1527,1.0
Box1_Cou6_ISTTC_A1,3072,2048,18,1255,1540,1.0
Box1_Cou6_ISTTC_A1,3072,2048,19,1346,1542,1.0
Box1_Cou6_ISTTC_A1,3072,2048,20,1065,1431,1.0
Box1_Cou6_ISTTC_A1,3072,2048,21,1159,1457,1.0
Box1_Cou6_ISTTC_A1,3072,2048,22,1229,1465,1.0
Box1_Cou6_ISTTC_A1,3072,2048,23,1316,1452,1.0
Box1_Cou6_ISTTC_A1,3072,2048,24,1403,1442,1.0
Box1_Cou6_ISTTC_A1,3072,2048,25,1491,1440,1.0
Box1_Cou6_ISTTC_A1,3072,2048,26,1420,1501,1.0
Box1_Cou6_ISTTC_A1,3072,2048,27,1121,1374,1.0
Box1_Cou6_ISTTC_A1,3072,2048,28,1193,1389,1.0
Box1_Cou6_ISTTC_A1,3072,2048,29,1286,1393,1.0
Box1_Cou6_ISTTC_A1,3072,2048,30,1357,1389,1.0
Box1_Cou6_ISTTC_A1,3072,2048,31,1446,1376,1.0
Box1_Cou6_ISTTC_A1,3072,2048,32,1542,1363,1.0
Box1_Cou6_ISTTC_A1,3072,2048,33,1089,1299,1.0
Box1_Cou6_ISTTC_A1,3072,2048,34,1167,1297,1.0
Box1_Cou6_ISTTC_A1,3072,2048,35,1248,1320,1.0
Box1_Cou6_ISTTC_A1,3072,2048,36,1337,1327,1.0
