image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_B2,3072,2048,1,1310,499,1.0
Box1_Cou6_ISTTC_B2,3072,2048,2,1399,406,1.0
Box1_Cou6_ISTTC_B2,3072,2048,3,1512,421,1.0
Box1_Cou6_ISTTC_B2,3072,2048,4,1567,344,1.0
Box1_Cou6_ISTTC_B2,3072,2048,5,1333,682,1.0
Box1_Cou6_ISTTC_B2,3072,2048,6,1376,584,1.0
Box1_Cou6_ISTTC_B2,3072,2048,7,1425,506,1.0
Box1_Cou6_ISTTC_B2,3072,2048,8,1440,710,1.0
Box1_Cou6_ISTTC_B2,3072,2048,9,1467,606,1.0
Box1_Cou6_ISTTC_B2,3072,2048,10,1527,527,1.0
Box1_Cou6_ISTTC_B2,3072,2048,11,1603,478,1.0
Box1_Cou6_ISTTC_B2,3072,2048,12,1671,394,1.0
Box1_Cou6_ISTTC_B2,3072,2048,13,1770,464,1.0
Box1_Cou6_ISTTC_B2,3072,2048,14,1867,493,1.0
Box1_Cou6_ISTTC_B2,3072,2048,15,1951,537,1.0
Box1_Cou6_ISTTC_B2,3072,2048,16,1692,506,1.0
Box1_Cou6_ISTTC_B2,3072,2048,17,1798,559,1.0
Box1_Cou6_ISTTC_B2,3072,2048,18,1886,609,1.0
Box1_Cou6_ISTTC_B2,3072,2048,19,1978,636,1.0
Box1_Cou6_ISTTC_B2,3072,2048,20,1610,595,1.0
Box1_Cou6_ISTTC_B2,3072,2048,21,1725,612,1.0
Box1_Cou6_ISTTC_B2,3072,2048,22,1814,664,1.0
Box1_Cou6_ISTTC_B2,3072,2048,23,1891,690,1.0
Box1_Cou6_ISTTC_B2,3072,2048,24,1994,730,1.0
Box1_Cou6_ISTTC_B2,3072,2048,25,2013,844,1.0
Box1_Cou6_ISTTC_B2,3072,2048,26,1934,786,1.0
Box1_Cou6_ISTTC_B2,3072,2048,27,1830,751,1.0
Box1_Cou6_ISTTC_B2,3072,2048,28,1733,720,1.0
Box1_Cou6_ISTTC_B2,3072,2048,29,1648,675,1.0
Box1_Cou6_ISTTC_B2,3072,2048,30,1550,664,1.0
Box1_Cou6_ISTTC_B2,3072,2048,31,1349,818,1.0
Box1_Cou6_ISTTC_B2,3072,2048,32,1462,850,1.0
Box1_Cou6_ISTTC_B2,3072,2048,33,1513,754,1.0
Box1_Cou6_ISTTC_B2,3072,2048,34,1608,776,1.0
Box1_Cou6_ISTTC_B2,3072,2048,35,1711,805,1.0
Box1_Cou6_ISTTC_B2,3072,2048,36,1795,847,1.0
Box1_Cou6_ISTTC_B2,3072,2048,37,1897,879,1.0
Box1_Cou6_ISTTC_B2,3072,2048,38,1970,940,1.0
Box1_Cou6_ISTTC_B2,3072,2048,39,2087,968,1.0
Box1_Cou6_ISTTC_B2,3072,2048,40,2092,1055,1.0
Box1_Cou6_ISTTC_B2,3072,2048,41,1996,1031,1.0
Box1_Cou6_ISTTC_B2,3072,2048,42,1912,1005,1.0
Box1_Cou6_ISTTC_B2,3072,2048,43,1836,950,1.0
Box1_Cou6_ISTTC_B2,3072,2048,44,1735,908,1.0
Box1_Cou6_ISTTC_B2,3072,2048,45,1653,887,1.0
Box1_Cou6_ISTTC_B2,3072,2048,46,1558,858,1.0
Box1_Cou6_ISTTC_B2,3072,2048,47,1399,928,1.0
Box1_Cou6_ISTTC_B2,3072,2048,48,1499,942,1.0
Box1_Cou6_ISTTC_B2,3072,2048,49,1589,968,1.0
Box1_Cou6_ISTTC_B2,3072,2048,50,1688,987,1.0
Box1_Cou6_ISTTC_B2,3072,2048,51,1767,1014,1.0
Box1_Cou6_ISTTC_B2,3072,2048,52,1857,1053,1.0
Box1_Cou6_ISTTC_B2,3072,2048,53,1952,1117,1.0
Box1_Cou6_ISTTC_B2,3072,2048,54,2036,1140,1.0
Box1_Cou6_ISTTC_B2,3072,2048,55,2068,1233,1.0
Box1_Cou6_ISTTC_B2,3072,2048,56,1967,1196,1.0
Box1_Cou6_ISTTC_B2,3072,2048,57,1864,1145,1.0
Box1_Cou6_ISTTC_B2,3072,2048,58,1690,1085,1.0
Box1_Cou6_ISTTC_B2,3072,2048,59,1605,1064,1.0
Box1_Cou6_ISTTC_B2,3072,2048,60,1505,1031,1.0
Box1_Cou6_ISTTC_B2,3072,2048,61,1409,1014,1.0
Box1_Cou6_ISTTC_B2,3072,2048,62,1782,1117,1.0
Box1_Cou6_ISTTC_B2,3072,2048,63,1441,1117,1.0
Box1_Cou6_ISTTC_B2,3072,2048,64,1521,1125,1.0
Box1_Cou6_ISTTC_B2,3072,2048,65,1619,1162,1.0
Box1_Cou6_ISTTC_B2,3072,2048,66,1698,1188,1.0
Box1_Cou6_ISTTC_B2,3072,2048,67,1796,1207,1.0
Box1_Cou6_ISTTC_B2,3072,2048,68,1891,1243,1.0
Box1_Cou6_ISTTC_B2,3072,2048,69,1976,1291,1.0
Box1_Cou6_ISTTC_B2,3072,2048,70,2013,1375,1.0
Box1_Cou6_ISTTC_B2,3072,2048,71,1901,1351,1.0
Box1_Cou6_ISTTC_B2,3072,2048,72,1812,1314,1.0
Box1_Cou6_ISTTC_B2,3072,2048,73,1717,1304,1.0
Box1_Cou6_ISTTC_B2,3072,2048,74,1616,1254,1.0
Box1_Cou6_ISTTC_B2,3072,2048,75,1524,1232,1.0
Box1_Cou6_ISTTC_B2,3072,2048,76,1457,1196,1.0
Box1_Cou6_ISTTC_B2,3072,2048,77,1552,1330,1.0
Box1_Cou6_ISTTC_B2,3072,2048,78,1632,1383,1.0
Box1_Cou6_ISTTC_B2,3072,2048,79,1729,1375,1.0
Box1_Cou6_ISTTC_B2,3072,2048,80,1814,1410,1.0
Box1_Cou6_ISTTC_B2,3072,2048,81,1922,1426,1.0
Box1_Cou6_ISTTC_B2,3072,2048,82,2015,1467,1.0
Box1_Cou6_ISTTC_B2,3072,2048,83,1942,1522,1.0
Box1_Cou6_ISTTC_B2,3072,2048,84,1854,1495,1.0
Box1_Cou6_ISTTC_B2,3072,2048,85,1734,1482,1.0
Box1_Cou6_ISTTC_B2,3072,2048,86,1635,1471,1.0
Box1_Cou6_ISTTC_B2,3072,2048,87,1730,1568,1.0
Box1_Cou6_ISTTC_B2,3072,2048,88,1842,1570,1.0
