image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_C5,3072,2048,1,1394,1617,1.0
Box1_Cou6_ISTTC_C5,3072,2048,2,1301,1325,1.0
Box1_Cou6_ISTTC_C5,3072,2048,3,1403,1385,1.0
Box1_Cou6_ISTTC_C5,3072,2048,4,1542,1514,1.0
Box1_Cou6_ISTTC_C5,3072,2048,5,1668,1551,1.0
Box1_Cou6_ISTTC_C5,3072,2048,6,1602,1364,1.0
Box1_Cou6_ISTTC_C5,3072,2048,7,1734,1433,1.0
Box1_Cou6_ISTTC_C5,3072,2048,8,1843,1496,1.0
Box1_Cou6_ISTTC_C5,3072,2048,9,1942,1415,1.0
Box1_Cou6_ISTTC_C5,3072,2048,10,2005,1231,1.0
Box1_Cou6_ISTTC_C5,3072,2048,11,1813,1304,1.0
Box1_Cou6_ISTTC_C5,3072,2048,12,1737,1246,1.0
Box1_Cou6_ISTTC_C5,3072,2048,13,1590,1162,1.0
Box1_Cou6_ISTTC_C5,3072,2048,14,1457,1207,1.0
Box1_Cou6_ISTTC_C5,3072,2048,15,1319,1147,1.0
Box1_Cou6_ISTTC_C5,3072,2048,16,1409,1066,1.0
Box1_Cou6_ISTTC_C5,3072,2048,17,1418,876,1.0
Box1_Cou6_ISTTC_C5,3072,2048,18,1587,1033,1.0
Box1_Cou6_ISTTC_C5,3072,2048,19,1701,1090,1.0
Box1_Cou6_ISTTC_C5,3072,2048,20,1801,1180,1.0
Box1_Cou6_ISTTC_C5,3072,2048,21,2011,1090,1.0
Box1_Cou6_ISTTC_C5,3072,2048,22,1879,999,1.0
Box1_Cou6_ISTTC_C5,3072,2048,23,1740,945,1.0
Box1_Cou6_ISTTC_C5,3072,2048,24,1529,864,1.0
Box1_Cou6_ISTTC_C5,3072,2048,25,1653,777,1.0
Box1_Cou6_ISTTC_C5,3072,2048,26,1879,852,1.0
Box1_Cou6_ISTTC_C5,3072,2048,27,2023,948,1.0
