image,width,height,egg_id,x,y,confidence
Box1_Cou6_ISTTC_D2,3072,2048,1,1567,979,1.0
Box1_Cou6_ISTTC_D2,3072,2048,2,1483,985,1.0
Box1_Cou6_ISTTC_D2,3072,2048,3,1513,907,1.0
Box1_Cou6_ISTTC_D2,3072,2048,4,1459,907,1.0
Box1_Cou6_ISTTC_D2,3072,2048,5,1551,829,1.0
Box1_Cou6_ISTTC_D2,3072,2048,6,1440,807,1.0
Box1_Cou6_ISTTC_D2,3072,2048,7,1488,750,1.0
Box1_Cou6_ISTTC_D2,3072,2048,8,1361,766,1.0
Box1_Cou6_ISTTC_D2,3072,2048,9,1286,780,1.0
Box1_Cou6_ISTTC_D2,3072,2048,10,1344,855,1.0
Box1_Cou6_ISTTC_D2,3072,2048,11,1364,940,1.0
Box1_Cou6_ISTTC_D2,3072,2048,12,1307,913,1.0
Box1_Cou6_ISTTC_D2,3072,2048,13,1236,895,1.0
Box1_Cou6_ISTTC_D2,3072,2048,14,1182,937,1.0
Box1_Cou6_ISTTC_D2,3072,2048,15,1105,983,1.0
Box1_Cou6_ISTTC_D2,3072,2048,16,1172,1024,1.0
Box1_Cou6_ISTTC_D2,3072,2048,17,1233,1055,1.0
Box1_Cou6_ISTTC_D2,3072,2048,18,1308,1084,1.0
Box1_Cou6_ISTTC_D2,3072,2048,19,1370,1118,1.0
Box1_Cou6_ISTTC_D2,3072,2048,20,1441,1138,1.0
Box1_Cou6_ISTTC_D2,3072,2048,21,1377,1202,1.0
Box1_Cou6_ISTTC_D2,3072,2048,22,1293,1164,1.0
Box1_Cou6_ISTTC_D2,3072,2048,23,1220,1141,1.0
Box1_Cou6_ISTTC_D2,3072,2048,24,1157,1103,1.0
Box1_Cou6_ISTTC_D2,3072,2048,25,1425,1014,1.0
Box1_Cou6_ISTTC_D2,3072,2048,26,1236,982,1.0
Box1_Cou6_ISTTC_D2,3072,2048,27,1306,1005,1.0
Box1_Cou6_ISTTC_D2,3072,2048,28,1373,1037,1.0
Box1_Cou6_ISTTC_D2,3072,2048,29,1462,1082,1.0
