image,width,height,egg_id,x,y,confidence
Box1_Cou6_IST_A3,3072,2048,1,1802,1526,1.0
Box1_Cou6_IST_A3,3072,2048,2,1928,1522,1.0
Box1_Cou6_IST_A3,3072,2048,3,2039,1594,1.0
Box1_Cou6_IST_A3,3072,2048,4,2162,1505,1.0
Box1_Cou6_IST_A3,3072,2048,5,2021,1461,1.0
Box1_Cou6_IST_A3,3072,2048,6,1881,1427,1.0
Box1_Cou6_IST_A3,3072,2048,7,1778,1407,1.0
Box1_Cou6_IST_A3,3072,2048,8,1647,1398,1.0
Box1_Cou6_IST_A3,3072,2048,9,1503,1364,1.0
Box1_Cou6_IST_A3,3072,2048,10,1358,1221,1.0
Box1_Cou6_IST_A3,3072,2048,11,1459,1229,1.0
Box1_Cou6_IST_A3,3072,2048,12,1633,1281,1.0
Box1_Cou6_IST_A3,3072,2048,13,1744,1308,1.0
Box1_Cou6_IST_A3,3072,2048,14,1893,1287,1.0
Box1_Cou6_IST_A3,3072,2048,15,1984,1340,1.0
Box1_Cou6_IST_A3,3072,2048,16,2116,1388,1.0
Box1_Cou6_IST_A3,3072,2048,17,2243,1409,1.0
Box1_Cou6_IST_A3,3072,2048,18,2330,1312,1.0
Box1_Cou6_IST_A3,3072,2048,19,2219,1275,1.0
Box1_Cou6_IST_A3,3072,2048,20,2107,1269,1.0
Box1_Cou6_IST_A3,3072,2048,21,1966,1239,1.0
Box1_Cou6_IST_A3,3072,2048,22,1845,1200,1.0
Box1_Cou6_IST_A3,3072,2048,23,1728,1184,1.0
Box1_Cou6_IST_A3,3072,2048,24,1568,1164,1.0
Box1_Cou6_IST_A3,3072,2048,25,1465,1130,1.0
Box1_Cou6_IST_A3,3072,2048,26,1324,1093,1.0
Box1_Cou6_IST_A3,3072,2048,27,1164,1146,1.0
Box1_Cou6_IST_A3,3072,2048,28,1075,1053,1.0
Box1_Cou6_IST_A3,3072,2048,29,1178,1061,1.0
Box1_Cou6_IST_A3,3072,2048,30,996,964,1.0
Box1_Cou6_IST_A3,3072,2048,31,1166,901,1.0
Box1_Cou6_IST_A3,3072,2048,32,825,944,1.0
Box1_Cou6_IST_A3,3072,2048,33,778,802,1.0
Box1_Cou6_IST_A3,3072,2048,34,883,760,1.0
Box1_Cou6_IST_A3,3072,2048,35,1004,807,1.0
Box1_Cou6_IST_A3,3072,2048,36,1124,817,1.0
Box1_Cou6_IST_A3,3072,2048,37,1063,689,1.0
Box1_Cou6_IST_A3,3072,2048,38,950,607,1.0
Box1_Cou6_IST_A3,3072,2048,39,1154,596,1.0
Box1_Cou6_IST_A3,3072,2048,40,1211,722,1.0
Box1_Cou6_IST_A3,3072,2048,41,1247,851,1.0
Box1_Cou6_IST_A3,3072,2048,42,1322,976,1.0
Box1_Cou6_IST_A3,3072,2048,43,1419,1013,1.0
Box1_Cou6_IST_A3,3072,2048,44,1534,1023,1.0
Box1_Cou6_IST_A3,3072,2048,45,1681,1069,1.0
Box1_Cou6_IST_A3,3072,2048,46,1802,1089,1.0
Box1_Cou6_IST_A3,3072,2048,47,1948,1120,1.0
Box1_Cou6_IST_A3,3072,2048,48,2053,1138,1.0
Box1_Cou6_IST_A3,3072,2048,49,2142,1156,1.0
Box1_Cou6_IST_A3,3072,2048,50,2295,1162,1.0
Box1_Cou6_IST_A3,3072,2048,51,2417,1209,1.0
