image,width,height,egg_id,x,y,confidence
Box1_Cou6_IST_B1,3072,2048,1,1610,629,1.0
Box1_Cou6_IST_B1,3072,2048,2,1723,615,1.0
Box1_Cou6_IST_B1,3072,2048,3,1838,599,1.0
Box1_Cou6_IST_B1,3072,2048,4,1970,597,1.0
Box1_Cou6_IST_B1,3072,2048,5,2129,622,1.0
Box1_Cou6_IST_B1,3072,2048,6,1276,778,1.0
Box1_Cou6_IST_B1,3072,2048,7,1388,753,1.0
Box1_Cou6_IST_B1,3072,2048,8,1547,723,1.0
Box1_Cou6_IST_B1,3072,2048,9,1675,748,1.0
Box1_Cou6_IST_B1,3072,2048,10,1817,722,1.0
Box1_Cou6_IST_B1,3072,2048,11,1924,725,1.0
Box1_Cou6_IST_B1,3072,2048,12,2052,739,1.0
Box1_Cou6_IST_B1,3072,2048,13,2159,802,1.0
Box1_Cou6_IST_B1,3072,2048,14,2220,725,1.0
Box1_Cou6_IST_B1,3072,2048,15,2333,652,1.0
Box1_Cou6_IST_B1,3072,2048,16,2420,801,1.0
Box1_Cou6_IST_B1,3072,2048,17,2338,799,1.0
Box1_Cou6_IST_B1,3072,2048,18,2256,883,1.0
Box1_Cou6_IST_B1,3072,2048,19,2003,844,1.0
Box1_Cou6_IST_B1,3072,2048,20,1901,836,1.0
Box1_Cou6_IST_B1,3072,2048,21,1770,853,1.0
Box1_Cou6_IST_B1,3072,2048,22,1593,851,1.0
Box1_Cou6_IST_B1,3072,2048,23,1482,858,1.0
Box1_Cou6_IST_B1,3072,2048,24,1377,874,1.0
Box1_Cou6_IST_B1,3072,2048,25,1186,869,1.0
Box1_Cou6_IST_B1,3072,2048,26,1057,844,1.0
Box1_Cou6_IST_B1,3072,2048,27,802,992,1.0
Box1_Cou6_IST_B1,3072,2048,28,923,990,1.0
Box1_Cou6_IST_B1,3072,2048,29,1039,974,1.0
Box1_Cou6_IST_B1,3072,2048,30,1149,992,1.0
Box1_Cou6_IST_B1,3072,2048,31,1284,955,1.0
Box1_Cou6_IST_B1,3072,2048,32,1472,976,1.0
Box1_Cou6_IST_B1,3072,2048,33,1575,953,1.0
Box1_Cou6_IST_B1,3072,2048,34,1695,943,1.0
Box1_Cou6_IST_B1,3072,2048,35,1851,953,1.0
Box1_Cou6_IST_B1,3072,2048,36,1965,955,1.0
Box1_Cou6_IST_B1,3072,2048,37,2101,929,1.0
Box1_Cou6_IST_B1,3072,2048,38,2383,897,1.0
Box1_Cou6_IST_B1,3072,2048,39,2538,908,1.0
Box1_Cou6_IST_B1,3072,2048,40,2575,1023,1.0
Box1_Cou6_IST_B1,3072,2048,41,2454,1009,1.0
Box1_Cou6_IST_B1,3072,2048,42,2308,1013,1.0
Box1_Cou6_IST_B1,3072,2048,43,2199,999,1.0
Box1_Cou6_IST_B1,3072,2048,44,2035,1051,1.0
Box1_Cou6_IST_B1,3072,2048,45,1910,1058,1.0
Box1_Cou6_IST_B1,3072,2048,46,1758,1055,1.0
Box1_Cou6_IST_B1,3072,2048,47,1645,1065,1.0
Box1_Cou6_IST_B1,3072,2048,48,1512,1104,1.0
Box1_Cou6_IST_B1,3072,2048,49,1376,1074,1.0
Box1_Cou6_IST_B1,3072,2048,50,1274,1118,1.0
Box1_Cou6_IST_B1,3072,2048,51,1141,1160,1.0
Box1_Cou6_IST_B1,3072,2048,52,1028,1139,1.0
Box1_Cou6_IST_B1,3072,2048,53,895,1172,1.0
Box1_Cou6_IST_B1,3072,2048,54,692,1139,1.0
Box1_Cou6_IST_B1,3072,2048,55,673,1309,1.0
Box1_Cou6_IST_B1,3072,2048,56,804,1209,1.0
Box1_Cou6_IST_B1,3072,2048,57,937,1293,1.0
Box1_Cou6_IST_B1,3072,2048,58,1065,1276,1.0
Box1_Cou6_IST_B1,3072,2048,59,1225,1288,1.0
Box1_Cou6_IST_B1,3072,2048,60,1370,1230,1.0
