image,width,height,egg_id,x,y,confidence
Box1_Cou6_IST_C4,3072,2048,1,1228,1325,1.0
Box1_Cou6_IST_C4,3072,2048,2,1340,1309,1.0
Box1_Cou6_IST_C4,3072,2048,3,1443,1304,1.0
Box1_Cou6_IST_C4,3072,2048,4,1553,1280,1.0
Box1_Cou6_IST_C4,3072,2048,5,1660,1262,1.0
Box1_Cou6_IST_C4,3072,2048,6,1128,1233,1.0
Box1_Cou6_IST_C4,3072,2048,7,1259,1230,1.0
Box1_Cou6_IST_C4,3072,2048,8,1356,1217,1.0
Box1_Cou6_IST_C4,3072,2048,9,1463,1196,1.0
Box1_Cou6_IST_C4,3072,2048,10,1597,1194,1.0
Box1_Cou6_IST_C4,3072,2048,11,1683,1149,1.0
Box1_Cou6_IST_C4,3072,2048,12,1783,1199,1.0
Box1_Cou6_IST_C4,3072,2048,13,1825,1050,1.0
Box1_Cou6_IST_C4,3072,2048,14,1757,1008,1.0
Box1_Cou6_IST_C4,3072,2048,15,1644,1018,1.0
Box1_Cou6_IST_C4,3072,2048,16,1539,1065,1.0
Box1_Cou6_IST_C4,3072,2048,17,1437,1105,1.0
Box1_Cou6_IST_C4,3072,2048,18,1343,1092,1.0
Box1_Cou6_IST_C4,3072,2048,19,1289,1087,1.0
Box1_Cou6_IST_C4,3072,2048,20,1177,1099,1.0
Box1_Cou6_IST_C4,3072,2048,21,1234,1005,1.0
Box1_Cou6_IST_C4,3072,2048,22,1316,1005,1.0
Box1_Cou6_IST_C4,3072,2048,23,1433,954,1.0
Box1_Cou6_IST_C4,3072,2048,24,1542,957,1.0
Box1_Cou6_IST_C4,3072,2048,25,1659,903,1.0
Box1_Cou6_IST_C4,3072,2048,26,1746,873,1.0
Box1_Cou6_IST_C4,3072,2048,27,1493,840,1.0
Box1_Cou6_IST_C4,3072,2048,28,1385,867,1.0
Box1_Cou6_IST_C4,3072,2048,29,1301,897,1.0
Box1_Cou6_IST_C4,3072,2048,30,1171,894,1.0
Box1_Cou6_IST_C4,3072,2048,31,1252,801,1.0
Box1_Cou6_IST_C4,3072,2048,32,1895,1215,1.0
