image,width,height,egg_id,x,y,confidence
Box1_Cou7_Cou5_B4,3072,2048,1,1306,971,1.0
Box1_Cou7_Cou5_B4,3072,2048,2,1378,829,1.0
Box1_Cou7_Cou5_B4,3072,2048,3,1435,747,1.0
Box1_Cou7_Cou5_B4,3072,2048,4,1454,670,1.0
Box1_Cou7_Cou5_B4,3072,2048,5,1489,598,1.0
Box1_Cou7_Cou5_B4,3072,2048,6,1526,527,1.0
Box1_Cou7_Cou5_B4,3072,2048,7,1269,1607,1.0
Box1_Cou7_Cou5_B4,3072,2048,8,1393,1644,1.0
Box1_Cou7_Cou5_B4,3072,2048,9,1383,1594,1.0
Box1_Cou7_Cou5_B4,3072,2048,10,1430,1605,1.0
Box1_Cou7_Cou5_B4,3072,2048,11,1274,1496,1.0
Box1_Cou7_Cou5_B4,3072,2048,12,1206,1570,1.0
Box1_Cou7_Cou5_B4,3072,2048,13,1224,1444,1.0
Box1_Cou7_Cou5_B4,3072,2048,14,1224,1348,1.0
Box1_Cou7_Cou5_B4,3072,2048,15,1293,1374,1.0
Box1_Cou7_Cou5_B4,3072,2048,16,1330,1449,1.0
Box1_Cou7_Cou5_B4,3072,2048,17,1380,1399,1.0
Box1_Cou7_Cou5_B4,3072,2048,18,1466,1472,1.0
Box1_Cou7_Cou5_B4,3072,2048,19,1426,1526,1.0
Box1_Cou7_Cou5_B4,3072,2048,20,1505,1555,1.0
Box1_Cou7_Cou5_B4,3072,2048,21,1555,1496,1.0
Box1_Cou7_Cou5_B4,3072,2048,22,1608,1437,1.0
Box1_Cou7_Cou5_B4,3072,2048,23,1694,1410,1.0
Box1_Cou7_Cou5_B4,3072,2048,24,1714,1364,1.0
Box1_Cou7_Cou5_B4,3072,2048,25,1636,1339,1.0
Box1_Cou7_Cou5_B4,3072,2048,26,1571,1374,1.0
Box1_Cou7_Cou5_B4,3072,2048,27,1513,1413,1.0
Box1_Cou7_Cou5_B4,3072,2048,28,1440,1339,1.0
Box1_Cou7_Cou5_B4,3072,2048,29,1344,1314,1.0
Box1_Cou7_Cou5_B4,3072,2048,30,1287,1264,1.0
Box1_Cou7_Cou5_B4,3072,2048,31,1679,267,1.0
Box1_Cou7_Cou5_B4,3072,2048,32,1668,359,1.0
Box1_Cou7_Cou5_B4,3072,2048,33,1641,426,1.0
Box1_Cou7_Cou5_B4,3072,2048,34,1620,508,1.0
Box1_Cou7_Cou5_B4,3072,2048,35,1589,574,1.0
Box1_Cou7_Cou5_B4,3072,2048,36,1564,650,1.0
Box1_Cou7_Cou5_B4,3072,2048,37,1525,726,1.0
Box1_Cou7_Cou5_B4,3072,2048,38,1485,797,1.0
Box1_Cou7_Cou5_B4,3072,2048,39,1450,881,1.0
Box1_Cou7_Cou5_B4,3072,2048,40,1398,945,1.0
Box1_Cou7_Cou5_B4,3072,2048,41,1352,1039,1.0
Box1_Cou7_Cou5_B4,3072,2048,42,1319,1114,1.0
Box1_Cou7_Cou5_B4,3072,2048,43,1337,1213,1.0
Box1_Cou7_Cou5_B4,3072,2048,44,1385,1157,1.0
Box1_Cou7_Cou5_B4,3072,2048,45,1414,1078,1.0
Box1_Cou7_Cou5_B4,3072,2048,46,1454,1007,1.0
Box1_Cou7_Cou5_B4,3072,2048,47,1497,940,1.0
Box1_Cou7_Cou5_B4,3072,2048,48,1536,877,1.0
Box1_Cou7_Cou5_B4,3072,2048,49,1579,800,1.0
Box1_Cou7_Cou5_B4,3072,2048,50,1615,716,1.0
Box1_Cou7_Cou5_B4,3072,2048,51,1641,629,1.0
Box1_Cou7_Cou5_B4,3072,2048,52,1678,555,1.0
Box1_Cou7_Cou5_B4,3072,2048,53,1707,489,1.0
Box1_Cou7_Cou5_B4,3072,2048,54,1730,426,1.0
Box1_Cou7_Cou5_B4,3072,2048,55,1763,334,1.0
Box1_Cou7_Cou5_B4,3072,2048,56,1775,238,1.0
Box1_Cou7_Cou5_B4,3072,2048,57,1864,237,1.0
Box1_Cou7_Cou5_B4,3072,2048,58,1844,335,1.0
Box1_Cou7_Cou5_B4,3072,2048,59,1820,405,1.0
Box1_Cou7_Cou5_B4,3072,2048,60,1792,492,1.0
Box1_Cou7_Cou5_B4,3072,2048,61,1770,555,1.0
Box1_Cou7_Cou5_B4,3072,2048,62,1734,616,1.0
Box1_Cou7_Cou5_B4,3072,2048,63,1701,694,1.0
Box1_Cou7_Cou5_B4,3072,2048,64,1677,774,1.0
Box1_Cou7_Cou5_B4,3072,2048,65,1629,856,1.0
Box1_Cou7_Cou5_B4,3072,2048,66,1596,932,1.0
Box1_Cou7_Cou5_B4,3072,2048,67,1559,1006,1.0
Box1_Cou7_Cou5_B4,3072,2048,68,1513,1073,1.0
Box1_Cou7_Cou5_B4,3072,2048,69,1469,1139,1.0
Box1_Cou7_Cou5_B4,3072,2048,70,1457,1203,1.0
Box1_Cou7_Cou5_B4,3072,2048,71,1404,1268,1.0
Box1_Cou7_Cou5_B4,3072,2048,72,1483,1287,1.0
Box1_Cou7_Cou5_B4,3072,2048,73,1548,1200,1.0
Box1_Cou7_Cou5_B4,3072,2048,74,1571,1128,1.0
Box1_Cou7_Cou5_B4,3072,2048,75,1600,1067,1.0
Box1_Cou7_Cou5_B4,3072,2048,76,1648,986,1.0
Box1_Cou7_Cou5_B4,3072,2048,77,1688,925,1.0
Box1_Cou7_Cou5_B4,3072,2048,78,1711,836,1.0
Box1_Cou7_Cou5_B4,3072,2048,79,1753,793,1.0
Box1_Cou7_Cou5_B4,3072,2048,80,1786,688,1.0
Box1_Cou7_Cou5_B4,3072,2048,81,1819,604,1.0
Box1_Cou7_Cou5_B4,3072,2048,82,1857,540,1.0
Box1_Cou7_Cou5_B4,3072,2048,83,1879,446,1.0
Box1_Cou7_Cou5_B4,3072,2048,84,1963,235,1.0
Box1_Cou7_Cou5_B4,3072,2048,85,1931,320,1.0
Box1_Cou7_Cou5_B4,3072,2048,86,1908,378,1.0
Box1_Cou7_Cou5_B4,3072,2048,87,2025,312,1.0
Box1_Cou7_Cou5_B4,3072,2048,88,2000,367,1.0
Box1_Cou7_Cou5_B4,3072,2048,89,1968,446,1.0
Box1_Cou7_Cou5_B4,3072,2048,90,1949,520,1.0
Box1_Cou7_Cou5_B4,3072,2048,91,1903,615,1.0
Box1_Cou7_Cou5_B4,3072,2048,92,1880,694,1.0
Box1_Cou7_Cou5_B4,3072,2048,93,1851,767,1.0
Box1_Cou7_Cou5_B4,3072,2048,94,1834,833,1.0
Box1_Cou7_Cou5_B4,3072,2048,95,1778,922,1.0
Box1_Cou7_Cou5_B4,3072,2048,96,1740,998,1.0
Box1_Cou7_Cou5_B4,3072,2048,97,1707,1078,1.0
Box1_Cou7_Cou5_B4,3072,2048,98,1669,1142,1.0
Box1_Cou7_Cou5_B4,3072,2048,99,1641,1212,1.0
Box1_Cou7_Cou5_B4,3072,2048,100,1587,1273,1.0
Box1_Cou7_Cou5_B4,3072,2048,101,1679,1296,1.0
Box1_Cou7_Cou5_B4,3072,2048,102,1732,1213,1.0
Box1_Cou7_Cou5_B4,3072,2048,103,1758,1151,1.0
Box1_Cou7_Cou5_B4,3072,2048,104,1796,1073,1.0
Box1_Cou7_Cou5_B4,3072,2048,105,1831,998,1.0
Box1_Cou7_Cou5_B4,3072,2048,106,1870,909,1.0
Box1_Cou7_Cou5_B4,3072,2048,107,1900,828,1.0
Box1_Cou7_Cou5_B4,3072,2048,108,1931,757,1.0
Box1_Cou7_Cou5_B4,3072,2048,109,1961,670,1.0
Box1_Cou7_Cou5_B4,3072,2048,110,1989,591,1.0
Box1_Cou7_Cou5_B4,3072,2048,111,2080,372,1.0
Box1_Cou7_Cou5_B4,3072,2048,112,2053,446,1.0
Box1_Cou7_Cou5_B4,3072,2048,113,2025,527,1.0
Box1_Cou7_Cou5_B4,3072,2048,114,2134,463,1.0
Box1_Cou7_Cou5_B4,3072,2048,115,2095,529,1.0
Box1_Cou7_Cou5_B4,3072,2048,116,2056,596,1.0
