image,width,height,egg_id,x,y,confidence
Box1_Cou7_Cou5_C1,3072,2048,1,390,1052,1.0
Box1_Cou7_Cou5_C1,3072,2048,2,431,907,1.0
Box1_Cou7_Cou5_C1,3072,2048,3,476,782,1.0
Box1_Cou7_Cou5_C1,3072,2048,4,544,974,1.0
Box1_Cou7_Cou5_C1,3072,2048,5,609,791,1.0
Box1_Cou7_Cou5_C1,3072,2048,6,683,996,1.0
Box1_Cou7_Cou5_C1,3072,2048,7,705,850,1.0
Box1_Cou7_Cou5_C1,3072,2048,8,748,733,1.0
Box1_Cou7_Cou5_C1,3072,2048,9,782,884,1.0
Box1_Cou7_Cou5_C1,3072,2048,10,723,1126,1.0
Box1_Cou7_Cou5_C1,3072,2048,11,822,1088,1.0
Box1_Cou7_Cou5_C1,3072,2048,12,838,983,1.0
Box1_Cou7_Cou5_C1,3072,2048,13,866,869,1.0
Box1_Cou7_Cou5_C1,3072,2048,14,1014,1212,1.0
Box1_Cou7_Cou5_C1,3072,2048,15,986,1107,1.0
Box1_Cou7_Cou5_C1,3072,2048,16,959,980,1.0
Box1_Cou7_Cou5_C1,3072,2048,17,943,773,1.0
Box1_Cou7_Cou5_C1,3072,2048,18,1070,1027,1.0
Box1_Cou7_Cou5_C1,3072,2048,19,1045,909,1.0
Box1_Cou7_Cou5_C1,3072,2048,20,1051,791,1.0
Box1_Cou7_Cou5_C1,3072,2048,21,1119,699,1.0
Box1_Cou7_Cou5_C1,3072,2048,22,1147,903,1.0
Box1_Cou7_Cou5_C1,3072,2048,23,1172,1070,1.0
Box1_Cou7_Cou5_C1,3072,2048,24,1203,1175,1.0
Box1_Cou7_Cou5_C1,3072,2048,25,1221,1262,1.0
Box1_Cou7_Cou5_C1,3072,2048,26,1342,1314,1.0
Box1_Cou7_Cou5_C1,3072,2048,27,1355,1194,1.0
Box1_Cou7_Cou5_C1,3072,2048,28,1308,1058,1.0
Box1_Cou7_Cou5_C1,3072,2048,29,1265,965,1.0
Box1_Cou7_Cou5_C1,3072,2048,30,1225,841,1.0
Box1_Cou7_Cou5_C1,3072,2048,31,1283,745,1.0
Box1_Cou7_Cou5_C1,3072,2048,32,1355,866,1.0
Box1_Cou7_Cou5_C1,3072,2048,33,1401,980,1.0
Box1_Cou7_Cou5_C1,3072,2048,34,1450,1095,1.0
Box1_Cou7_Cou5_C1,3072,2048,35,1478,1225,1.0
Box1_Cou7_Cou5_C1,3072,2048,36,1494,1351,1.0
Box1_Cou7_Cou5_C1,3072,2048,37,1355,668,1.0
Box1_Cou7_Cou5_C1,3072,2048,38,1426,810,1.0
Box1_Cou7_Cou5_C1,3072,2048,39,1494,928,1.0
Box1_Cou7_Cou5_C1,3072,2048,40,1540,1064,1.0
Box1_Cou7_Cou5_C1,3072,2048,41,1565,1144,1.0
Box1_Cou7_Cou5_C1,3072,2048,42,1605,1240,1.0
Box1_Cou7_Cou5_C1,3072,2048,43,1590,1376,1.0
Box1_Cou7_Cou5_C1,3072,2048,44,1754,1392,1.0
Box1_Cou7_Cou5_C1,3072,2048,45,1751,1293,1.0
Box1_Cou7_Cou5_C1,3072,2048,46,1726,1169,1.0
Box1_Cou7_Cou5_C1,3072,2048,47,1664,1073,1.0
Box1_Cou7_Cou5_C1,3072,2048,48,1611,940,1.0
Box1_Cou7_Cou5_C1,3072,2048,49,1549,813,1.0
Box1_Cou7_Cou5_C1,3072,2048,50,1664,841,1.0
Box1_Cou7_Cou5_C1,3072,2048,51,1760,863,1.0
Box1_Cou7_Cou5_C1,3072,2048,52,1713,965,1.0
Box1_Cou7_Cou5_C1,3072,2048,53,1788,1098,1.0
Box1_Cou7_Cou5_C1,3072,2048,54,1803,1175,1.0
Box1_Cou7_Cou5_C1,3072,2048,55,1843,1265,1.0
Box1_Cou7_Cou5_C1,3072,2048,56,1930,1314,1.0
Box1_Cou7_Cou5_C1,3072,2048,57,1939,1206,1.0
Box1_Cou7_Cou5_C1,3072,2048,58,1899,1098,1.0
Box1_Cou7_Cou5_C1,3072,2048,59,1850,983,1.0
Box1_Cou7_Cou5_C1,3072,2048,60,1945,989,1.0
Box1_Cou7_Cou5_C1,3072,2048,61,1983,1101,1.0
