image,width,height,egg_id,x,y,confidence
Box1_Cou_Mich_B5,3072,2048,1,1309,712,1.0
Box1_Cou_Mich_B5,3072,2048,2,1357,686,1.0
Box1_Cou_Mich_B5,3072,2048,3,1431,634,1.0
Box1_Cou_Mich_B5,3072,2048,4,1502,603,1.0
Box1_Cou_Mich_B5,3072,2048,5,1552,564,1.0
Box1_Cou_Mich_B5,3072,2048,6,1618,514,1.0
Box1_Cou_Mich_B5,3072,2048,7,1678,475,1.0
Box1_Cou_Mich_B5,3072,2048,8,1731,445,1.0
Box1_Cou_Mich_B5,3072,2048,9,1802,393,1.0
Box1_Cou_Mich_B5,3072,2048,10,1051,940,1.0
Box1_Cou_Mich_B5,3072,2048,11,1122,903,1.0
Box1_Cou_Mich_B5,3072,2048,12,1181,862,1.0
Box1_Cou_Mich_B5,3072,2048,13,1242,827,1.0
Box1_Cou_Mich_B5,3072,2048,14,1305,786,1.0
Box1_Cou_Mich_B5,3072,2048,15,1381,747,1.0
Box1_Cou_Mich_B5,3072,2048,16,1442,718,1.0
Box1_Cou_Mich_B5,3072,2048,17,1516,671,1.0
Box1_Cou_Mich_B5,3072,2048,18,1576,625,1.0
Box1_Cou_Mich_B5,3072,2048,19,1646,586,1.0
Box1_Cou_Mich_B5,3072,2048,20,1698,545,1.0
Box1_Cou_Mich_B5,3072,2048,21,1752,508,1.0
Box1_Cou_Mich_B5,3072,2048,22,1820,460,1.0
Box1_Cou_Mich_B5,3072,2048,23,1866,440,1.0
Box1_Cou_Mich_B5,3072,2048,24,1914,392,1.0
Box1_Cou_Mich_B5,3072,2048,25,2102,394,1.0
Box1_Cou_Mich_B5,3072,2048,26,2005,419,1.0
Box1_Cou_Mich_B5,3072,2048,27,1943,462,1.0
Box1_Cou_Mich_B5,3072,2048,28,1880,504,1.0
Box1_Cou_Mich_B5,3072,2048,29,1839,539,1.0
Box1_Cou_Mich_B5,3072,2048,30,1772,576,1.0
Box1_Cou_Mich_B5,3072,2048,31,1710,611,1.0
Box1_Cou_Mich_B5,3072,2048,32,1652,654,1.0
Box1_Cou_Mich_B5,3072,2048,33,1580,699,1.0
Box1_Cou_Mich_B5,3072,2048,34,1513,744,1.0
Box1_Cou_Mich_B5,3072,2048,35,1456,785,1.0
Box1_Cou_Mich_B5,3072,2048,36,1375,815,1.0
Box1_Cou_Mich_B5,3072,2048,37,1316,861,1.0
Box1_Cou_Mich_B5,3072,2048,38,1252,886,1.0
Box1_Cou_Mich_B5,3072,2048,39,1182,922,1.0
Box1_Cou_Mich_B5,3072,2048,40,1115,968,1.0
Box1_Cou_Mich_B5,3072,2048,41,1044,1012,1.0
Box1_Cou_Mich_B5,3072,2048,42,986,1046,1.0
Box1_Cou_Mich_B5,3072,2048,43,916,1090,1.0
Box1_Cou_Mich_B5,3072,2048,44,886,1133,1.0
Box1_Cou_Mich_B5,3072,2048,45,914,1218,1.0
Box1_Cou_Mich_B5,3072,2048,46,951,1148,1.0
Box1_Cou_Mich_B5,3072,2048,47,1005,1098,1.0
Box1_Cou_Mich_B5,3072,2048,48,1076,1075,1.0
Box1_Cou_Mich_B5,3072,2048,49,1119,1048,1.0
Box1_Cou_Mich_B5,3072,2048,50,1191,1005,1.0
Box1_Cou_Mich_B5,3072,2048,51,1263,971,1.0
Box1_Cou_Mich_B5,3072,2048,52,1323,922,1.0
Box1_Cou_Mich_B5,3072,2048,53,1389,888,1.0
Box1_Cou_Mich_B5,3072,2048,54,1449,859,1.0
Box1_Cou_Mich_B5,3072,2048,55,1526,811,1.0
Box1_Cou_Mich_B5,3072,2048,56,1592,778,1.0
Box1_Cou_Mich_B5,3072,2048,57,1657,729,1.0
Box1_Cou_Mich_B5,3072,2048,58,1722,688,1.0
Box1_Cou_Mich_B5,3072,2048,59,1782,649,1.0
Box1_Cou_Mich_B5,3072,2048,60,1835,614,1.0
Box1_Cou_Mich_B5,3072,2048,61,1902,565,1.0
Box1_Cou_Mich_B5,3072,2048,62,1960,526,1.0
Box1_Cou_Mich_B5,3072,2048,63,2006,485,1.0
Box1_Cou_Mich_B5,3072,2048,64,2074,454,1.0
Box1_Cou_Mich_B5,3072,2048,65,2166,442,1.0
Box1_Cou_Mich_B5,3072,2048,66,2142,492,1.0
Box1_Cou_Mich_B5,3072,2048,67,2069,529,1.0
Box1_Cou_Mich_B5,3072,2048,68,2026,561,1.0
Box1_Cou_Mich_B5,3072,2048,69,1955,598,1.0
Box1_Cou_Mich_B5,3072,2048,70,1896,648,1.0
Box1_Cou_Mich_B5,3072,2048,71,1835,688,1.0
Box1_Cou_Mich_B5,3072,2048,72,1772,726,1.0
