image,width,height,egg_id,x,y,confidence
Box1_Cou_Mich_D4,3072,2048,1,1205,885,1.0
Box1_Cou_Mich_D4,3072,2048,2,1229,944,1.0
Box1_Cou_Mich_D4,3072,2048,3,1248,998,1.0
Box1_Cou_Mich_D4,3072,2048,4,1190,696,1.0
Box1_Cou_Mich_D4,3072,2048,5,1213,769,1.0
Box1_Cou_Mich_D4,3072,2048,6,1250,834,1.0
Box1_Cou_Mich_D4,3072,2048,7,1282,895,1.0
Box1_Cou_Mich_D4,3072,2048,8,1308,960,1.0
Box1_Cou_Mich_D4,3072,2048,9,1301,1038,1.0
Box1_Cou_Mich_D4,3072,2048,10,1326,1109,1.0
Box1_Cou_Mich_D4,3072,2048,11,1347,1179,1.0
Box1_Cou_Mich_D4,3072,2048,12,1365,1239,1.0
Box1_Cou_Mich_D4,3072,2048,13,1390,1273,1.0
Box1_Cou_Mich_D4,3072,2048,14,1190,513,1.0
Box1_Cou_Mich_D4,3072,2048,15,1206,567,1.0
Box1_Cou_Mich_D4,3072,2048,16,1238,616,1.0
Box1_Cou_Mich_D4,3072,2048,17,1263,700,1.0
Box1_Cou_Mich_D4,3072,2048,18,1291,761,1.0
Box1_Cou_Mich_D4,3072,2048,19,1330,830,1.0
Box1_Cou_Mich_D4,3072,2048,20,1345,890,1.0
Box1_Cou_Mich_D4,3072,2048,21,1365,980,1.0
Box1_Cou_Mich_D4,3072,2048,22,1373,1049,1.0
Box1_Cou_Mich_D4,3072,2048,23,1404,1104,1.0
Box1_Cou_Mich_D4,3072,2048,24,1420,1166,1.0
Box1_Cou_Mich_D4,3072,2048,25,1443,1223,1.0
Box1_Cou_Mich_D4,3072,2048,26,1456,1336,1.0
Box1_Cou_Mich_D4,3072,2048,27,1495,1462,1.0
Box1_Cou_Mich_D4,3072,2048,28,1482,1387,1.0
Box1_Cou_Mich_D4,3072,2048,29,1354,144,1.0
Box1_Cou_Mich_D4,3072,2048,30,1423,164,1.0
Box1_Cou_Mich_D4,3072,2048,31,1513,185,1.0
Box1_Cou_Mich_D4,3072,2048,32,1230,207,1.0
Box1_Cou_Mich_D4,3072,2048,33,1305,189,1.0
Box1_Cou_Mich_D4,3072,2048,34,1393,221,1.0
Box1_Cou_Mich_D4,3072,2048,35,1462,237,1.0
Box1_Cou_Mich_D4,3072,2048,36,1533,250,1.0
Box1_Cou_Mich_D4,3072,2048,37,1608,264,1.0
Box1_Cou_Mich_D4,3072,2048,38,1265,270,1.0
Box1_Cou_Mich_D4,3072,2048,39,1315,283,1.0
Box1_Cou_Mich_D4,3072,2048,40,1402,289,1.0
Box1_Cou_Mich_D4,3072,2048,41,1466,305,1.0
Box1_Cou_Mich_D4,3072,2048,42,1552,315,1.0
Box1_Cou_Mich_D4,3072,2048,43,1634,337,1.0
Box1_Cou_Mich_D4,3072,2048,44,1187,334,1.0
Box1_Cou_Mich_D4,3072,2048,45,1258,333,1.0
Box1_Cou_Mich_D4,3072,2048,46,1343,345,1.0
Box1_Cou_Mich_D4,3072,2048,47,1423,341,1.0
Box1_Cou_Mich_D4,3072,2048,48,1495,366,1.0
Box1_Cou_Mich_D4,3072,2048,49,1575,386,1.0
Box1_Cou_Mich_D4,3072,2048,50,1637,401,1.0
Box1_Cou_Mich_D4,3072,2048,51,1730,423,1.0
Box1_Cou_Mich_D4,3072,2048,52,1204,386,1.0
Box1_Cou_Mich_D4,3072,2048,53,1280,395,1.0
Box1_Cou_Mich_D4,3072,2048,54,1367,403,1.0
Box1_Cou_Mich_D4,3072,2048,55,1442,417,1.0
Box1_Cou_Mich_D4,3072,2048,56,1529,436,1.0
Box1_Cou_Mich_D4,3072,2048,57,1581,450,1.0
Box1_Cou_Mich_D4,3072,2048,58,1670,476,1.0
