image,width,height,egg_id,x,y,confidence
Box1_Cou_Tun_B2,3072,2048,1,365,717,1.0
Box1_Cou_Tun_B2,3072,2048,2,448,650,1.0
Box1_Cou_Tun_B2,3072,2048,3,528,602,1.0
Box1_Cou_Tun_B2,3072,2048,4,425,818,1.0
Box1_Cou_Tun_B2,3072,2048,5,490,742,1.0
Box1_Cou_Tun_B2,3072,2048,6,556,680,1.0
Box1_Cou_Tun_B2,3072,2048,7,634,620,1.0
Box1_Cou_Tun_B2,3072,2048,8,731,566,1.0
Box1_Cou_Tun_B2,3072,2048,9,430,898,1.0
Box1_Cou_Tun_B2,3072,2048,10,508,829,1.0
Box1_Cou_Tun_B2,3072,2048,11,570,784,1.0
Box1_Cou_Tun_B2,3072,2048,12,641,721,1.0
Box1_Cou_Tun_B2,3072,2048,13,740,676,1.0
Box1_Cou_Tun_B2,3072,2048,14,795,593,1.0
Box1_Cou_Tun_B2,3072,2048,15,908,533,1.0
Box1_Cou_Tun_B2,3072,2048,16,990,577,1.0
Box1_Cou_Tun_B2,3072,2048,17,901,655,1.0
Box1_Cou_Tun_B2,3072,2048,18,823,691,1.0
Box1_Cou_Tun_B2,3072,2048,19,753,756,1.0
Box1_Cou_Tun_B2,3072,2048,20,667,802,1.0
Box1_Cou_Tun_B2,3072,2048,21,595,862,1.0
Box1_Cou_Tun_B2,3072,2048,22,535,921,1.0
Box1_Cou_Tun_B2,3072,2048,23,483,978,1.0
Box1_Cou_Tun_B2,3072,2048,24,529,1075,1.0
Box1_Cou_Tun_B2,3072,2048,25,588,1011,1.0
Box1_Cou_Tun_B2,3072,2048,26,659,946,1.0
Box1_Cou_Tun_B2,3072,2048,27,717,889,1.0
Box1_Cou_Tun_B2,3072,2048,28,784,843,1.0
Box1_Cou_Tun_B2,3072,2048,29,878,767,1.0
Box1_Cou_Tun_B2,3072,2048,30,958,719,1.0
Box1_Cou_Tun_B2,3072,2048,31,1050,650,1.0
Box1_Cou_Tun_B2,3072,2048,32,1102,574,1.0
Box1_Cou_Tun_B2,3072,2048,33,1206,621,1.0
Box1_Cou_Tun_B2,3072,2048,34,1119,667,1.0
Box1_Cou_Tun_B2,3072,2048,35,1045,744,1.0
Box1_Cou_Tun_B2,3072,2048,36,955,823,1.0
Box1_Cou_Tun_B2,3072,2048,37,896,854,1.0
Box1_Cou_Tun_B2,3072,2048,38,800,924,1.0
Box1_Cou_Tun_B2,3072,2048,39,740,965,1.0
Box1_Cou_Tun_B2,3072,2048,40,669,1064,1.0
Box1_Cou_Tun_B2,3072,2048,41,616,1125,1.0
Box1_Cou_Tun_B2,3072,2048,42,699,1151,1.0
Box1_Cou_Tun_B2,3072,2048,43,760,1075,1.0
Box1_Cou_Tun_B2,3072,2048,44,838,1017,1.0
Box1_Cou_Tun_B2,3072,2048,45,917,970,1.0
Box1_Cou_Tun_B2,3072,2048,46,1002,905,1.0
Box1_Cou_Tun_B2,3072,2048,47,1079,846,1.0
Box1_Cou_Tun_B2,3072,2048,48,1148,761,1.0
Box1_Cou_Tun_B2,3072,2048,49,1234,742,1.0
Box1_Cou_Tun_B2,3072,2048,50,1346,616,1.0
