image,width,height,egg_id,x,y,confidence
Box1_Cou_Tun_C6,3072,2048,1,295,1277,1.0
Box1_Cou_Tun_C6,3072,2048,2,344,1197,1.0
Box1_Cou_Tun_C6,3072,2048,3,381,1134,1.0
Box1_Cou_Tun_C6,3072,2048,4,417,995,1.0
Box1_Cou_Tun_C6,3072,2048,5,475,925,1.0
Box1_Cou_Tun_C6,3072,2048,6,421,855,1.0
Box1_Cou_Tun_C6,3072,2048,7,466,777,1.0
Box1_Cou_Tun_C6,3072,2048,8,553,843,1.0
Box1_Cou_Tun_C6,3072,2048,9,585,754,1.0
Box1_Cou_Tun_C6,3072,2048,10,653,681,1.0
Box1_Cou_Tun_C6,3072,2048,11,808,653,1.0
Box1_Cou_Tun_C6,3072,2048,12,756,731,1.0
Box1_Cou_Tun_C6,3072,2048,13,679,806,1.0
Box1_Cou_Tun_C6,3072,2048,14,639,899,1.0
Box1_Cou_Tun_C6,3072,2048,15,574,977,1.0
Box1_Cou_Tun_C6,3072,2048,16,494,1049,1.0
Box1_Cou_Tun_C6,3072,2048,17,461,1155,1.0
Box1_Cou_Tun_C6,3072,2048,18,417,1237,1.0
Box1_Cou_Tun_C6,3072,2048,19,388,1321,1.0
Box1_Cou_Tun_C6,3072,2048,20,482,1373,1.0
Box1_Cou_Tun_C6,3072,2048,21,494,1277,1.0
Box1_Cou_Tun_C6,3072,2048,22,564,1199,1.0
Box1_Cou_Tun_C6,3072,2048,23,569,1110,1.0
Box1_Cou_Tun_C6,3072,2048,24,649,1031,1.0
Box1_Cou_Tun_C6,3072,2048,25,719,944,1.0
Box1_Cou_Tun_C6,3072,2048,26,761,862,1.0
Box1_Cou_Tun_C6,3072,2048,27,848,761,1.0
Box1_Cou_Tun_C6,3072,2048,28,911,688,1.0
Box1_Cou_Tun_C6,3072,2048,29,960,606,1.0
Box1_Cou_Tun_C6,3072,2048,30,1101,564,1.0
Box1_Cou_Tun_C6,3072,2048,31,1052,649,1.0
Box1_Cou_Tun_C6,3072,2048,32,970,756,1.0
Box1_Cou_Tun_C6,3072,2048,33,927,845,1.0
Box1_Cou_Tun_C6,3072,2048,34,850,906,1.0
Box1_Cou_Tun_C6,3072,2048,35,789,984,1.0
Box1_Cou_Tun_C6,3072,2048,36,749,1070,1.0
Box1_Cou_Tun_C6,3072,2048,37,677,1145,1.0
Box1_Cou_Tun_C6,3072,2048,38,646,1223,1.0
Box1_Cou_Tun_C6,3072,2048,39,602,1302,1.0
Box1_Cou_Tun_C6,3072,2048,40,702,1354,1.0
Box1_Cou_Tun_C6,3072,2048,41,747,1253,1.0
Box1_Cou_Tun_C6,3072,2048,42,754,1176,1.0
Box1_Cou_Tun_C6,3072,2048,43,841,1101,1.0
Box1_Cou_Tun_C6,3072,2048,44,885,1033,1.0
Box1_Cou_Tun_C6,3072,2048,45,932,949,1.0
Box1_Cou_Tun_C6,3072,2048,46,1002,864,1.0
Box1_Cou_Tun_C6,3072,2048,47,1063,796,1.0
Box1_Cou_Tun_C6,3072,2048,48,1113,698,1.0
Box1_Cou_Tun_C6,3072,2048,49,1173,618,1.0
Box1_Cou_Tun_C6,3072,2048,50,1253,679,1.0
Box1_Cou_Tun_C6,3072,2048,51,1218,759,1.0
Box1_Cou_Tun_C6,3072,2048,52,1136,850,1.0
Box1_Cou_Tun_C6,3072,2048,53,1052,937,1.0
Box1_Cou_Tun_C6,3072,2048,54,1014,1014,1.0
Box1_Cou_Tun_C6,3072,2048,55,963,1091,1.0
Box1_Cou_Tun_C6,3072,2048,56,904,1180,1.0
Box1_Cou_Tun_C6,3072,2048,57,768,1420,1.0
Box1_Cou_Tun_C6,3072,2048,58,700,1502,1.0
Box1_Cou_Tun_C6,3072,2048,59,810,1340,1.0
Box1_Cou_Tun_C6,3072,2048,60,843,1251,1.0
Box1_Cou_Tun_C6,3072,2048,61,845,1469,1.0
Box1_Cou_Tun_C6,3072,2048,62,895,1396,1.0
Box1_Cou_Tun_C6,3072,2048,63,941,1293,1.0
Box1_Cou_Tun_C6,3072,2048,64,1014,1211,1.0
Box1_Cou_Tun_C6,3072,2048,65,1059,1136,1.0
Box1_Cou_Tun_C6,3072,2048,66,1106,1075,1.0
Box1_Cou_Tun_C6,3072,2048,67,1150,981,1.0
Box1_Cou_Tun_C6,3072,2048,68,1204,904,1.0
Box1_Cou_Tun_C6,3072,2048,69,1291,822,1.0
Box1_Cou_Tun_C6,3072,2048,70,1347,721,1.0
Box1_Cou_Tun_C6,3072,2048,71,1352,620,1.0
Box1_Cou_Tun_C6,3072,2048,72,1396,553,1.0
Box1_Cou_Tun_C6,3072,2048,73,1483,595,1.0
Box1_Cou_Tun_C6,3072,2048,74,1443,677,1.0
Box1_Cou_Tun_C6,3072,2048,75,1431,766,1.0
Box1_Cou_Tun_C6,3072,2048,76,1373,876,1.0
Box1_Cou_Tun_C6,3072,2048,77,1312,960,1.0
Box1_Cou_Tun_C6,3072,2048,78,1265,1038,1.0
Box1_Cou_Tun_C6,3072,2048,79,1206,1129,1.0
Box1_Cou_Tun_C6,3072,2048,80,1138,1188,1.0
Box1_Cou_Tun_C6,3072,2048,81,1115,1265,1.0
Box1_Cou_Tun_C6,3072,2048,82,1054,1352,1.0
Box1_Cou_Tun_C6,3072,2048,83,1012,1441,1.0
Box1_Cou_Tun_C6,3072,2048,84,1120,1405,1.0
Box1_Cou_Tun_C6,3072,2048,85,1176,1312,1.0
Box1_Cou_Tun_C6,3072,2048,86,1223,1230,1.0
Box1_Cou_Tun_C6,3072,2048,87,1279,1155,1.0
Box1_Cou_Tun_C6,3072,2048,88,1333,1106,1.0
Box1_Cou_Tun_C6,3072,2048,89,1394,995,1.0
Box1_Cou_Tun_C6,3072,2048,90,1429,941,1.0
Box1_Cou_Tun_C6,3072,2048,91,1490,843,1.0
Box1_Cou_Tun_C6,3072,2048,92,1511,742,1.0
Box1_Cou_Tun_C6,3072,2048,93,1539,656,1.0
Box1_Cou_Tun_C6,3072,2048,94,1602,571,1.0
Box1_Cou_Tun_C6,3072,2048,95,1708,536,1.0
Box1_Cou_Tun_C6,3072,2048,96,1715,644,1.0
Box1_Cou_Tun_C6,3072,2048,97,1619,726,1.0
Box1_Cou_Tun_C6,3072,2048,98,1584,808,1.0
Box1_Cou_Tun_C6,3072,2048,99,1567,892,1.0
Box1_Cou_Tun_C6,3072,2048,100,1511,998,1.0
Box1_Cou_Tun_C6,3072,2048,101,1471,1075,1.0
Box1_Cou_Tun_C6,3072,2048,102,1403,1152,1.0
Box1_Cou_Tun_C6,3072,2048,103,1359,1232,1.0
Box1_Cou_Tun_C6,3072,2048,104,1309,1305,1.0
Box1_Cou_Tun_C6,3072,2048,105,1391,1340,1.0
Box1_Cou_Tun_C6,3072,2048,106,1464,1281,1.0
Box1_Cou_Tun_C6,3072,2048,107,1509,1195,1.0
Box1_Cou_Tun_C6,3072,2048,108,1541,1115,1.0
Box1_Cou_Tun_C6,3072,2048,109,1623,1049,1.0
Box1_Cou_Tun_C6,3072,2048,110,1647,932,1.0
Box1_Cou_Tun_C6,3072,2048,111,1668,843,1.0
Box1_Cou_Tun_C6,3072,2048,112,1703,780,1.0
Box1_Cou_Tun_C6,3072,2048,113,1778,670,1.0
Box1_Cou_Tun_C6,3072,2048,114,1787,592,1.0
Box1_Cou_Tun_C6,3072,2048,115,1858,635,1.0
Box1_Cou_Tun_C6,3072,2048,116,1841,728,1.0
Box1_Cou_Tun_C6,3072,2048,117,1792,843,1.0
Box1_Cou_Tun_C6,3072,2048,118,1741,911,1.0
Box1_Cou_Tun_C6,3072,2048,119,1734,991,1.0
Box1_Cou_Tun_C6,3072,2048,120,1687,1094,1.0
Box1_Cou_Tun_C6,3072,2048,121,1626,1166,1.0
Box1_Cou_Tun_C6,3072,2048,122,1586,1241,1.0
Box1_Cou_Tun_C6,3072,2048,123,1553,1323,1.0
Box1_Cou_Tun_C6,3072,2048,124,1478,1382,1.0
Box1_Cou_Tun_C6,3072,2048,125,1670,1286,1.0
Box1_Cou_Tun_C6,3072,2048,126,1701,1227,1.0
Box1_Cou_Tun_C6,3072,2048,127,1762,1143,1.0
Box1_Cou_Tun_C6,3072,2048,128,1797,1061,1.0
Box1_Cou_Tun_C6,3072,2048,129,1888,974,1.0
Box1_Cou_Tun_C6,3072,2048,130,1874,899,1.0
Box1_Cou_Tun_C6,3072,2048,131,1919,780,1.0
Box1_Cou_Tun_C6,3072,2048,132,1940,695,1.0
Box1_Cou_Tun_C6,3072,2048,133,1923,555,1.0
Box1_Cou_Tun_C6,3072,2048,134,2012,531,1.0
Box1_Cou_Tun_C6,3072,2048,135,1998,595,1.0
Box1_Cou_Tun_C6,3072,2048,136,2071,653,1.0
Box1_Cou_Tun_C6,3072,2048,137,2125,585,1.0
Box1_Cou_Tun_C6,3072,2048,138,2183,627,1.0
Box1_Cou_Tun_C6,3072,2048,139,2160,702,1.0
Box1_Cou_Tun_C6,3072,2048,140,2045,740,1.0
Box1_Cou_Tun_C6,3072,2048,141,2005,813,1.0
Box1_Cou_Tun_C6,3072,2048,142,2101,792,1.0
Box1_Cou_Tun_C6,3072,2048,143,1958,916,1.0
Box1_Cou_Tun_C6,3072,2048,144,1794,1234,1.0
Box1_Cou_Tun_C6,3072,2048,145,1832,1169,1.0
Box1_Cou_Tun_C6,3072,2048,146,1895,1087,1.0
Box1_Cou_Tun_C6,3072,2048,147,1977,1162,1.0
Box1_Cou_Tun_C6,3072,2048,148,1970,1066,1.0
Box1_Cou_Tun_C6,3072,2048,149,2029,991,1.0
Box1_Cou_Tun_C6,3072,2048,150,2048,1089,1.0
Box1_Cou_Tun_C6,3072,2048,151,2099,1024,1.0
Box1_Cou_Tun_C6,3072,2048,152,2151,960,1.0
Box1_Cou_Tun_C6,3072,2048,153,2059,890,1.0
Box1_Cou_Tun_C6,3072,2048,154,2155,850,1.0
Box1_Cou_Tun_C6,3072,2048,155,2235,777,1.0
Box1_Cou_Tun_C6,3072,2048,156,2233,995,1.0
Box1_Cou_Tun_C6,3072,2048,157,2282,932,1.0
Box1_Cou_Tun_C6,3072,2048,158,2303,827,1.0
Box1_Cou_Tun_C6,3072,2048,159,2352,958,1.0
Box1_Cou_Tun_C6,3072,2048,160,2387,890,1.0
Box1_Cou_Tun_C6,3072,2048,161,2392,808,1.0
Box1_Cou_Tun_C6,3072,2048,162,2340,724,1.0
Box1_Cou_Tun_C6,3072,2048,163,2272,672,1.0
Box1_Cou_Tun_C6,3072,2048,164,2305,590,1.0
Box1_Cou_Tun_C6,3072,2048,165,2361,653,1.0
Box1_Cou_Tun_C6,3072,2048,166,2432,693,1.0
Box1_Cou_Tun_C6,3072,2048,167,2425,562,1.0
Box1_Cou_Tun_C6,3072,2048,168,2476,592,1.0
Box1_Cou_Tun_C6,3072,2048,169,2570,545,1.0
Box1_Cou_Tun_C6,3072,2048,170,2652,653,1.0
Box1_Cou_Tun_C6,3072,2048,171,2584,691,1.0
Box1_Cou_Tun_C6,3072,2048,172,2528,768,1.0
Box1_Cou_Tun_C6,3072,2048,173,2483,850,1.0
