image,width,height,egg_id,x,y,confidence
Box1_Cou_Tun_D3,3072,2048,1,526,698,1.0
Box1_Cou_Tun_D3,3072,2048,2,566,551,1.0
Box1_Cou_Tun_D3,3072,2048,3,549,857,1.0
Box1_Cou_Tun_D3,3072,2048,4,599,756,1.0
Box1_Cou_Tun_D3,3072,2048,5,588,942,1.0
Box1_Cou_Tun_D3,3072,2048,6,700,836,1.0
Box1_Cou_Tun_D3,3072,2048,7,710,640,1.0
Box1_Cou_Tun_D3,3072,2048,8,803,599,1.0
Box1_Cou_Tun_D3,3072,2048,9,822,681,1.0
Box1_Cou_Tun_D3,3072,2048,10,756,946,1.0
Box1_Cou_Tun_D3,3072,2048,11,807,1051,1.0
Box1_Cou_Tun_D3,3072,2048,12,873,940,1.0
Box1_Cou_Tun_D3,3072,2048,13,853,832,1.0
Box1_Cou_Tun_D3,3072,2048,14,925,640,1.0
Box1_Cou_Tun_D3,3072,2048,15,937,526,1.0
Box1_Cou_Tun_D3,3072,2048,16,1039,485,1.0
Box1_Cou_Tun_D3,3072,2048,17,1020,613,1.0
Box1_Cou_Tun_D3,3072,2048,18,984,757,1.0
Box1_Cou_Tun_D3,3072,2048,19,968,1007,1.0
Box1_Cou_Tun_D3,3072,2048,20,1007,896,1.0
Box1_Cou_Tun_D3,3072,2048,21,1070,988,1.0
Box1_Cou_Tun_D3,3072,2048,22,1092,1100,1.0
Box1_Cou_Tun_D3,3072,2048,23,1138,1188,1.0
Box1_Cou_Tun_D3,3072,2048,24,1248,1183,1.0
Box1_Cou_Tun_D3,3072,2048,25,1192,1116,1.0
Box1_Cou_Tun_D3,3072,2048,26,1157,1003,1.0
Box1_Cou_Tun_D3,3072,2048,27,1104,897,1.0
Box1_Cou_Tun_D3,3072,2048,28,1059,744,1.0
Box1_Cou_Tun_D3,3072,2048,29,1132,582,1.0
Box1_Cou_Tun_D3,3072,2048,30,1157,703,1.0
Box1_Cou_Tun_D3,3072,2048,31,1219,779,1.0
Box1_Cou_Tun_D3,3072,2048,32,1241,929,1.0
Box1_Cou_Tun_D3,3072,2048,33,1316,1010,1.0
Box1_Cou_Tun_D3,3072,2048,34,1328,1120,1.0
Box1_Cou_Tun_D3,3072,2048,35,1378,1221,1.0
Box1_Cou_Tun_D3,3072,2048,36,1526,1357,1.0
Box1_Cou_Tun_D3,3072,2048,37,1480,1236,1.0
Box1_Cou_Tun_D3,3072,2048,38,1464,1136,1.0
Box1_Cou_Tun_D3,3072,2048,39,1445,1024,1.0
Box1_Cou_Tun_D3,3072,2048,40,1403,927,1.0
Box1_Cou_Tun_D3,3072,2048,41,1299,813,1.0
Box1_Cou_Tun_D3,3072,2048,42,1304,713,1.0
Box1_Cou_Tun_D3,3072,2048,43,1234,673,1.0
Box1_Cou_Tun_D3,3072,2048,44,1206,529,1.0
Box1_Cou_Tun_D3,3072,2048,45,1304,543,1.0
Box1_Cou_Tun_D3,3072,2048,46,1373,645,1.0
Box1_Cou_Tun_D3,3072,2048,47,1446,791,1.0
Box1_Cou_Tun_D3,3072,2048,48,1488,873,1.0
Box1_Cou_Tun_D3,3072,2048,49,1520,1001,1.0
Box1_Cou_Tun_D3,3072,2048,50,1564,1092,1.0
Box1_Cou_Tun_D3,3072,2048,51,1586,1183,1.0
Box1_Cou_Tun_D3,3072,2048,52,1596,1291,1.0
Box1_Cou_Tun_D3,3072,2048,53,1645,1388,1.0
Box1_Cou_Tun_D3,3072,2048,54,1761,1423,1.0
Box1_Cou_Tun_D3,3072,2048,55,1742,1342,1.0
Box1_Cou_Tun_D3,3072,2048,56,1721,1206,1.0
Box1_Cou_Tun_D3,3072,2048,57,1695,1141,1.0
Box1_Cou_Tun_D3,3072,2048,58,1665,1020,1.0
Box1_Cou_Tun_D3,3072,2048,59,1635,904,1.0
Box1_Cou_Tun_D3,3072,2048,60,1568,835,1.0
Box1_Cou_Tun_D3,3072,2048,61,1511,684,1.0
Box1_Cou_Tun_D3,3072,2048,62,1453,596,1.0
Box1_Cou_Tun_D3,3072,2048,63,1577,612,1.0
Box1_Cou_Tun_D3,3072,2048,64,1649,733,1.0
