image,width,height,egg_id,x,y,confidence
Box1_LongI-1_IST_A5,3072,2048,1,1567,1546,1.0
Box1_LongI-1_IST_A5,3072,2048,2,1654,1454,1.0
Box1_LongI-1_IST_A5,3072,2048,3,1506,1477,1.0
Box1_LongI-1_IST_A5,3072,2048,4,1626,1390,1.0
Box1_LongI-1_IST_A5,3072,2048,5,1729,1343,1.0
Box1_LongI-1_IST_A5,3072,2048,6,1501,1412,1.0
Box1_LongI-1_IST_A5,3072,2048,7,1564,1316,1.0
Box1_LongI-1_IST_A5,3072,2048,8,1674,1226,1.0
Box1_LongI-1_IST_A5,3072,2048,9,1414,1345,1.0
Box1_LongI-1_IST_A5,3072,2048,10,1455,1247,1.0
Box1_LongI-1_IST_A5,3072,2048,11,1612,1146,1.0
Box1_LongI-1_IST_A5,3072,2048,12,1704,1058,1.0
Box1_LongI-1_IST_A5,3072,2048,13,1345,1270,1.0
Box1_LongI-1_IST_A5,3072,2048,14,1414,1176,1.0
Box1_LongI-1_IST_A5,3072,2048,15,1500,1112,1.0
Box1_LongI-1_IST_A5,3072,2048,16,1562,1021,1.0
Box1_LongI-1_IST_A5,3072,2048,17,1656,957,1.0
Box1_LongI-1_IST_A5,3072,2048,18,1654,854,1.0
Box1_LongI-1_IST_A5,3072,2048,19,1555,891,1.0
Box1_LongI-1_IST_A5,3072,2048,20,1477,998,1.0
Box1_LongI-1_IST_A5,3072,2048,21,1404,1051,1.0
Box1_LongI-1_IST_A5,3072,2048,22,1286,1165,1.0
Box1_LongI-1_IST_A5,3072,2048,23,1190,1076,1.0
Box1_LongI-1_IST_A5,3072,2048,24,1299,1035,1.0
Box1_LongI-1_IST_A5,3072,2048,25,1391,959,1.0
Box1_LongI-1_IST_A5,3072,2048,26,1457,870,1.0
Box1_LongI-1_IST_A5,3072,2048,27,1512,790,1.0
Box1_LongI-1_IST_A5,3072,2048,28,1598,718,1.0
Box1_LongI-1_IST_A5,3072,2048,29,1598,564,1.0
Box1_LongI-1_IST_A5,3072,2048,30,1503,658,1.0
Box1_LongI-1_IST_A5,3072,2048,31,1420,713,1.0
Box1_LongI-1_IST_A5,3072,2048,32,1348,823,1.0
Box1_LongI-1_IST_A5,3072,2048,33,1284,911,1.0
Box1_LongI-1_IST_A5,3072,2048,34,1208,985,1.0
Box1_LongI-1_IST_A5,3072,2048,35,1105,955,1.0
Box1_LongI-1_IST_A5,3072,2048,36,1176,873,1.0
Box1_LongI-1_IST_A5,3072,2048,37,1254,781,1.0
Box1_LongI-1_IST_A5,3072,2048,38,1313,679,1.0
Box1_LongI-1_IST_A5,3072,2048,39,1407,608,1.0
Box1_LongI-1_IST_A5,3072,2048,40,1491,532,1.0
Box1_LongI-1_IST_A5,3072,2048,41,1069,836,1.0
Box1_LongI-1_IST_A5,3072,2048,42,1162,733,1.0
Box1_LongI-1_IST_A5,3072,2048,43,1206,633,1.0
Box1_LongI-1_IST_A5,3072,2048,44,1318,574,1.0
Box1_LongI-1_IST_A5,3072,2048,45,1389,498,1.0
Box1_LongI-1_IST_A5,3072,2048,46,1507,423,1.0
Box1_LongI-1_IST_A5,3072,2048,47,1030,720,1.0
Box1_LongI-1_IST_A5,3072,2048,48,1090,573,1.0
Box1_LongI-1_IST_A5,3072,2048,49,1222,512,1.0
Box1_LongI-1_IST_A5,3072,2048,50,1288,439,1.0
Box1_LongI-1_IST_A5,3072,2048,51,1372,380,1.0
Box1_LongI-1_IST_A5,3072,2048,52,1482,300,1.0
Box1_LongI-1_IST_A5,3072,2048,53,1364,261,1.0
Box1_LongI-1_IST_A5,3072,2048,54,1268,318,1.0
Box1_LongI-1_IST_A5,3072,2048,55,1193,396,1.0
Box1_LongI-1_IST_A5,3072,2048,56,1123,484,1.0
Box1_LongI-1_IST_A5,3072,2048,57,1087,391,1.0
Box1_LongI-1_IST_A5,3072,2048,58,1146,302,1.0
Box1_LongI-1_IST_A5,3072,2048,59,1240,222,1.0
Box1_LongI-1_IST_A5,3072,2048,60,1144,190,1.0
Box1_LongI-1_IST_A5,3072,2048,61,1039,290,1.0
